rel,head-pos,child-pos	tree-label	gold-label
comp:obj,VERB,PRON	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
parataxis,VERB,AUX	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
mod,NOUN,NOUN	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
appos,NOUN,NOUN	req-agree	NA
subj,AUX,NOUN	req-agree	NA
mod,NOUN,PROPN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
conj,AUX,VERB	req-agree	NA
conj,VERB,AUX	req-agree	NA
det,NOUN,DET	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
udep,VERB,NOUN	NA	NA
subj,AUX,PROPN	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
comp:aux,AUX,AUX	req-agree	req-agree
subj,AUX,NUM	req-agree	req-agree
mod,NOUN,NUM	req-agree	NA
subj,VERB,PROPN	req-agree	req-agree
mod,NOUN,VERB	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
flat@name,PROPN,PROPN	req-agree	req-agree
comp:pred,AUX,NUM	req-agree	NA
comp:obj,ADJ,PRON	NA	NA
parataxis,AUX,VERB	NA	NA
mod,PROPN,PROPN	req-agree	req-agree
mod,DET,VERB	NA	NA
subj,AUX,ADJ	req-agree	req-agree
mod,DET,AUX	NA	NA
parataxis,AUX,AUX	NA	NA
comp:obl,VERB,PRON	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
subj,VERB,PRON	req-agree	NA
udep,VERB,PRON	NA	NA
mod,PRON,VERB	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
subj,AUX,DET	req-agree	NA
mod,VERB,ADJ	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
comp:pred,AUX,DET	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
udep,AUX,NOUN	NA	NA
comp:pred,VERB,NOUN	req-agree	NA
subj,AUX,VERB	req-agree	req-agree
flat,NUM,NUM	req-agree	req-agree
mod,PRON,DET	req-agree	req-agree
mod,NOUN,PRON	req-agree	NA
mod,PROPN,VERB	req-agree	req-agree
appos,NOUN,PROPN	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
comp:pred,AUX,PRON	req-agree	req-agree
subj,VERB,DET	req-agree	req-agree
mod,AUX,ADJ	req-agree	req-agree
comp:obl,VERB,NOUN	NA	NA
udep,ADJ,NOUN	NA	req-agree
appos,PROPN,NOUN	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
comp:pred,VERB,PRON	req-agree	req-agree
mod,NOUN,AUX	req-agree	NA
comp:obj,VERB,DET	NA	NA
parataxis,VERB,NOUN	NA	NA
parataxis,AUX,NOUN	NA	NA
subj,VERB,ADJ	req-agree	NA
comp:obj,VERB,PROPN	NA	NA
comp:obj,VERB,ADJ	NA	NA
mod,DET,DET	NA	req-agree
mod,NOUN,DET	req-agree	NA
mod,ADJ,DET	req-agree	req-agree
subj,AUX,PRON	req-agree	NA
udep,VERB,ADJ	NA	NA
udep,AUX,DET	NA	NA
comp:obl,VERB,ADJ	NA	NA
udep,AUX,ADJ	NA	NA
mod,ADJ,NUM	req-agree	NA
comp:pred,AUX,PROPN	req-agree	req-agree
appos,PROPN,PROPN	req-agree	req-agree
udep,AUX,PRON	NA	NA
mod,VERB,VERB	req-agree	req-agree
comp:obl,VERB,PROPN	NA	req-agree
udep,VERB,PROPN	NA	req-agree
mod,PROPN,NOUN	NA	req-agree
det,PROPN,DET	req-agree	req-agree
mod,ADJ,NOUN	NA	req-agree
conj,NUM,NUM	NA	NA
mod,DET,NUM	req-agree	NA
conj,NOUN,PRON	req-agree	NA
conj,NOUN,ADJ	req-agree	req-agree
conj,NOUN,PROPN	NA	req-agree
comp:obj,DET,NOUN	NA	req-agree
parataxis,AUX,PROPN	NA	NA
mod,PROPN,PRON	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
conj,PRON,AUX	req-agree	req-agree
udep,VERB,DET	NA	req-agree
comp:obj,NOUN,PRON	NA	NA
comp:obj,ADJ,PROPN	NA	req-agree
