rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PROPN	NA	req-agree
conj,PROPN,PROPN	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
subj,AUX,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
comp:aux,AUX,VERB	NA	req-agree
conj,NOUN,NOUN	NA	NA
compound,NOUN,ADJ	NA	req-agree
subj,VERB,DET	NA	req-agree
comp:pred,AUX,NOUN	NA	NA
subj,VERB,NOUN	NA	NA
subj,AUX,DET	NA	NA
mod,NOUN,AUX	NA	NA
mod,PROPN,ADJ	NA	req-agree
comp:obj,VERB,PRON	NA	NA
comp:pred,VERB,ADJ	NA	NA
appos,NOUN,PROPN	NA	NA
flat,PROPN,PROPN	NA	req-agree
det,NOUN,DET	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
subj,AUX,PROPN	NA	req-agree
comp:obj,VERB,DET	NA	NA
parataxis,AUX,AUX	NA	NA
comp:aux@pass,AUX,ADJ	NA	req-agree
compound,PROPN,ADJ	NA	req-agree
compound,NOUN,NOUN	NA	NA
compound,NOUN,PROPN	NA	NA
mod,NOUN,VERB	NA	NA
appos,PROPN,NOUN	NA	req-agree
subj,AUX,AUX	NA	NA
subj@pass,AUX,NOUN	NA	NA
comp:obj,VERB,AUX	NA	NA
conj,VERB,AUX	NA	NA
appos,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	NA
conj,AUX,VERB	NA	NA
mod,PROPN,VERB	NA	NA
parataxis,VERB,AUX	NA	NA
parataxis,ADJ,NOUN	NA	req-agree
subj@pass,ADJ,PROPN	NA	req-agree
conj,ADJ,VERB	NA	NA
conj,VERB,VERB	NA	NA
udep,AUX,NOUN	NA	NA
comp:obj,ADJ,DET	NA	req-agree
flat,ADJ,ADJ	NA	req-agree
flat,ADJ,NOUN	NA	req-agree
conj,PROPN,NOUN	NA	NA
mod,PRON,NUM	NA	NA
mod,NOUN,DET	NA	NA
comp:aux,AUX,ADJ	NA	req-agree
parataxis,VERB,VERB	NA	NA
comp:obl,VERB,DET	NA	NA
comp:aux,AUX,AUX	NA	req-agree
parataxis,AUX,VERB	NA	NA
conj,AUX,AUX	NA	NA
mod,PROPN,AUX	NA	NA
udep,ADJ,NOUN	NA	NA
udep,AUX,DET	NA	NA
conj,ADJ,ADJ	NA	req-agree
comp:obl,VERB,NOUN	NA	NA
compound,PROPN,PROPN	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
compound,VERB,AUX	NA	req-agree
udep,VERB,NOUN	NA	NA
subj@pass,ADJ,NOUN	NA	req-agree
conj,ADJ,AUX	NA	NA
udep,ADJ,ADJ	NA	req-agree
comp:obj,VERB,PROPN	NA	NA
mod,VERB,AUX	NA	NA
comp:obj,ADJ,NOUN	NA	NA
comp:pred,VERB,VERB	NA	req-agree
mod,AUX,VERB	NA	NA
comp:pred,AUX,DET	NA	NA
mod,DET,VERB	NA	NA
subj,AUX,PRON	NA	NA
comp:obj,ADJ,PRON	NA	NA
subj@pass,AUX,AUX	NA	NA
parataxis,NOUN,PROPN	NA	req-agree
subj,VERB,PRON	NA	req-agree
mod,AUX,AUX	NA	NA
comp:pred,VERB,NOUN	NA	NA
comp:obj,AUX,VERB	NA	req-agree
subj,VERB,ADJ	NA	req-agree
det,PROPN,DET	NA	req-agree
mod,PROPN,PROPN	NA	req-agree
udep,VERB,DET	NA	NA
mod,ADJ,ADJ	NA	NA
subj@pass,AUX,PROPN	NA	req-agree
appos,NOUN,VERB	NA	NA
compound,VERB,NOUN	NA	NA
comp:obj,AUX,NOUN	NA	NA
conj,NOUN,ADJ	NA	NA
parataxis,AUX,NOUN	NA	NA
discourse,AUX,DET	NA	NA
flat,NOUN,PROPN	NA	NA
comp:aux,AUX,NOUN	NA	NA
conj,VERB,NOUN	NA	NA
subj@pass,VERB,NOUN	NA	NA
comp:obj,NOUN,ADJ	NA	req-agree
parataxis,VERB,NOUN	NA	req-agree
subj@pass,AUX,DET	NA	req-agree
parataxis,PROPN,NOUN	NA	req-agree
discourse,AUX,AUX	NA	req-agree
mod,ADJ,NUM	NA	NA
comp:obj,PROPN,NOUN	NA	NA
discourse,AUX,PROPN	NA	req-agree
parataxis,PROPN,PROPN	NA	NA
subj,VERB,AUX	NA	req-agree
comp:aux,AUX,PROPN	NA	req-agree
flat,NOUN,ADJ	NA	req-agree
comp:obj,ADJ,PROPN	NA	NA
subj,AUX,ADJ	NA	NA
conj,NUM,ADJ	NA	req-agree
conj,PROPN,ADJ	NA	NA
conj,ADJ,NOUN	NA	NA
mod,PROPN,NOUN	NA	req-agree
flat,PROPN,NOUN	NA	req-agree
comp:pred,AUX,PROPN	NA	NA
conj,AUX,ADJ	NA	req-agree
parataxis,NOUN,NOUN	NA	req-agree
subj,NOUN,PROPN	NA	req-agree
comp:obl,VERB,PROPN	NA	req-agree
comp:obl,VERB,PRON	NA	NA
comp:obl,VERB,ADJ	NA	NA
mod,ADJ,DET	NA	req-agree
mod,DET,AUX	NA	NA
det,ADJ,DET	NA	req-agree
subj,ADJ,NOUN	NA	NA
mod,VERB,ADJ	NA	req-agree
comp:obj,VERB,ADJ	NA	NA
parataxis,PRON,NOUN	NA	NA
comp:obj,VERB,VERB	NA	NA
discourse,NOUN,ADJ	NA	req-agree
parataxis,AUX,PROPN	NA	NA
udep,NOUN,NOUN	NA	NA
mod,VERB,NOUN	NA	NA
comp:aux,AUX,PRON	NA	req-agree
comp:aux,PRON,VERB	NA	req-agree
parataxis,ADJ,VERB	NA	req-agree
comp:obj,AUX,AUX	NA	req-agree
parataxis,VERB,PROPN	NA	NA
conj,AUX,NOUN	NA	NA
udep,NOUN,PROPN	NA	NA
mod,ADJ,AUX	NA	req-agree
compound,NOUN,NUM	NA	req-agree
comp:obj,PROPN,PROPN	NA	req-agree
comp:obl,ADJ,PROPN	NA	req-agree
comp:obj,AUX,ADJ	NA	req-agree
appos,PROPN,PROPN	NA	req-agree
parataxis,AUX,ADJ	NA	req-agree
mod,VERB,VERB	NA	NA
comp:obj,AUX,PRON	NA	NA
compound,PROPN,NOUN	NA	NA
compound,ADJ,ADJ	NA	req-agree
subj,ADJ,ADJ	NA	req-agree
subj,PROPN,NOUN	NA	req-agree
conj,PRON,NOUN	NA	NA
conj,NOUN,DET	NA	req-agree
vocative,VERB,NOUN	NA	req-agree
comp:obj,NOUN,PRON	NA	NA
conj,PRON,PRON	NA	req-agree
comp:obl,ADJ,PRON	NA	NA
subj,AUX,VERB	NA	req-agree
vocative,AUX,NOUN	NA	req-agree
comp:pred,VERB,PROPN	NA	req-agree
subj@pass,VERB,DET	NA	req-agree
subj,VERB,VERB	NA	req-agree
udep,VERB,PROPN	NA	req-agree
cc,AUX,AUX	NA	req-agree
udep,VERB,ADJ	NA	req-agree
appos,DET,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
subj@pass,VERB,PRON	NA	req-agree
orphan,NOUN,NOUN	NA	req-agree
det,PROPN,PROPN	NA	req-agree
subj,NOUN,NOUN	NA	req-agree
parataxis,DET,AUX	NA	NA
comp:pred,AUX,PRON	NA	req-agree
mod,PRON,VERB	NA	req-agree
subj,ADJ,PROPN	NA	req-agree
mod,DET,ADJ	NA	req-agree
orphan,NOUN,ADJ	NA	NA
parataxis,NOUN,VERB	NA	req-agree
parataxis,NOUN,AUX	NA	req-agree
appos,NOUN,ADJ	NA	req-agree
flat,ADJ,PROPN	NA	req-agree
comp:pred,AUX,NUM	NA	req-agree
comp:obl,NOUN,PRON	NA	req-agree
appos,ADJ,PRON	NA	req-agree
mod,AUX,NOUN	NA	NA
comp:pred,ADJ,NOUN	NA	NA
parataxis,ADJ,ADJ	NA	req-agree
appos,PRON,NOUN	NA	req-agree
comp:aux,DET,NOUN	NA	req-agree
parataxis,PROPN,ADJ	NA	NA
conj,AUX,PROPN	NA	req-agree
parataxis,NOUN,ADJ	NA	req-agree
conj,ADJ,DET	NA	req-agree
comp:obj,NOUN,DET	NA	req-agree
udep,NOUN,DET	NA	req-agree
compound,ADJ,NOUN	NA	NA
conj,NOUN,AUX	NA	NA
subj,ADJ,AUX	NA	req-agree
subj,AUX,NUM	NA	req-agree
parataxis,VERB,ADJ	NA	req-agree
