rel,head-pos,child-pos	tree-label	gold-label
conj,VERB,VERB	NA	NA
subj,VERB,PRON	NA	req-agree
udep,VERB,PRON	NA	NA
parataxis,VERB,VERB	NA	NA
subj,AUX,PRON	NA	req-agree
parataxis,AUX,VERB	NA	NA
conj,AUX,VERB	NA	NA
conj,AUX,AUX	NA	NA
comp:obj,VERB,VERB	NA	NA
mod,VERB,VERB	NA	NA
parataxis,AUX,AUX	NA	NA
conj,VERB,AUX	NA	NA
mod@relcl,PRON,VERB	NA	req-agree
comp:obj,VERB,PRON	NA	NA
udep,AUX,PRON	NA	NA
comp:pred,AUX,PRON	NA	NA
conj,PRON,AUX	NA	NA
parataxis,VERB,AUX	NA	NA
subj@cop,AUX,PRON	NA	req-agree
mod,AUX,AUX	NA	NA
subj,VERB,VERB	NA	NA
comp:obj,VERB,AUX	NA	NA
mod,AUX,VERB	NA	NA
mod@relcl,PRON,AUX	NA	req-agree
mod,VERB,AUX	NA	NA
conj,PRON,VERB	NA	NA
subj,VERB,NOUN	NA	req-agree
mod,PRON,PRON	NA	NA
subj@cop,AUX,VERB	NA	req-agree
comp:pred,AUX,AUX	NA	req-agree
comp:aux,AUX,AUX	NA	req-agree
subj@cop,AUX,AUX	NA	req-agree
