rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod@poss,NOUN,PRON	req-agree	req-agree
mod,NOUN,ADJ	req-agree	NA
mod,NOUN,NOUN	NA	NA
mod@poss,NOUN,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
det,ADJ,DET	req-agree	NA
conj,NOUN,NOUN	NA	NA
subj,NOUN,PRON	req-agree	req-agree
det,NOUN,PRON	req-agree	NA
conj,PRON,PRON	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,ADJ,ADJ	req-agree	NA
mod@poss,NOUN,PROPN	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
comp:pred,PRON,ADJ	req-agree	req-agree
comp:obj,PRON,NOUN	NA	NA
compound,NOUN,ADJ	req-agree	NA
compound,NOUN,NOUN	NA	req-agree
mod,NOUN,NUM	req-agree	req-agree
unk@fixed,PRON,NOUN	NA	req-agree
unk@fixed,DET,ADJ	req-agree	req-agree
appos,NOUN,PRON	req-agree	req-agree
unk@fixed,ADJ,ADJ	req-agree	req-agree
subj,NOUN,DET	req-agree	req-agree
conj,PRON,NOUN	NA	req-agree
parataxis,NOUN,NOUN	NA	req-agree
mod,NOUN,PRON	req-agree	req-agree
conj,NUM,ADJ	req-agree	req-agree
subj,ADJ,NOUN	NA	req-agree
comp:obj,ADJ,NOUN	NA	NA
