rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PRON	NA	req-agree
conj,VERB,VERB	NA	NA
mod,VERB,VERB	NA	NA
comp:obj,VERB,VERB	NA	NA
subj,AUX,PRON	NA	req-agree
udep,VERB,PRON	NA	NA
conj,AUX,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
subj@pass,AUX,PRON	NA	req-agree
comp:obl,VERB,PRON	NA	NA
conj,VERB,AUX	NA	NA
mod,AUX,VERB	NA	NA
parataxis,VERB,PRON	NA	NA
orphan,PRON,PRON	NA	NA
comp:pred,AUX,PRON	NA	req-agree
udep,AUX,PRON	NA	NA
parataxis,VERB,AUX	NA	NA
comp:obj,PRON,VERB	NA	NA
conj,AUX,AUX	NA	NA
parataxis,VERB,VERB	NA	NA
mod,PRON,VERB	NA	NA
subj,VERB,VERB	NA	req-agree
parataxis,PRON,VERB	NA	NA
parataxis,PRON,PRON	NA	NA
discourse,AUX,VERB	NA	req-agree
conj,VERB,PRON	NA	NA
udep,PRON,PRON	NA	NA
conj,PRON,PRON	NA	NA
conj,PRON,VERB	NA	NA
discourse,VERB,VERB	NA	NA
comp:obj,VERB,AUX	NA	NA
parataxis,AUX,VERB	NA	req-agree
unk,VERB,VERB	NA	req-agree
mod,DET,VERB	NA	req-agree
mod,AUX,AUX	NA	req-agree
mod,DET,AUX	NA	req-agree
subj,AUX,AUX	NA	req-agree
mod,VERB,AUX	NA	req-agree
comp:obj,PRON,AUX	NA	req-agree
subj,AUX,VERB	NA	req-agree
mod,PRON,AUX	NA	req-agree
