rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
mod,VERB,VERB	NA	NA
comp:obj,VERB,NOUN	req-agree	NA
subj,AUX,NOUN	req-agree	NA
conj,VERB,AUX	NA	NA
comp:pred,AUX,ADJ	req-agree	NA
subj,VERB,NOUN	req-agree	NA
subj,VERB,DET	req-agree	NA
mod,DET,VERB	NA	NA
mod,PROPN,PROPN	NA	req-agree
subj,AUX,DET	req-agree	NA
conj,VERB,VERB	NA	NA
comp:obl,VERB,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
mod,NOUN,PROPN	NA	NA
conj,AUX,AUX	NA	NA
appos,NOUN,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
udep,VERB,DET	NA	NA
subj,VERB,PROPN	req-agree	NA
flat,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
mod,NOUN,NUM	NA	req-agree
comp:obj,VERB,ADJ	NA	NA
parataxis,VERB,AUX	NA	req-agree
comp:aux@pass,AUX,ADJ	req-agree	NA
subj@pass,AUX,NOUN	NA	NA
comp:pred,AUX,DET	req-agree	NA
comp:aux,AUX,VERB	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
comp:obl,VERB,PRON	NA	NA
mod,PROPN,NOUN	req-agree	req-agree
mod,NOUN,VERB	NA	NA
comp:obj,VERB,PROPN	NA	NA
mod,NUM,ADJ	NA	req-agree
subj,VERB,NUM	req-agree	NA
conj,VERB,NUM	NA	NA
mod,ADJ,NOUN	NA	NA
mod,NOUN,AUX	NA	NA
comp:pred,AUX,NUM	NA	NA
parataxis,AUX,AUX	NA	NA
comp:pred,ADJ,PROPN	NA	req-agree
comp:obj,VERB,DET	req-agree	NA
mod,NOUN,DET	NA	req-agree
comp:pred,VERB,ADJ	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
udep,AUX,NOUN	NA	NA
subj,AUX,PROPN	req-agree	NA
subj@pass,VERB,NOUN	NA	NA
conj,PROPN,PROPN	NA	NA
udep,VERB,NOUN	NA	NA
appos,VERB,VERB	NA	NA
conj,AUX,VERB	NA	NA
subj,VERB,VERB	req-agree	NA
subj,VERB,ADJ	req-agree	req-agree
mod,PROPN,VERB	NA	NA
det,NOUN,PRON	NA	req-agree
mod,PROPN,AUX	NA	NA
subj@pass,AUX,PROPN	NA	NA
comp:pred,AUX,PRON	NA	req-agree
comp:obj,ADJ,NOUN	NA	NA
subj,VERB,PRON	req-agree	NA
conj,PROPN,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
parataxis,VERB,VERB	NA	NA
vocative,AUX,NOUN	NA	NA
appos,NOUN,PROPN	NA	NA
comp:obj,VERB,PRON	NA	NA
conj,AUX,ADJ	req-agree	req-agree
mod@gov,NOUN,NUM	NA	NA
conj,VERB,DET	req-agree	req-agree
conj,DET,VERB	NA	req-agree
appos,PROPN,PROPN	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
