rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,NOUN	NA	NA
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
det,NOUN,PRON	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
mod,NOUN,PRON	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,NOUN,NUM	req-agree	NA
det,ADJ,DET	req-agree	req-agree
mod,NOUN,PROPN	NA	NA
conj,NOUN,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
flat,PROPN,PROPN	req-agree	NA
flat,NOUN,PROPN	req-agree	NA
mod,ADJ,ADJ	req-agree	req-agree
flat,ADJ,PROPN	req-agree	NA
compound,PROPN,PROPN	req-agree	NA
appos,PROPN,NOUN	NA	NA
mod,NOUN,VERB	req-agree	req-agree
flat,NOUN,NUM	req-agree	NA
flat,NOUN,NOUN	NA	req-agree
appos,NOUN,NOUN	NA	NA
subj,NOUN,NOUN	NA	req-agree
conj,PROPN,NOUN	NA	NA
mod,ADJ,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
mod,PROPN,PROPN	NA	req-agree
appos,NOUN,PROPN	req-agree	NA
mod,ADJ,PRON	req-agree	NA
vocative,NOUN,NOUN	NA	NA
compound,NUM,NUM	req-agree	NA
orphan,NOUN,NOUN	NA	NA
det,PRON,PRON	req-agree	req-agree
conj,NOUN,ADJ	req-agree	req-agree
det,NUM,DET	req-agree	req-agree
mod,NUM,NOUN	NA	NA
mod,PRON,ADJ	req-agree	req-agree
mod,PROPN,NOUN	NA	req-agree
det,ADJ,PRON	req-agree	req-agree
appos,PRON,NOUN	NA	req-agree
mod,ADJ,NUM	req-agree	req-agree
appos,ADJ,NOUN	NA	req-agree
conj,ADJ,VERB	req-agree	req-agree
appos,NOUN,ADJ	req-agree	NA
mod,ADJ,PROPN	NA	NA
conj,PROPN,ADJ	req-agree	NA
conj,ADJ,PROPN	NA	NA
conj,NUM,NUM	req-agree	req-agree
conj,NOUN,NUM	req-agree	req-agree
parataxis,PROPN,NOUN	NA	req-agree
compound,NOUN,NOUN	NA	req-agree
mod,PRON,NOUN	NA	req-agree
orphan,PRON,NOUN	NA	req-agree
conj,ADJ,NOUN	NA	req-agree
appos,ADJ,PROPN	req-agree	req-agree
