rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
comp:obj,ADJ,DET	NA	NA
conj,NOUN,NOUN	req-agree	NA
det,NOUN,DET	req-agree	NA
comp:pred,NOUN,DET	req-agree	req-agree
mod,NOUN,PRON	NA	NA
mod@gov,NOUN,NUM	NA	req-agree
subj,VERB,DET	NA	NA
mod,NOUN,VERB	req-agree	NA
mod,NOUN,NUM	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
subj,VERB,NOUN	NA	NA
comp:obl@agent,ADJ,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
subj,NOUN,NOUN	req-agree	NA
comp:obj,NOUN,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
comp:aux@pass,AUX,ADJ	req-agree	req-agree
mod,ADJ,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,NOUN,DET	NA	NA
mod,NOUN,AUX	NA	NA
subj@pass,AUX,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
udep,VERB,NOUN	NA	req-agree
comp:obj,ADJ,PRON	NA	req-agree
comp:pred,NOUN,ADJ	req-agree	req-agree
