rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	NA
flat@name,NOUN,PROPN	NA	req-agree
det,NOUN,DET	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
comp:obj,VERB,NOUN	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
comp:obl,VERB,NOUN	req-agree	NA
mod,NOUN,VERB	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
mod,NOUN,PROPN	NA	NA
subj,ADJ,PRON	req-agree	req-agree
subj,NOUN,NOUN	NA	NA
mod,NOUN,NUM	req-agree	NA
conj,PROPN,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
subj@pass,AUX,NOUN	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
appos,NOUN,PROPN	req-agree	NA
flat,PROPN,PROPN	req-agree	NA
subj,AUX,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
flat,NOUN,PROPN	NA	NA
subj@pass,VERB,PRON	req-agree	req-agree
parataxis,AUX,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
subj@pass,VERB,NOUN	req-agree	NA
comp:obj,VERB,PROPN	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
subj,VERB,NUM	req-agree	req-agree
conj,VERB,NUM	NA	NA
subj,ADJ,NOUN	req-agree	NA
udep,VERB,NOUN	NA	NA
conj,VERB,VERB	req-agree	NA
flat@foreign,NOUN,PROPN	NA	req-agree
comp:obl,ADJ,NOUN	NA	NA
comp:obl@agent,VERB,NOUN	NA	NA
appos,NOUN,NOUN	req-agree	NA
compound,NOUN,NOUN	NA	NA
subj,ADJ,PROPN	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
comp:obj,VERB,VERB	req-agree	NA
mod,PROPN,VERB	req-agree	NA
mod@relcl,PROPN,AUX	req-agree	NA
mod,PROPN,PROPN	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
conj,VERB,AUX	NA	NA
subj,AUX,PROPN	req-agree	req-agree
det,NOUN,PRON	NA	req-agree
comp:pred,AUX,NOUN	req-agree	NA
subj,NOUN,PRON	NA	NA
parataxis,VERB,NOUN	NA	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
unk@fixed,PRON,ADJ	req-agree	req-agree
comp:pred,AUX,DET	req-agree	req-agree
comp:obl,NOUN,NOUN	NA	NA
conj,AUX,VERB	req-agree	NA
unk@fixed,ADJ,NOUN	req-agree	req-agree
subj,PRON,PRON	req-agree	req-agree
comp:obj,PRON,ADJ	req-agree	req-agree
vocative,PRON,NOUN	NA	req-agree
mod,ADJ,ADJ	req-agree	req-agree
parataxis,NOUN,VERB	NA	NA
orphan,DET,NOUN	NA	req-agree
mod@gov,NOUN,NUM	req-agree	req-agree
mod@relcl,PROPN,VERB	req-agree	req-agree
parataxis,ADJ,VERB	NA	NA
comp:obl,AUX,PRON	NA	NA
conj,ADJ,VERB	req-agree	req-agree
conj,VERB,ADJ	req-agree	req-agree
comp:pred,AUX,NUM	NA	NA
parataxis,VERB,VERB	req-agree	NA
unk@expl,NOUN,PRON	NA	NA
comp:obj,ADJ,AUX	NA	NA
