rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod@poss,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	NA
mod,NOUN,NOUN	NA	NA
det,ADJ,DET	req-agree	NA
mod@poss,NOUN,PRON	req-agree	req-agree
conj,ADJ,NOUN	req-agree	req-agree
det,NOUN,PRON	NA	req-agree
subj,ADJ,NOUN	NA	NA
subj,ADJ,ADJ	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
appos,PRON,NOUN	NA	req-agree
subj,NOUN,NOUN	NA	NA
conj,NOUN,ADJ	req-agree	NA
udep,ADJ,PRON	NA	NA
comp:obj,PRON,NOUN	NA	NA
conj,PRON,PRON	NA	NA
appos,PRON,ADJ	req-agree	NA
comp:obl,NOUN,PRON	NA	req-agree
conj,PRON,NOUN	NA	req-agree
mod,NOUN,DET	req-agree	req-agree
mod,PRON,NOUN	NA	req-agree
mod,PRON,PRON	NA	req-agree
subj,ADJ,PRON	NA	req-agree
comp:pred,NOUN,ADJ	req-agree	req-agree
unk@fixed,DET,NOUN	NA	req-agree
mod,ADJ,ADJ	req-agree	req-agree
det,ADJ,PRON	NA	req-agree
unk@fixed,ADJ,NOUN	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
unk@fixed,DET,ADJ	req-agree	req-agree
udep,NOUN,PRON	NA	NA
appos,ADJ,NOUN	req-agree	NA
udep,ADJ,NOUN	NA	NA
comp:obj,ADJ,PRON	NA	req-agree
orphan,NOUN,NOUN	NA	req-agree
conj,NUM,ADJ	req-agree	NA
appos,NOUN,ADJ	req-agree	NA
unk@fixed,NOUN,ADJ	req-agree	req-agree
orphan,PRON,ADJ	req-agree	NA
orphan,NOUN,ADJ	req-agree	NA
udep,NOUN,NOUN	req-agree	NA
mod,ADJ,NOUN	NA	NA
unk@fixed,PRON,NOUN	NA	req-agree
parataxis,NOUN,PRON	NA	req-agree
det,DET,PRON	NA	req-agree
conj,NOUN,PRON	NA	NA
comp:pred,NOUN,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
