rel,head-pos,child-pos	tree-label	gold-label
comp:obj,VERB,PRON	NA	NA
mod,ADJ,ADJ	req-agree	NA
mod,VERB,NOUN	NA	NA
subj,VERB,ADJ	req-agree	req-agree
mod,NOUN,PRON	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
comp:pred,VERB,VERB	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	NA
mod,NOUN,NOUN	NA	NA
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
mod,VERB,VERB	req-agree	NA
comp:pred,NOUN,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
mod,ADJ,NOUN	NA	NA
mod,NOUN,VERB	req-agree	NA
comp:obj,VERB,ADJ	NA	NA
conj,VERB,VERB	req-agree	NA
mod,VERB,PRON	req-agree	NA
comp:obj,VERB,NUM	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
conj,NOUN,NOUN	NA	NA
mod,ADJ,VERB	req-agree	NA
comp:obj,ADJ,NOUN	NA	NA
comp:pred,PRON,NOUN	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
comp:obj,ADJ,ADJ	NA	req-agree
parataxis,VERB,VERB	NA	NA
vocative,VERB,ADJ	req-agree	req-agree
conj,ADJ,NOUN	NA	NA
comp:obj,PRON,VERB	NA	req-agree
vocative,VERB,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
subj,NOUN,PRON	req-agree	req-agree
mod,VERB,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
mod,PRON,ADJ	req-agree	NA
comp:obl,VERB,PRON	NA	NA
mod,PRON,VERB	req-agree	NA
conj,NOUN,ADJ	req-agree	NA
comp:pred,PRON,VERB	req-agree	req-agree
conj,NOUN,VERB	req-agree	NA
subj,VERB,VERB	req-agree	NA
conj,PRON,PRON	NA	req-agree
comp:pred,PRON,ADJ	req-agree	req-agree
conj,VERB,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	NA
comp:pred,NOUN,NOUN	NA	NA
mod,PRON,NOUN	NA	NA
conj,VERB,ADJ	req-agree	req-agree
comp:obj,ADJ,VERB	NA	req-agree
appos,NOUN,NOUN	NA	NA
comp:obl,VERB,ADJ	NA	NA
comp:pred,ADJ,VERB	req-agree	req-agree
comp:pred,NOUN,VERB	req-agree	req-agree
comp:obj,ADJ,PRON	NA	req-agree
comp:obj,NOUN,PRON	NA	NA
appos,PRON,PRON	NA	req-agree
mod,ADJ,PRON	NA	NA
mod,PRON,PRON	NA	NA
comp:pred,VERB,PRON	NA	NA
appos,PRON,NOUN	NA	req-agree
conj,VERB,PRON	NA	NA
conj,PRON,NOUN	NA	NA
subj,NOUN,NOUN	req-agree	req-agree
mod,NOUN,X	req-agree	req-agree
udep,VERB,VERB	req-agree	req-agree
appos,NOUN,ADJ	req-agree	req-agree
appos,ADJ,NOUN	NA	req-agree
conj,NOUN,PRON	req-agree	NA
comp:obj,X,NOUN	NA	NA
parataxis,VERB,X	NA	NA
subj,X,PRON	req-agree	req-agree
conj,X,VERB	req-agree	req-agree
vocative,PRON,NOUN	NA	req-agree
subj,VERB,NUM	req-agree	req-agree
mod,VERB,ADV	NA	req-agree
