rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PROPN	NA	req-agree
conj,PROPN,PROPN	NA	NA
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
mod,NOUN,PROPN	NA	NA
conj,NOUN,NOUN	NA	NA
compound,NOUN,ADJ	NA	req-agree
mod,PROPN,ADJ	NA	req-agree
comp:pred,VERB,ADJ	NA	NA
appos,NOUN,PROPN	NA	NA
flat,PROPN,PROPN	NA	req-agree
det,NOUN,DET	NA	req-agree
comp:obj,VERB,DET	NA	NA
compound,PROPN,ADJ	NA	req-agree
comp:obj,VERB,PRON	NA	NA
compound,NOUN,NOUN	NA	NA
compound,NOUN,PROPN	NA	NA
appos,PROPN,NOUN	NA	NA
mod,NOUN,PRON	NA	NA
appos,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	req-agree
parataxis,ADJ,NOUN	NA	NA
subj@pass,ADJ,PROPN	NA	req-agree
comp:obj,ADJ,DET	NA	NA
flat,ADJ,ADJ	NA	req-agree
flat,ADJ,NOUN	NA	req-agree
conj,PROPN,NOUN	NA	NA
mod,NOUN,DET	NA	NA
comp:obl,VERB,DET	NA	NA
comp:pred,AUX,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
comp:pred,AUX,ADJ	NA	req-agree
conj,ADJ,ADJ	NA	req-agree
compound,PROPN,PROPN	NA	NA
comp:obj,NOUN,NOUN	NA	NA
subj,VERB,DET	NA	req-agree
mod,NOUN,VERB	NA	NA
udep,VERB,NOUN	NA	NA
subj@pass,ADJ,NOUN	NA	req-agree
udep,ADJ,ADJ	NA	req-agree
comp:aux@pass,AUX,ADJ	NA	req-agree
conj,VERB,VERB	NA	NA
comp:obl,VERB,NOUN	NA	NA
comp:obj,VERB,PROPN	NA	NA
comp:obj,ADJ,NOUN	NA	NA
subj,VERB,NOUN	NA	NA
mod,PRON,ADJ	NA	req-agree
parataxis,NOUN,PROPN	NA	NA
comp:pred,VERB,NOUN	NA	NA
det,PROPN,DET	NA	req-agree
mod,PROPN,PROPN	NA	NA
mod,ADJ,ADJ	NA	NA
mod,PROPN,VERB	NA	req-agree
comp:obj,AUX,NOUN	NA	NA
conj,NOUN,ADJ	NA	NA
flat,NOUN,PROPN	NA	NA
comp:obj,NOUN,ADJ	NA	req-agree
parataxis,VERB,NOUN	NA	req-agree
comp:aux,AUX,VERB	NA	req-agree
parataxis,PROPN,NOUN	NA	NA
mod,ADJ,NUM	NA	req-agree
comp:obj,PROPN,NOUN	NA	req-agree
parataxis,PROPN,PROPN	NA	req-agree
flat,NOUN,ADJ	NA	req-agree
comp:obj,ADJ,PROPN	NA	NA
conj,NUM,ADJ	NA	req-agree
conj,PROPN,ADJ	NA	req-agree
conj,ADJ,NOUN	NA	NA
mod,PROPN,NOUN	NA	NA
flat,PROPN,NOUN	NA	NA
parataxis,NOUN,NOUN	NA	NA
subj,NOUN,PROPN	NA	NA
conj,AUX,ADJ	NA	req-agree
mod,ADJ,DET	NA	req-agree
det,ADJ,DET	NA	req-agree
subj,ADJ,NOUN	NA	req-agree
parataxis,PRON,NOUN	NA	NA
discourse,NOUN,ADJ	NA	req-agree
udep,NOUN,NOUN	NA	NA
mod,VERB,NOUN	NA	req-agree
comp:aux,PRON,VERB	NA	NA
comp:obj,ADJ,PRON	NA	NA
comp:obl,VERB,PRON	NA	NA
conj,AUX,NOUN	NA	NA
udep,NOUN,PROPN	NA	NA
compound,NOUN,NUM	NA	req-agree
comp:obj,PROPN,PROPN	NA	req-agree
comp:obl,ADJ,PROPN	NA	NA
appos,PROPN,PROPN	NA	req-agree
conj,PROPN,PRON	NA	NA
compound,PROPN,NOUN	NA	NA
compound,ADJ,ADJ	NA	req-agree
subj,ADJ,ADJ	NA	req-agree
comp:pred,AUX,PROPN	NA	req-agree
subj,PROPN,NOUN	NA	req-agree
conj,PRON,NOUN	NA	NA
conj,NOUN,DET	NA	req-agree
comp:obj,NOUN,PRON	NA	req-agree
mod,VERB,ADJ	NA	req-agree
comp:pred,VERB,PROPN	NA	req-agree
conj,ADJ,AUX	NA	req-agree
subj,AUX,NOUN	NA	req-agree
appos,DET,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
orphan,NOUN,NOUN	NA	req-agree
det,PROPN,PROPN	NA	req-agree
subj,NOUN,NOUN	NA	req-agree
subj,VERB,PRON	NA	NA
comp:obj,VERB,ADJ	NA	NA
subj,ADJ,PROPN	NA	req-agree
mod,DET,ADJ	NA	req-agree
orphan,NOUN,ADJ	NA	req-agree
appos,NOUN,ADJ	NA	req-agree
flat,ADJ,PROPN	NA	req-agree
comp:obl,NOUN,PRON	NA	req-agree
mod,AUX,NOUN	NA	NA
comp:pred,ADJ,NOUN	NA	NA
parataxis,ADJ,ADJ	NA	req-agree
conj,VERB,NOUN	NA	NA
comp:aux,DET,NOUN	NA	req-agree
parataxis,PROPN,ADJ	NA	req-agree
parataxis,NOUN,ADJ	NA	req-agree
conj,ADJ,DET	NA	req-agree
udep,VERB,DET	NA	NA
unk@fixed,NOUN,PRON	NA	NA
comp:obj,NOUN,DET	NA	NA
udep,NOUN,DET	NA	req-agree
compound,ADJ,NOUN	NA	NA
