rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
parataxis,VERB,VERB	req-agree	NA
subj,VERB,PROPN	req-agree	NA
flat@name,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
flat@name,NOUN,PROPN	NA	req-agree
det,NOUN,DET	req-agree	req-agree
mod@relcl,DET,VERB	NA	NA
mod,NOUN,VERB	req-agree	req-agree
subj,AUX,PRON	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
comp:obl,VERB,PRON	NA	NA
conj,VERB,VERB	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
mod,NOUN,PROPN	req-agree	NA
subj@pass,VERB,NOUN	req-agree	req-agree
subj,ADJ,PRON	req-agree	req-agree
mod,PRON,VERB	req-agree	NA
subj,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	NA
conj,PROPN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
subj@pass,AUX,NOUN	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
appos,NOUN,PROPN	NA	NA
flat,PROPN,PROPN	req-agree	req-agree
subj,AUX,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
flat,NOUN,PROPN	NA	req-agree
udep,VERB,NOUN	NA	NA
subj@pass,VERB,PRON	req-agree	req-agree
parataxis,AUX,VERB	NA	NA
comp:obj,VERB,PROPN	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
subj,VERB,NUM	req-agree	req-agree
conj,VERB,NUM	NA	req-agree
comp:obj,VERB,PRON	NA	NA
conj,AUX,VERB	req-agree	NA
subj,ADJ,NOUN	req-agree	NA
mod,ADJ,ADJ	req-agree	req-agree
flat@foreign,NOUN,PROPN	NA	req-agree
udep,VERB,ADJ	req-agree	NA
comp:obl,ADJ,NOUN	NA	NA
comp:aux,AUX,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
comp:obl@agent,VERB,NOUN	NA	NA
appos,NOUN,NOUN	req-agree	NA
compound,NOUN,NOUN	NA	req-agree
subj,ADJ,PROPN	req-agree	req-agree
comp:obj,VERB,AUX	NA	req-agree
mod,NOUN,PRON	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
mod,VERB,VERB	req-agree	NA
parataxis,ADJ,VERB	NA	NA
udep,AUX,NOUN	NA	NA
udep,VERB,PRON	NA	NA
vocative,VERB,NOUN	NA	req-agree
mod,PROPN,VERB	req-agree	req-agree
mod@relcl,PROPN,AUX	NA	req-agree
mod,PROPN,PROPN	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
conj,VERB,AUX	req-agree	NA
subj,AUX,PROPN	req-agree	NA
det,NOUN,PRON	NA	req-agree
subj,NOUN,PRON	NA	NA
parataxis,VERB,NOUN	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
mod,VERB,PRON	NA	req-agree
unk@fixed,PRON,ADJ	req-agree	req-agree
comp:pred,AUX,DET	req-agree	req-agree
comp:obl,NOUN,NOUN	NA	NA
unk@fixed,ADJ,NOUN	NA	req-agree
subj,PRON,PRON	req-agree	req-agree
comp:obj,PRON,ADJ	NA	req-agree
vocative,PRON,NOUN	NA	NA
parataxis,NOUN,VERB	NA	req-agree
comp:obl,NOUN,PRON	NA	req-agree
orphan,DET,NOUN	req-agree	NA
conj,VERB,DET	NA	NA
mod@relcl,PROPN,VERB	NA	NA
subj,VERB,ADJ	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	NA
comp:obl,AUX,PRON	NA	req-agree
conj,ADJ,VERB	req-agree	NA
conj,VERB,ADJ	req-agree	NA
comp:pred,AUX,NUM	NA	req-agree
unk@expl,NOUN,PRON	NA	NA
comp:obl,ADJ,PRON	NA	NA
comp:obj,ADJ,AUX	NA	req-agree
unk@fixed,NOUN,PRON	NA	req-agree
conj,AUX,NOUN	NA	req-agree
mod@relcl,NOUN,AUX	NA	NA
conj,NOUN,VERB	req-agree	NA
unk@fixed,NOUN,NOUN	req-agree	NA
unk@fixed,PRON,VERB	req-agree	req-agree
comp:obj,PRON,VERB	NA	req-agree
comp:obj,PRON,NOUN	NA	NA
unk@fixed,PRON,AUX	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	req-agree
mod,VERB,ADJ	req-agree	req-agree
parataxis,VERB,AUX	NA	NA
subj@pass,AUX,NUM	req-agree	req-agree
subj,ADJ,ADJ	req-agree	req-agree
subj,VERB,DET	req-agree	req-agree
conj,VERB,NOUN	NA	req-agree
orphan,NOUN,NOUN	NA	req-agree
comp:obl,VERB,PROPN	req-agree	NA
comp:obl,NOUN,PROPN	NA	req-agree
unk@expl,ADJ,PRON	NA	req-agree
parataxis,VERB,ADJ	NA	NA
mod@relcl,ADJ,VERB	NA	req-agree
mod,ADJ,VERB	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
comp:pred,PROPN,NOUN	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
unk@fixed,DET,NOUN	req-agree	req-agree
appos,AUX,NOUN	req-agree	req-agree
