rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,NOUN	NA	NA
vocative,AUX,NOUN	req-agree	NA
det,NOUN,DET	req-agree	req-agree
subj,AUX,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
det,PRON,DET	req-agree	req-agree
mod@relcl,NOUN,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
det,NOUN,PRON	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
mod,NOUN,PRON	NA	NA
conj,VERB,AUX	NA	req-agree
parataxis,VERB,VERB	NA	NA
conj,VERB,VERB	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,VERB,VERB	NA	NA
mod,NOUN,NUM	req-agree	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
subj@pass,VERB,NOUN	NA	req-agree
det,ADJ,DET	req-agree	req-agree
conj,AUX,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
mod,NOUN,PROPN	NA	NA
conj,NOUN,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
flat,PROPN,PROPN	req-agree	req-agree
flat,NOUN,PROPN	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
flat,ADJ,PROPN	NA	NA
compound,PROPN,PROPN	req-agree	NA
subj,AUX,PROPN	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
comp:pred,AUX,VERB	NA	NA
comp:pred,VERB,PROPN	NA	NA
udep,VERB,NOUN	NA	NA
mod,NOUN,VERB	NA	req-agree
mod@relcl,NOUN,AUX	NA	NA
flat,NOUN,NUM	req-agree	req-agree
flat,NOUN,NOUN	NA	req-agree
appos,NOUN,NOUN	NA	NA
comp:pred,AUX,PRON	NA	NA
subj,NOUN,NOUN	req-agree	req-agree
conj,PROPN,NOUN	NA	NA
comp:pred,VERB,NOUN	NA	NA
comp:pred,VERB,VERB	NA	req-agree
mod,ADJ,NOUN	NA	NA
conj,NOUN,PROPN	req-agree	NA
mod,PROPN,PROPN	req-agree	req-agree
appos,NOUN,PROPN	req-agree	NA
subj@pass,AUX,NOUN	NA	req-agree
det,VERB,DET	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
mod,ADJ,PRON	NA	req-agree
subj@pass,AUX,ADJ	req-agree	req-agree
vocative,NOUN,NOUN	req-agree	NA
compound,NUM,NUM	NA	req-agree
orphan,NOUN,NOUN	NA	req-agree
det,PRON,PRON	req-agree	req-agree
conj,NOUN,ADJ	req-agree	req-agree
comp:obj,VERB,VERB	NA	req-agree
det,NUM,DET	req-agree	req-agree
comp:obj,VERB,NUM	req-agree	NA
mod,NUM,NOUN	NA	req-agree
udep,AUX,PRON	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
mod,PROPN,NOUN	NA	NA
mod@relcl,PRON,AUX	NA	NA
mod@relcl,ADJ,VERB	req-agree	req-agree
comp:obj,VERB,ADJ	NA	NA
mod@relcl,PRON,VERB	NA	NA
comp:pred,AUX,NUM	req-agree	req-agree
comp:obj,VERB,AUX	NA	req-agree
udep,AUX,NOUN	req-agree	NA
udep,VERB,NUM	req-agree	req-agree
det,ADJ,PRON	req-agree	req-agree
appos,PRON,NOUN	NA	req-agree
conj,VERB,NOUN	NA	NA
subj,NOUN,AUX	req-agree	req-agree
parataxis,NOUN,VERB	NA	req-agree
mod,ADJ,NUM	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
subj@pass,AUX,NUM	NA	req-agree
conj,AUX,AUX	NA	req-agree
subj@pass,AUX,PRON	NA	req-agree
mod@relcl,PROPN,AUX	NA	req-agree
subj@pass,VERB,PROPN	NA	NA
udep,VERB,PRON	req-agree	NA
appos,ADJ,NOUN	NA	NA
conj,ADJ,VERB	req-agree	req-agree
mod,AUX,VERB	NA	NA
mod@relcl,VERB,VERB	NA	req-agree
mod@relcl,PROPN,VERB	NA	req-agree
parataxis,VERB,NOUN	NA	NA
appos,NOUN,ADJ	req-agree	req-agree
mod,ADJ,PROPN	NA	NA
subj,VERB,NUM	req-agree	req-agree
mod@relcl,NUM,VERB	req-agree	req-agree
subj,AUX,NUM	req-agree	req-agree
conj,PROPN,ADJ	req-agree	req-agree
conj,ADJ,PROPN	req-agree	req-agree
subj@pass,VERB,ADJ	NA	req-agree
comp:pred,AUX,PROPN	NA	NA
conj,NUM,NUM	NA	req-agree
subj,AUX,ADJ	req-agree	req-agree
conj,NOUN,NUM	req-agree	req-agree
parataxis,PROPN,NOUN	NA	req-agree
parataxis,AUX,VERB	NA	NA
compound,NOUN,NOUN	NA	req-agree
vocative,VERB,NOUN	NA	NA
mod,PRON,NOUN	NA	req-agree
orphan,PRON,NOUN	NA	NA
conj,ADJ,NOUN	req-agree	req-agree
unk@expl,AUX,PRON	NA	NA
parataxis,AUX,AUX	NA	req-agree
appos,ADJ,PROPN	req-agree	req-agree
