rel,head-pos,child-pos	tree-label	gold-label
udep,AUX,NOUN	NA	NA
subj,AUX,NOUN	NA	NA
mod@poss,NOUN,NOUN	NA	NA
conj,AUX,AUX	NA	NA
mod,NOUN,NOUN	NA	NA
subj,VERB,NOUN	NA	req-agree
comp:pred,VERB,NOUN	NA	NA
conj,AUX,VERB	NA	req-agree
conj,VERB,AUX	NA	NA
compound,NOUN,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
conj,VERB,NOUN	NA	req-agree
orphan,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
conj,NOUN,AUX	NA	NA
comp:pred,AUX,PROPN	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
mod,VERB,VERB	NA	NA
conj,PROPN,VERB	NA	NA
conj,VERB,VERB	NA	req-agree
mod@poss,NOUN,PROPN	NA	NA
comp:pred,AUX,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
conj,PROPN,NOUN	NA	req-agree
conj,NOUN,VERB	NA	req-agree
subj@pass,VERB,NOUN	NA	NA
comp:pred,AUX,PRON	NA	NA
conj,PRON,AUX	NA	NA
udep,AUX,PROPN	NA	NA
unk,PROPN,NOUN	NA	req-agree
parataxis,AUX,AUX	NA	req-agree
subj,AUX,VERB	NA	NA
appos,VERB,AUX	NA	req-agree
parataxis,VERB,VERB	NA	req-agree
parataxis,AUX,VERB	NA	NA
comp:obj,VERB,PROPN	NA	NA
flat,PROPN,PROPN	NA	req-agree
mod,VERB,AUX	NA	req-agree
det@poss,NOUN,DET	NA	NA
dislocated,AUX,NOUN	NA	NA
conj,AUX,PROPN	NA	req-agree
subj,VERB,PRON	NA	NA
comp:obj,VERB,PRON	NA	NA
det@poss,NOUN,PRON	NA	req-agree
compound@lvc,VERB,NOUN	NA	NA
parataxis,VERB,AUX	NA	NA
udep,VERB,PROPN	NA	NA
compound@svc,VERB,VERB	NA	req-agree
conj,PROPN,PROPN	NA	req-agree
dislocated,VERB,PROPN	NA	req-agree
vocative,VERB,NOUN	NA	req-agree
udep,AUX,PRON	NA	NA
subj,AUX,PRON	NA	req-agree
mod@relcl,NOUN,VERB	NA	NA
flat,PROPN,NOUN	NA	req-agree
mod@npmod,NOUN,PROPN	NA	NA
dislocated,VERB,VERB	NA	req-agree
subj@pass,AUX,PROPN	NA	req-agree
subj,AUX,PROPN	NA	req-agree
det,NOUN,DET	NA	req-agree
mod@poss,NOUN,VERB	NA	NA
mod,AUX,VERB	NA	NA
mod@npmod,NOUN,NOUN	NA	NA
compound@redup,NOUN,NOUN	NA	req-agree
mod@relcl,NOUN,AUX	NA	NA
comp:obl,VERB,NOUN	NA	NA
orphan,NOUN,PRON	NA	req-agree
conj,AUX,NOUN	NA	NA
parataxis,PROPN,AUX	NA	req-agree
subj,VERB,PROPN	NA	req-agree
mod,NOUN,PROPN	NA	NA
appos,NOUN,AUX	NA	req-agree
dislocated,AUX,AUX	NA	req-agree
udep,AUX,VERB	NA	NA
subj@caus,AUX,NOUN	NA	NA
comp:obj,NOUN,PRON	NA	NA
mod,NOUN,VERB	NA	NA
mod,PROPN,NOUN	NA	req-agree
appos,PROPN,NOUN	NA	req-agree
mod,AUX,AUX	NA	req-agree
subj@pass,AUX,NOUN	NA	req-agree
mod,PRON,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	req-agree
conj,PRON,PROPN	NA	req-agree
mod,AUX,NOUN	NA	NA
parataxis,AUX,PRON	NA	req-agree
conj,PRON,NOUN	NA	NA
mod,PRON,NOUN	NA	NA
parataxis,NOUN,NOUN	NA	req-agree
comp:pred,VERB,VERB	NA	req-agree
mod@poss,VERB,NOUN	NA	NA
parataxis,VERB,NOUN	NA	req-agree
comp:aux,AUX,VERB	NA	NA
parataxis,AUX,NOUN	NA	NA
vocative,AUX,NOUN	NA	req-agree
comp:pred,VERB,AUX	NA	req-agree
comp:aux,AUX,NOUN	NA	req-agree
appos,PROPN,PROPN	NA	req-agree
mod@npmod,VERB,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	req-agree
comp:pred,AUX,VERB	NA	NA
subj@pass,AUX,PRON	NA	req-agree
mod@npmod,PROPN,NOUN	NA	NA
subj@pass,VERB,PRON	NA	req-agree
