rel,head-pos,child-pos	tree-label	gold-label
comp:aux,AUX,VERB	req-agree	req-agree
udep,VERB,PRON	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
comp:obj,VERB,NOUN	req-agree	NA
comp:obl,VERB,PRON	NA	NA
det,NOUN,DET	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
subj,VERB,NOUN	req-agree	req-agree
conj,VERB,NOUN	NA	NA
subj,VERB,PRON	req-agree	req-agree
conj,AUX,VERB	NA	NA
comp:aux,AUX,AUX	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
conj,AUX,AUX	NA	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
conj,VERB,VERB	NA	NA
appos,PRON,NOUN	NA	req-agree
conj,VERB,AUX	NA	NA
udep,AUX,PRON	NA	NA
conj,NOUN,NOUN	req-agree	NA
udep,VERB,NOUN	NA	NA
subj,AUX,DET	req-agree	NA
mod,DET,VERB	NA	NA
subj,AUX,NOUN	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
conj,ADJ,VERB	NA	NA
mod,NOUN,NOUN	NA	NA
det,ADJ,DET	req-agree	req-agree
comp:obl,VERB,ADJ	req-agree	req-agree
subj,VERB,DET	req-agree	req-agree
mod,PRON,NUM	NA	req-agree
mod@gov,NOUN,NUM	NA	NA
appos,NUM,NOUN	NA	NA
mod,NOUN,NUM	NA	req-agree
mod,NUM,NOUN	NA	NA
compound,NUM,NUM	NA	NA
comp:obj,VERB,DET	req-agree	NA
comp:obl,VERB,NOUN	NA	req-agree
mod,NOUN,VERB	NA	NA
comp:pred,AUX,DET	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
comp:obj,ADJ,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	NA
mod,NUM,NUM	NA	req-agree
mod,PROPN,NOUN	NA	NA
subj,VERB,PROPN	req-agree	req-agree
comp:pred,DET,ADJ	req-agree	req-agree
mod,NOUN,AUX	NA	NA
