rel,head-pos,child-pos	tree-label	gold-label
comp:pred,AUX,NUM	NA	req-agree
mod,NOUN,ADJ	NA	req-agree
subj,AUX,NOUN	NA	req-agree
conj,NOUN,NOUN	NA	NA
subj,VERB,PRON	NA	NA
parataxis,AUX,VERB	NA	NA
comp:obj,VERB,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
comp:pred,AUX,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
subj,VERB,NOUN	NA	req-agree
det,NOUN,DET	NA	req-agree
conj,VERB,VERB	NA	NA
subj,VERB,DET	NA	req-agree
mod,NOUN,VERB	NA	NA
subj@pass,AUX,DET	NA	req-agree
mod,NOUN,AUX	NA	NA
comp:aux@pass,AUX,ADJ	NA	NA
subj@pass,AUX,NOUN	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
subj,AUX,PROPN	NA	NA
mod,NOUN,DET	NA	NA
comp:obj,ADJ,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
conj,PROPN,PROPN	NA	NA
conj,ADJ,ADJ	NA	req-agree
conj,AUX,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
subj,VERB,PROPN	NA	NA
udep,ADJ,NOUN	NA	NA
det,PROPN,DET	NA	req-agree
mod,PROPN,PROPN	NA	req-agree
mod,PROPN,NOUN	NA	NA
comp:aux,AUX,ADJ	NA	req-agree
comp:obj,VERB,ADJ	NA	req-agree
comp:aux,AUX,VERB	NA	req-agree
comp:obj,VERB,VERB	NA	NA
mod,PROPN,ADJ	NA	req-agree
conj,PROPN,NOUN	NA	NA
comp:obj,VERB,DET	NA	NA
udep,ADJ,PROPN	NA	req-agree
flat,PROPN,PROPN	NA	req-agree
comp:obl,VERB,PROPN	NA	NA
udep,VERB,NOUN	NA	NA
comp:obj,VERB,PROPN	NA	NA
appos,PROPN,NOUN	NA	req-agree
comp:obj,ADJ,PROPN	NA	NA
conj,ADJ,VERB	NA	NA
comp:obl,VERB,NOUN	NA	NA
mod,PROPN,VERB	NA	NA
det@numgov,NOUN,DET	NA	NA
conj,NOUN,PROPN	NA	NA
mod,NOUN,NUM	NA	req-agree
mod,NUM,DET	NA	NA
udep,VERB,NUM	NA	NA
mod,NUM,NOUN	NA	NA
conj,NUM,NUM	NA	req-agree
udep,AUX,NOUN	NA	NA
udep,VERB,PRON	NA	req-agree
mod,ADJ,PROPN	NA	req-agree
comp:obj,ADJ,DET	NA	req-agree
subj,VERB,NUM	NA	NA
appos,NOUN,PROPN	NA	NA
appos,NUM,NOUN	NA	req-agree
unk,VERB,NOUN	NA	req-agree
subj@pass,VERB,NOUN	NA	req-agree
appos,ADJ,NOUN	NA	req-agree
subj,AUX,DET	NA	req-agree
subj@pass,VERB,DET	NA	req-agree
parataxis,VERB,VERB	NA	NA
orphan,NOUN,PROPN	NA	NA
conj,VERB,NOUN	NA	req-agree
subj,VERB,ADJ	NA	req-agree
udep,ADJ,NUM	NA	req-agree
conj,VERB,AUX	NA	NA
det,NUM,DET	NA	req-agree
comp:pred,AUX,DET	NA	req-agree
conj,AUX,AUX	NA	NA
comp:pred,NOUN,ADJ	NA	NA
subj,AUX,ADJ	NA	req-agree
unk,VERB,DET	NA	NA
mod,DET,ADJ	NA	req-agree
mod,NOUN,PRON	NA	req-agree
udep,VERB,DET	NA	NA
appos,ADJ,ADJ	NA	req-agree
comp:obl@agent,ADJ,NOUN	NA	NA
comp:obj,VERB,NUM	NA	NA
conj,ADJ,NOUN	NA	req-agree
mod,ADJ,ADJ	NA	req-agree
mod,ADJ,NOUN	NA	req-agree
comp:pred,AUX,PROPN	NA	req-agree
subj@pass,AUX,PROPN	NA	req-agree
orphan,PROPN,PROPN	NA	req-agree
comp:pred,VERB,NOUN	NA	req-agree
udep,VERB,ADJ	NA	req-agree
comp:pred,PROPN,DET	NA	req-agree
comp:obl,VERB,DET	NA	NA
comp:obl,VERB,PRON	NA	NA
subj,AUX,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
mod,DET,VERB	NA	req-agree
comp:pred,VERB,ADJ	NA	req-agree
conj,NOUN,DET	NA	NA
mod,PRON,NOUN	NA	NA
conj,PRON,NOUN	NA	NA
det,PRON,DET	NA	req-agree
unk,DET,ADJ	NA	req-agree
udep,NOUN,NOUN	NA	NA
comp:pred,VERB,DET	NA	NA
conj,VERB,PROPN	NA	NA
orphan,PROPN,ADJ	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
mod,NUM,VERB	NA	req-agree
subj,AUX,NUM	NA	NA
unk,PROPN,PROPN	NA	req-agree
unk,PROPN,NOUN	NA	req-agree
conj,PRON,PROPN	NA	req-agree
orphan,NOUN,NOUN	NA	NA
udep,VERB,PROPN	NA	req-agree
unk,NOUN,ADJ	NA	NA
subj@pass,VERB,PROPN	NA	req-agree
comp:pred,NOUN,DET	NA	req-agree
conj,NUM,NOUN	NA	req-agree
mod,NUM,ADJ	NA	req-agree
appos,NOUN,DET	NA	req-agree
mod,ADJ,VERB	NA	req-agree
udep,VERB,ADV	NA	req-agree
unk,VERB,ADJ	NA	req-agree
mod,ADV,ADJ	NA	req-agree
conj,AUX,NOUN	NA	req-agree
conj,NOUN,AUX	NA	NA
