rel,head-pos,child-pos	tree-label	gold-label
comp:obj,VERB,PRON	NA	NA
subj,AUX,PRON	NA	NA
subj@cop,AUX,PRON	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
comp:aux,AUX,AUX	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
subj@cop,AUX,VERB	NA	req-agree
conj,AUX,AUX	req-agree	NA
conj,VERB,VERB	req-agree	NA
conj,VERB,AUX	NA	NA
subj,AUX,VERB	req-agree	NA
mod,VERB,PRON	req-agree	NA
comp:obj,VERB,AUX	NA	NA
comp:obj,VERB,VERB	NA	NA
subj,VERB,VERB	req-agree	req-agree
det,VERB,DET	req-agree	req-agree
mod,VERB,AUX	NA	NA
mod,AUX,VERB	req-agree	NA
mod,VERB,VERB	req-agree	req-agree
comp:pred,AUX,PRON	NA	NA
unk@fixed,VERB,PRON	req-agree	req-agree
comp:aux,AUX,VERB	NA	NA
conj,AUX,PRON	NA	req-agree
mod,PRON,VERB	NA	req-agree
mod,AUX,AUX	req-agree	req-agree
comp:pred,AUX,VERB	NA	NA
vocative,VERB,PRON	req-agree	req-agree
