rel,head-pos,child-pos	tree-label	gold-label
parataxis,AUX,AUX	NA	NA
udep,AUX,PRON	NA	req-agree
subj,VERB,PRON	NA	NA
subj,AUX,PRON	NA	req-agree
comp:pred,AUX,PRON	NA	req-agree
comp:aux,AUX,AUX	NA	NA
comp:aux,AUX,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
mod@relcl,PRON,VERB	NA	req-agree
dislocated,AUX,PRON	NA	NA
mod@relcl,PRON,AUX	NA	req-agree
conj,VERB,VERB	NA	req-agree
mod,AUX,AUX	NA	req-agree
conj,VERB,AUX	NA	req-agree
mod,AUX,PRON	NA	req-agree
det,PRON,DET	NA	req-agree
mod,AUX,VERB	NA	req-agree
dislocated,VERB,PRON	NA	NA
conj,PRON,PRON	NA	NA
conj,AUX,VERB	NA	NA
comp:obj,VERB,AUX	NA	req-agree
mod,VERB,PRON	NA	req-agree
conj,AUX,AUX	NA	req-agree
