rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	NA	req-agree
det,NOUN,DET	NA	req-agree
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	req-agree
mod,NOUN,PROPN	NA	NA
mod,PROPN,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:obj,VERB,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
comp:obl,VERB,PROPN	NA	req-agree
conj,PROPN,NOUN	NA	NA
conj,PROPN,PROPN	NA	req-agree
det,NOUN,PRON	NA	NA
conj,ADJ,NOUN	NA	NA
conj,NOUN,ADJ	NA	NA
subj,VERB,NOUN	NA	req-agree
subj,ADJ,NOUN	NA	req-agree
udep,VERB,NOUN	NA	NA
det,PRON,DET	NA	req-agree
conj,NUM,PRON	NA	req-agree
comp:obl,VERB,PRON	NA	NA
compound,PRON,PRON	NA	req-agree
mod,NOUN,VERB	NA	NA
comp:aux,AUX,VERB	NA	req-agree
conj,VERB,VERB	NA	NA
mod,NOUN,AUX	NA	NA
comp:obj,VERB,PROPN	NA	NA
conj,VERB,ADJ	NA	NA
comp:obj,VERB,VERB	NA	NA
udep,VERB,PRON	NA	NA
subj@pass,VERB,NOUN	NA	req-agree
subj,VERB,PRON	NA	req-agree
conj,ADJ,VERB	NA	req-agree
comp:pred,VERB,VERB	NA	req-agree
udep,NOUN,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
comp:pred,VERB,ADJ	NA	req-agree
orphan,PRON,PRON	NA	req-agree
subj,VERB,PROPN	NA	req-agree
vocative,NOUN,PROPN	NA	req-agree
udep,NOUN,PRON	NA	NA
conj,NOUN,VERB	NA	NA
flat@name,PROPN,PROPN	NA	req-agree
orphan,NOUN,NOUN	NA	NA
mod,ADJ,ADJ	NA	req-agree
conj,ADJ,ADJ	NA	req-agree
subj,AUX,PRON	NA	req-agree
conj,VERB,AUX	NA	NA
det,NUM,DET	NA	req-agree
discourse,ADJ,NUM	NA	NA
compound,DET,PRON	NA	req-agree
comp:pred,AUX,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
conj,VERB,NOUN	NA	NA
subj,AUX,NOUN	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
mod,NUM,VERB	NA	req-agree
comp:obl,NOUN,PRON	NA	NA
det,ADJ,DET	NA	NA
mod,VERB,VERB	NA	NA
subj,ADJ,PRON	NA	req-agree
subj,NOUN,PRON	NA	NA
discourse,VERB,NOUN	NA	NA
appos,PRON,PROPN	NA	req-agree
subj@pass,AUX,PRON	NA	req-agree
comp:aux@pass,AUX,VERB	NA	req-agree
vocative,VERB,PROPN	NA	req-agree
compound,NOUN,NOUN	NA	req-agree
parataxis,VERB,VERB	NA	req-agree
conj,NOUN,NUM	NA	NA
parataxis,PRON,PRON	NA	req-agree
vocative,VERB,NOUN	NA	req-agree
orphan,NOUN,PRON	NA	req-agree
discourse,AUX,NOUN	NA	req-agree
orphan,ADJ,NOUN	NA	NA
parataxis,VERB,NOUN	NA	NA
conj,PRON,NOUN	NA	NA
dislocated,PRON,NOUN	NA	req-agree
parataxis,NOUN,VERB	NA	req-agree
udep,PRON,PRON	NA	NA
conj,PRON,PRON	NA	req-agree
vocative,NOUN,NOUN	NA	NA
vocative,PRON,NOUN	NA	req-agree
conj,PRON,VERB	NA	req-agree
mod,PRON,NUM	NA	req-agree
appos,PRON,NOUN	NA	req-agree
udep,VERB,PROPN	NA	NA
orphan,PRON,NOUN	NA	req-agree
subj,PRON,NOUN	NA	req-agree
udep,ADJ,NOUN	NA	NA
udep,AUX,PRON	NA	req-agree
mod,PRON,VERB	NA	req-agree
comp:obj,VERB,ADJ	NA	req-agree
vocative,VERB,ADJ	NA	NA
conj,NUM,NUM	NA	NA
mod,PROPN,NUM	NA	req-agree
mod,ADJ,NOUN	NA	NA
mod,PRON,ADJ	NA	req-agree
subj,VERB,ADJ	NA	req-agree
det,VERB,DET	NA	NA
udep,AUX,NOUN	NA	NA
comp:obj,NOUN,PRON	NA	NA
discourse,NOUN,NUM	NA	req-agree
mod,PROPN,ADJ	NA	req-agree
mod,VERB,NOUN	NA	NA
comp:obl,NOUN,PROPN	NA	req-agree
conj,AUX,VERB	NA	req-agree
unk,DET,PRON	NA	req-agree
conj,NOUN,PRON	NA	req-agree
udep,ADJ,PRON	NA	req-agree
compound,NUM,NUM	NA	req-agree
mod,PROPN,PROPN	NA	req-agree
parataxis,NOUN,NOUN	NA	NA
subj@pass,AUX,NOUN	NA	req-agree
comp:obl,ADJ,NOUN	NA	NA
discourse,NOUN,NOUN	NA	NA
udep,PROPN,NUM	NA	req-agree
mod,NOUN,PRON	NA	NA
mod,PROPN,VERB	NA	req-agree
subj@pass,VERB,PRON	NA	req-agree
udep,ADJ,PROPN	NA	req-agree
parataxis,NUM,PRON	NA	req-agree
unk,PRON,NOUN	NA	req-agree
discourse,ADJ,VERB	NA	req-agree
comp:obj,PRON,VERB	NA	NA
appos,NOUN,PROPN	NA	NA
appos,PROPN,NOUN	NA	req-agree
conj,PROPN,PRON	NA	NA
parataxis,NOUN,PROPN	NA	NA
subj,NOUN,NOUN	NA	NA
mod,VERB,NUM	NA	req-agree
subj,VERB,VERB	NA	req-agree
mod,VERB,ADJ	NA	req-agree
comp:obl,VERB,VERB	NA	NA
comp:pred,NOUN,VERB	NA	req-agree
conj,VERB,PRON	NA	req-agree
comp:obl,VERB,NUM	NA	NA
mod,ADJ,VERB	NA	req-agree
discourse,VERB,VERB	NA	req-agree
comp:pred,AUX,VERB	NA	req-agree
comp:obl,NOUN,NOUN	NA	NA
det,PROPN,DET	NA	req-agree
det,DET,DET	NA	req-agree
conj,DET,ADJ	NA	req-agree
unk,ADJ,NOUN	NA	NA
comp:obl,NOUN,NUM	NA	req-agree
comp:aux,AUX,NOUN	NA	req-agree
flat@name,NOUN,PROPN	NA	req-agree
conj,AUX,NOUN	NA	NA
comp:pred,VERB,AUX	NA	req-agree
discourse,NOUN,VERB	NA	req-agree
appos,PROPN,PROPN	NA	req-agree
parataxis,PROPN,VERB	NA	req-agree
parataxis,PROPN,AUX	NA	NA
conj,AUX,ADJ	NA	NA
compound,NUM,PRON	NA	req-agree
unk,NUM,NOUN	NA	NA
mod,ADJ,PROPN	NA	NA
parataxis,PROPN,ADJ	NA	req-agree
mod,ADJ,NUM	NA	req-agree
subj,AUX,PROPN	NA	req-agree
conj,PRON,PROPN	NA	req-agree
mod,NUM,NOUN	NA	req-agree
unk,NOUN,NOUN	NA	req-agree
unk,ADJ,PROPN	NA	NA
parataxis,ADJ,NOUN	NA	NA
unk,VERB,ADJ	NA	req-agree
discourse,VERB,PROPN	NA	req-agree
