rel,head-pos,child-pos	tree-label	gold-label
mod,VERB,AUX	req-agree	NA
comp:obj,VERB,VERB	req-agree	NA
mod,AUX,VERB	NA	req-agree
mod,AUX,AUX	req-agree	NA
comp:obj,VERB,AUX	req-agree	NA
conj,AUX,VERB	NA	req-agree
parataxis,VERB,VERB	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
comp:aux,AUX,VERB	req-agree	NA
conj,VERB,AUX	req-agree	NA
subj,VERB,PRON	NA	req-agree
parataxis,VERB,AUX	req-agree	req-agree
comp:pred,VERB,AUX	req-agree	req-agree
compound,AUX,NOUN	NA	req-agree
conj,NOUN,NOUN	NA	req-agree
parataxis,AUX,AUX	NA	NA
comp:pred,AUX,VERB	req-agree	req-agree
parataxis,AUX,VERB	req-agree	NA
dislocated,AUX,VERB	req-agree	NA
comp:aux@q,AUX,AUX	NA	req-agree
udep,VERB,NOUN	req-agree	NA
comp:pred,VERB,NOUN	req-agree	NA
subj,AUX,NOUN	NA	req-agree
mod,VERB,VERB	req-agree	NA
subj,VERB,NOUN	NA	req-agree
subj,AUX,AUX	NA	req-agree
udep,VERB,AUX	req-agree	NA
mod@emph,VERB,ADV	NA	req-agree
comp:obj,NOUN,PRON	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
comp:aux,AUX,AUX	req-agree	req-agree
mod,VERB,ADV	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
udep,AUX,NOUN	NA	req-agree
conj,AUX,AUX	NA	req-agree
mod,NOUN,PRON	req-agree	req-agree
punct,VERB,PUNCT	NA	req-agree
comp:aux@q,AUX,VERB	NA	NA
mod,VERB,PRON	NA	req-agree
udep@tmod,VERB,NOUN	NA	req-agree
unk@fixed,NOUN,ADJ	NA	NA
