rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
mod@poss,NOUN,PRON	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
mod@poss,NOUN,NOUN	NA	NA
appos,NOUN,NOUN	req-agree	NA
compound,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
det,ADJ,DET	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod,PRON,ADJ	req-agree	req-agree
subj,NOUN,PRON	NA	req-agree
det,NOUN,PRON	NA	NA
conj,PRON,PRON	NA	req-agree
compound,NOUN,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
mod@poss,NOUN,PROPN	NA	req-agree
subj,ADJ,DET	req-agree	req-agree
comp:pred,PRON,ADJ	req-agree	req-agree
comp:obj,PRON,NOUN	NA	req-agree
mod,PROPN,NOUN	NA	req-agree
det,PROPN,DET	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
conj,ADJ,NOUN	NA	NA
unk@fixed,ADJ,NOUN	NA	req-agree
mod,NOUN,NUM	NA	req-agree
unk@fixed,PRON,NOUN	NA	req-agree
unk@fixed,DET,ADJ	req-agree	req-agree
appos,NOUN,PRON	NA	NA
unk@fixed,ADJ,ADJ	req-agree	req-agree
conj,NOUN,ADJ	req-agree	req-agree
subj,NOUN,DET	req-agree	req-agree
conj,PRON,NOUN	NA	NA
appos,ADJ,NOUN	NA	req-agree
parataxis,NOUN,NOUN	NA	req-agree
mod,NOUN,PRON	NA	NA
conj,NUM,ADJ	req-agree	req-agree
subj,ADJ,NOUN	NA	req-agree
mod,ADJ,NOUN	NA	req-agree
unk@fixed,DET,NOUN	NA	req-agree
conj,NOUN,PRON	NA	req-agree
comp:obj,ADJ,NOUN	NA	NA
appos,PRON,NOUN	NA	NA
