rel,head-pos,child-pos	tree-label	gold-label
udep,VERB,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
comp:obj,ADP,NOUN	NA	NA
udep@poss,NOUN,ADP	NA	NA
subj,AUX,NOUN	NA	req-agree
det,NOUN,DET	NA	req-agree
subj,VERB,NOUN	NA	NA
subj,NOUN,PROPN	NA	req-agree
comp:obj,ADP,PRON	NA	NA
flat,NOUN,NOUN	NA	NA
appos,NOUN,PROPN	NA	NA
subj,VERB,PRON	NA	NA
conj,VERB,VERB	NA	req-agree
comp:obj,VERB,PRON	NA	NA
subj,ADJ,NOUN	NA	req-agree
conj,ADJ,ADJ	NA	req-agree
subj,VERB,PROPN	NA	NA
udep,NOUN,NOUN	NA	NA
mod,VERB,VERB	NA	NA
compound@lvc,VERB,ADJ	NA	req-agree
mod@relcl,PRON,VERB	NA	req-agree
subj,AUX,PROPN	NA	NA
comp:aux,AUX,VERB	NA	req-agree
subj,AUX,PRON	NA	req-agree
comp:obj,ADP,PROPN	NA	NA
comp:obl,VERB,NOUN	NA	req-agree
parataxis,VERB,VERB	NA	req-agree
