rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
conj,NOUN,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
mod,VERB,ADJ	req-agree	NA
subj@pass,ADJ,NOUN	NA	req-agree
det@poss,NOUN,DET	req-agree	req-agree
det@predet,NOUN,DET	req-agree	req-agree
vocative,NOUN,NOUN	NA	req-agree
compound,NOUN,NOUN	NA	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
subj@pass,VERB,PRON	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
conj,NOUN,PRON	req-agree	NA
mod,PRON,VERB	req-agree	req-agree
subj@pass,VERB,NOUN	NA	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
conj,NOUN,ADJ	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
mod,NOUN,PRON	req-agree	req-agree
mod@relcl,NOUN,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	req-agree
