rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
det,PROPN,DET	req-agree	NA
mod,NOUN,PROPN	req-agree	NA
flat,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
det,NOUN,DET	req-agree	NA
conj,ADJ,ADJ	req-agree	NA
det,PRON,DET	req-agree	NA
mod,NOUN,PRON	NA	NA
compound,PRON,DET	req-agree	NA
appos,PRON,PROPN	req-agree	NA
mod,NOUN,NUM	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
appos,PRON,NOUN	NA	req-agree
mod,ADJ,ADJ	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
det,ADJ,DET	req-agree	NA
mod,NOUN,VERB	req-agree	req-agree
mod,PROPN,NOUN	req-agree	NA
comp:obl,ADJ,NOUN	NA	NA
comp:pred,VERB,NOUN	NA	req-agree
det,NUM,DET	req-agree	req-agree
det,PROPN,PRON	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
flat,PROPN,NOUN	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
conj,NOUN,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
flat,NOUN,PROPN	req-agree	req-agree
mod,PRON,ADJ	req-agree	NA
conj,PRON,PRON	req-agree	req-agree
conj,NOUN,PRON	req-agree	NA
mod@tmod,PROPN,NUM	req-agree	NA
mod@tmod,NOUN,NUM	req-agree	req-agree
mod,PROPN,VERB	req-agree	req-agree
mod,PROPN,NUM	req-agree	req-agree
comp:obl,VERB,NOUN	NA	NA
mod@tmod,PRON,NOUN	NA	NA
appos,NUM,PROPN	req-agree	req-agree
mod,PRON,NUM	req-agree	req-agree
comp:obl,PROPN,PROPN	req-agree	req-agree
conj,ADJ,PROPN	req-agree	NA
conj,PROPN,PRON	req-agree	req-agree
mod,PROPN,PROPN	req-agree	NA
appos,PROPN,PROPN	req-agree	req-agree
mod,PROPN,PRON	NA	NA
conj,NOUN,PROPN	req-agree	req-agree
comp:obl,PROPN,NOUN	req-agree	req-agree
comp:obl,VERB,PROPN	req-agree	NA
det,VERB,DET	req-agree	req-agree
mod,VERB,NUM	req-agree	req-agree
flat,NOUN,NOUN	NA	req-agree
comp:obl,ADJ,PRON	req-agree	req-agree
appos,PRON,PRON	req-agree	req-agree
appos,PRON,VERB	req-agree	req-agree
conj,VERB,NOUN	req-agree	req-agree
subj,VERB,NOUN	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
mod,PRON,VERB	req-agree	req-agree
appos,VERB,NOUN	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
appos,NOUN,PRON	req-agree	NA
comp:obl,VERB,NUM	req-agree	req-agree
comp:obl,VERB,PRON	NA	req-agree
comp:obl,NOUN,NOUN	NA	NA
appos,ADJ,VERB	req-agree	req-agree
orphan,NOUN,NOUN	NA	NA
subj,NOUN,PROPN	req-agree	NA
udep,VERB,NOUN	NA	NA
comp:obj,NOUN,PROPN	req-agree	req-agree
comp:obj,NOUN,PRON	NA	req-agree
comp:pred,VERB,PRON	NA	req-agree
appos,NOUN,NUM	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	req-agree
appos,VERB,VERB	NA	req-agree
mod,NOUN,DET	req-agree	req-agree
orphan,PRON,NUM	NA	NA
comp:obl,NOUN,PRON	NA	NA
orphan,NOUN,PROPN	req-agree	req-agree
subj@pass,VERB,NOUN	NA	req-agree
mod,NUM,NUM	NA	req-agree
comp:obj,VERB,NOUN	NA	req-agree
subj,ADJ,PROPN	req-agree	NA
conj,NUM,NOUN	NA	NA
compound,NUM,NUM	req-agree	req-agree
subj,PROPN,PRON	req-agree	req-agree
orphan,PROPN,PRON	req-agree	NA
det,DET,DET	req-agree	NA
compound,NOUN,NOUN	NA	req-agree
compound,PROPN,NOUN	req-agree	NA
det,NOUN,PRON	NA	req-agree
subj,ADJ,NOUN	NA	req-agree
