rel,head-pos,child-pos	tree-label	gold-label
comp:obj,NOUN,PRON	NA	NA
det,NOUN,DET	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
subj,VERB,NOUN	req-agree	NA
parataxis@discourse,VERB,VERB	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
comp:aux,AUX,AUX	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
subj,AUX,NOUN	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	NA
comp:pred,AUX,DET	req-agree	req-agree
parataxis,VERB,AUX	NA	NA
subj,VERB,PRON	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
subj,VERB,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
reparandum,DET,DET	NA	req-agree
comp:aux,AUX,VERB	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
parataxis@restart,NOUN,AUX	req-agree	req-agree
mod,NOUN,NUM	req-agree	NA
unk@expl,AUX,DET	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
comp:obj,VERB,DET	NA	NA
conj,AUX,AUX	req-agree	NA
udep,VERB,NOUN	NA	NA
subj,AUX,DET	req-agree	NA
conj,ADJ,ADJ	req-agree	NA
mod,DET,VERB	NA	NA
conj,VERB,AUX	req-agree	NA
mod,NOUN,PROPN	req-agree	NA
comp:obl,VERB,PRON	NA	NA
mod,PRON,DET	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
parataxis,AUX,AUX	NA	NA
udep,AUX,NOUN	NA	NA
mod,NOUN,DET	req-agree	NA
mod,DET,AUX	NA	req-agree
subj,AUX,PROPN	req-agree	req-agree
reparandum,NOUN,NOUN	NA	NA
subj,NOUN,NOUN	req-agree	req-agree
dislocated,AUX,NOUN	NA	NA
parataxis@discourse,AUX,VERB	req-agree	NA
comp:obj,VERB,PROPN	NA	NA
mod,NOUN,AUX	req-agree	req-agree
udep,AUX,DET	NA	NA
flat,NUM,NUM	req-agree	NA
conj,NUM,NUM	req-agree	req-agree
comp:obj,ADJ,PRON	NA	NA
parataxis,VERB,NUM	NA	NA
mod,ADJ,NUM	req-agree	req-agree
conj@extend,VERB,DET	req-agree	req-agree
unk@expl,VERB,PRON	req-agree	NA
parataxis,PROPN,AUX	NA	NA
reparandum,DET,AUX	NA	req-agree
udep,DET,DET	NA	req-agree
conj,NOUN,DET	NA	NA
parataxis,AUX,VERB	NA	NA
vocative,AUX,NOUN	NA	req-agree
det,DET,DET	NA	req-agree
mod,PROPN,PROPN	req-agree	req-agree
comp:obj,ADJ,DET	NA	req-agree
parataxis,NOUN,NOUN	req-agree	NA
parataxis,NOUN,AUX	NA	NA
comp:obl,VERB,NOUN	NA	NA
parataxis@restart,VERB,VERB	req-agree	NA
mod,NUM,ADJ	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
reparandum,VERB,VERB	req-agree	NA
mod,ADJ,ADJ	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
