rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,NOUN	req-agree	req-agree
parataxis,NOUN,VERB	NA	NA
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
subj,NOUN,NOUN	req-agree	NA
comp:aux,AUX,AUX	NA	req-agree
subj,AUX,NOUN	req-agree	req-agree
conj,VERB,VERB	NA	NA
subj,AUX,PROPN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	NA
conj,PROPN,PROPN	req-agree	req-agree
conj,PROPN,NOUN	NA	NA
mod@relcl,PROPN,VERB	NA	NA
mod,PROPN,NOUN	NA	NA
subj@pass,AUX,PROPN	req-agree	req-agree
mod@relcl,NOUN,AUX	req-agree	NA
subj@pass,AUX,NOUN	req-agree	req-agree
appos,NOUN,PROPN	req-agree	NA
subj,VERB,PROPN	req-agree	req-agree
subj@pass,AUX,AUX	req-agree	req-agree
mod,VERB,VERB	NA	req-agree
conj,VERB,AUX	NA	NA
mod,NOUN,VERB	NA	req-agree
appos,NOUN,NOUN	NA	NA
parataxis,NOUN,NOUN	NA	NA
comp:pred,VERB,NOUN	req-agree	req-agree
mod,PROPN,PROPN	NA	req-agree
conj,AUX,VERB	NA	req-agree
comp:obj,VERB,PROPN	NA	req-agree
parataxis,AUX,NOUN	NA	req-agree
mod,NOUN,PROPN	NA	NA
parataxis,PROPN,NOUN	NA	NA
conj,AUX,AUX	NA	NA
parataxis,VERB,PROPN	NA	req-agree
conj,PROPN,VERB	NA	req-agree
mod,VERB,AUX	NA	req-agree
parataxis,VERB,NOUN	NA	NA
parataxis,AUX,VERB	NA	req-agree
comp:pred,AUX,PROPN	NA	NA
parataxis,NOUN,PROPN	req-agree	NA
subj,NOUN,PROPN	req-agree	req-agree
mod@relcl,PROPN,PROPN	req-agree	req-agree
conj,NOUN,AUX	NA	req-agree
parataxis,VERB,AUX	NA	NA
parataxis,AUX,AUX	NA	NA
mod,NOUN,AUX	NA	req-agree
mod@relcl,NOUN,NOUN	NA	NA
parataxis,VERB,VERB	NA	NA
conj,VERB,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	req-agree
compound@prt,VERB,NOUN	NA	req-agree
udep,NOUN,NOUN	NA	NA
flat,NOUN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
parataxis,PROPN,PROPN	req-agree	req-agree
flat,PROPN,NOUN	req-agree	req-agree
conj,AUX,PROPN	req-agree	req-agree
unk@fixed,NOUN,VERB	NA	req-agree
udep,NOUN,PROPN	NA	req-agree
comp:obj,NOUN,NOUN	NA	req-agree
parataxis,AUX,PROPN	req-agree	NA
comp:obl,VERB,PROPN	NA	NA
mod@poss,NOUN,PROPN	req-agree	req-agree
comp:pred,VERB,PROPN	NA	req-agree
conj,NOUN,PROPN	req-agree	NA
unk@fixed,NOUN,NOUN	NA	NA
flat,PROPN,PROPN	req-agree	req-agree
