rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
subj@pass,VERB,NOUN	req-agree	req-agree
mod,NOUN,PRON	NA	NA
det,NOUN,PRON	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,NUM	req-agree	NA
conj,ADJ,NOUN	req-agree	NA
comp:obl,ADJ,ADJ	req-agree	NA
mod,PRON,PRON	req-agree	req-agree
det,NOUN,DET	req-agree	NA
appos,PRON,NOUN	req-agree	NA
det,ADJ,DET	req-agree	NA
comp:obl,ADJ,PRON	req-agree	NA
comp:pred,VERB,NOUN	req-agree	NA
mod,VERB,ADJ	req-agree	req-agree
comp:obl,VERB,ADJ	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
mod,NOUN,PROPN	NA	NA
conj,PROPN,PROPN	req-agree	NA
mod,ADJ,ADJ	req-agree	NA
appos,ADJ,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
appos,PROPN,NOUN	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
appos,NOUN,NUM	req-agree	NA
subj@pass,VERB,PRON	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
conj,ADJ,ADJ	req-agree	NA
conj,NOUN,ADJ	req-agree	NA
mod,ADJ,PROPN	NA	NA
conj,PROPN,VERB	req-agree	req-agree
mod,NOUN,VERB	req-agree	NA
mod,ADJ,NOUN	NA	NA
mod,NUM,NOUN	req-agree	NA
comp:pred,VERB,VERB	req-agree	req-agree
comp:obl,VERB,NOUN	req-agree	NA
udep,VERB,NOUN	NA	NA
subj@pass,VERB,ADJ	req-agree	NA
mod,PROPN,PROPN	NA	req-agree
conj,ADJ,PROPN	req-agree	req-agree
subj,ADJ,ADJ	req-agree	NA
subj,ADJ,NOUN	NA	NA
appos,PRON,ADJ	req-agree	req-agree
comp:obl,VERB,PRON	req-agree	NA
det,VERB,DET	req-agree	NA
comp:obj,ADJ,PRON	NA	NA
conj,ADJ,VERB	req-agree	NA
conj,VERB,VERB	req-agree	NA
subj,VERB,ADJ	req-agree	req-agree
comp:obl,ADJ,NOUN	req-agree	NA
det,ADJ,PRON	req-agree	NA
mod,PROPN,NOUN	req-agree	NA
appos,ADJ,PROPN	req-agree	req-agree
orphan,PROPN,ADJ	req-agree	NA
conj,PRON,PRON	req-agree	req-agree
conj,PROPN,NOUN	NA	NA
appos,NUM,PROPN	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
orphan,ADJ,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
comp:obj,VERB,PROPN	req-agree	NA
det,PRON,DET	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
comp:obl,VERB,PROPN	req-agree	NA
conj,PRON,NOUN	NA	NA
subj,NOUN,PRON	NA	req-agree
comp:obl,NOUN,PRON	NA	NA
subj,NOUN,NOUN	NA	NA
mod,PRON,NOUN	req-agree	NA
comp:obj,VERB,ADJ	NA	NA
orphan,PROPN,VERB	req-agree	NA
orphan,NOUN,VERB	req-agree	NA
mod,ADJ,PRON	req-agree	req-agree
appos,NOUN,ADJ	req-agree	req-agree
mod,ADJ,VERB	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
comp:obl,NOUN,VERB	req-agree	NA
appos,VERB,ADJ	req-agree	req-agree
subj,ADJ,PRON	req-agree	NA
conj,VERB,ADJ	req-agree	NA
mod,NUM,NUM	req-agree	NA
mod,NUM,VERB	req-agree	NA
conj,VERB,NOUN	req-agree	req-agree
udep,ADJ,PRON	req-agree	NA
mod,NUM,ADJ	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
comp:obj,ADJ,ADJ	NA	NA
unk@fixed,PROPN,PROPN	req-agree	req-agree
mod,PROPN,ADJ	req-agree	NA
subj,ADJ,PROPN	req-agree	req-agree
comp:obj,PRON,ADJ	NA	req-agree
comp:obl@agent,VERB,PRON	req-agree	NA
subj,PRON,PRON	req-agree	req-agree
subj,NOUN,PROPN	req-agree	req-agree
orphan,PRON,NOUN	NA	NA
orphan,NOUN,NOUN	NA	req-agree
det,PROPN,PRON	req-agree	NA
comp:obl,ADJ,PROPN	req-agree	NA
subj,VERB,PROPN	req-agree	req-agree
mod,DET,PRON	req-agree	req-agree
orphan,PRON,PROPN	req-agree	req-agree
udep,NOUN,PRON	NA	NA
orphan,ADJ,NOUN	NA	req-agree
dislocated,ADJ,NUM	req-agree	NA
conj,PROPN,ADJ	req-agree	req-agree
orphan,PROPN,PROPN	req-agree	NA
comp:obl,NOUN,ADJ	req-agree	req-agree
orphan,DET,PRON	req-agree	NA
conj,PRON,ADJ	req-agree	NA
appos,DET,PRON	req-agree	NA
comp:obj,VERB,VERB	NA	req-agree
subj@pass,VERB,PROPN	req-agree	req-agree
comp:obj,VERB,NUM	NA	NA
appos,PROPN,ADJ	req-agree	NA
conj,NOUN,PROPN	req-agree	req-agree
subj,NUM,NOUN	NA	NA
conj,NUM,NOUN	NA	NA
orphan,NOUN,NUM	req-agree	NA
appos,PROPN,NUM	req-agree	req-agree
unk@fixed,NUM,NUM	req-agree	req-agree
conj,NOUN,VERB	req-agree	NA
comp:obl@agent,VERB,NOUN	req-agree	NA
conj,PRON,PROPN	req-agree	NA
subj,AUX,ADJ	req-agree	req-agree
udep,AUX,PRON	req-agree	NA
comp:obj,NOUN,ADJ	NA	req-agree
comp:obj,ADJ,PROPN	req-agree	req-agree
orphan,NOUN,PRON	NA	req-agree
mod,DET,NOUN	NA	req-agree
comp:obl,ADJ,VERB	req-agree	NA
subj,PRON,NOUN	NA	req-agree
det,PRON,PRON	req-agree	NA
conj,NOUN,PRON	NA	NA
