rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PROPN	NA	NA
mod,PROPN,ADJ	NA	req-agree
parataxis,VERB,VERB	NA	NA
udep,VERB,ADJ	NA	req-agree
mod,ADJ,NOUN	NA	req-agree
subj,VERB,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
mod,NOUN,NOUN	NA	NA
appos,NOUN,PROPN	NA	req-agree
conj,NOUN,VERB	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
flat@name,PROPN,PROPN	NA	req-agree
udep,VERB,PRON	NA	req-agree
mod,NOUN,PROPN	NA	NA
comp:obj,VERB,PROPN	NA	req-agree
conj,ADJ,ADJ	NA	NA
comp:pred,VERB,ADJ	NA	req-agree
parataxis,PROPN,VERB	NA	req-agree
appos,NOUN,VERB	NA	req-agree
subj,NOUN,PRON	NA	NA
mod,NOUN,NUM	NA	req-agree
mod,NOUN,VERB	NA	req-agree
subj,AUX,NOUN	NA	NA
comp:aux@pass,AUX,VERB	NA	req-agree
det,NOUN,DET	NA	req-agree
mod,NOUN,DET	NA	req-agree
flat,DET,ADJ	NA	req-agree
conj,PROPN,PROPN	NA	req-agree
conj,NOUN,NOUN	NA	NA
subj,ADJ,PROPN	NA	req-agree
parataxis,ADJ,VERB	NA	req-agree
comp:obl,NOUN,PRON	NA	NA
comp:obj,ADJ,NOUN	NA	req-agree
subj,ADJ,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
mod@relcl,NOUN,VERB	NA	NA
subj,VERB,PRON	NA	NA
udep,AUX,ADJ	NA	req-agree
comp:aux@pass,AUX,ADJ	NA	req-agree
comp:aux,AUX,VERB	NA	req-agree
appos,NOUN,NOUN	NA	NA
conj,VERB,VERB	NA	NA
subj,ADJ,PRON	NA	req-agree
appos,NOUN,ADJ	NA	req-agree
comp:obj,VERB,DET	NA	NA
appos,DET,NOUN	NA	req-agree
conj,PROPN,NOUN	NA	NA
appos,PROPN,NOUN	NA	req-agree
mod,PROPN,VERB	NA	req-agree
mod@relcl,PRON,ADJ	NA	req-agree
mod@gov,NOUN,NOUN	NA	req-agree
mod@relcl,PROPN,VERB	NA	req-agree
comp:obl@agent,VERB,PROPN	NA	req-agree
subj,AUX,PRON	NA	req-agree
conj,AUX,AUX	NA	req-agree
comp:obj,VERB,ADJ	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
parataxis,AUX,ADJ	NA	NA
parataxis,AUX,VERB	NA	NA
comp:obl,VERB,PROPN	NA	NA
mod,PROPN,PROPN	NA	req-agree
conj,VERB,AUX	NA	req-agree
unk@fixed,ADJ,NOUN	NA	req-agree
comp:pred,VERB,NOUN	NA	NA
comp:obl@agent,VERB,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
subj,NOUN,NOUN	NA	req-agree
comp:obl,VERB,PRON	NA	NA
appos,ADJ,ADJ	NA	req-agree
subj@pass,VERB,NOUN	NA	NA
comp:obl@agent,VERB,PRON	NA	NA
mod,NOUN,PRON	NA	NA
unk@fixed,DET,NOUN	NA	req-agree
parataxis,NOUN,NOUN	NA	NA
cc,NOUN,CCONJ	NA	NA
mod,ADJ,ADJ	NA	req-agree
subj@pass,VERB,PRON	NA	req-agree
mod,VERB,ADJ	NA	req-agree
conj,ADJ,VERB	NA	req-agree
