rel,head-pos,child-pos	tree-label	gold-label
comp:obj,VERB,PRON	req-agree	NA
parataxis@discourse,AUX,VERB	req-agree	NA
conj,AUX,AUX	req-agree	req-agree
comp:aux,AUX,VERB	NA	NA
parataxis,AUX,AUX	NA	NA
parataxis,AUX,VERB	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
comp:obj,VERB,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
comp:obj,VERB,AUX	NA	req-agree
conj,VERB,AUX	NA	NA
parataxis,VERB,AUX	req-agree	NA
unk@expl,VERB,PRON	req-agree	NA
subj,AUX,PRON	req-agree	NA
unk@expl,AUX,PRON	NA	req-agree
conj,VERB,VERB	req-agree	NA
mod,VERB,VERB	NA	req-agree
subj,VERB,PRON	req-agree	req-agree
conj,AUX,VERB	req-agree	req-agree
mod,AUX,AUX	NA	NA
parataxis@obj,VERB,AUX	NA	req-agree
parataxis@discourse,VERB,VERB	NA	NA
comp@pass,VERB,PRON	NA	req-agree
conj,PRON,PRON	req-agree	NA
comp:aux,AUX,AUX	NA	NA
orphan,AUX,PRON	NA	req-agree
