rel,head-pos,child-pos	tree-label	gold-label
udep,VERB,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
subj,VERB,PROPN	req-agree	req-agree
flat,PROPN,PROPN	req-agree	req-agree
conj,NOUN,NOUN	NA	NA
mod,ADJ,NOUN	NA	NA
mod,VERB,ADJ	NA	NA
comp:obj,VERB,VERB	NA	NA
subj,AUX,NOUN	NA	NA
subj,NOUN,NOUN	NA	NA
udep,VERB,PROPN	req-agree	req-agree
subj,VERB,NOUN	NA	NA
udep,VERB,PRON	NA	NA
udep,ADJ,NOUN	NA	req-agree
mod@poss,NOUN,PROPN	req-agree	NA
compound,NOUN,VERB	NA	NA
subj,VERB,PRON	NA	NA
mod,NOUN,ADJ	NA	NA
comp:obj,VERB,PRON	NA	NA
subj,NOUN,VERB	NA	NA
mod,NOUN,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	NA
compound,NOUN,NOUN	NA	NA
conj,VERB,VERB	NA	NA
conj,VERB,NOUN	NA	NA
comp:obj,NOUN,PROPN	NA	req-agree
compound,PROPN,NOUN	NA	req-agree
udep,AUX,NOUN	NA	NA
comp:pred,AUX,ADJ	NA	NA
conj,NOUN,AUX	NA	req-agree
mod@poss,ADJ,PROPN	req-agree	req-agree
mod@poss,NOUN,NOUN	NA	NA
comp:pred,AUX,NOUN	NA	NA
flat,NOUN,PROPN	req-agree	req-agree
compound@redup,ADJ,ADJ	NA	NA
mod,NOUN,PROPN	req-agree	req-agree
mod,PROPN,NOUN	NA	req-agree
compound@redup,NOUN,NOUN	NA	req-agree
mod@poss,NOUN,PRON	NA	NA
conj,PROPN,VERB	NA	NA
mod,VERB,VERB	NA	NA
comp:obj,VERB,ADJ	NA	NA
subj,AUX,PROPN	req-agree	req-agree
conj,ADJ,AUX	NA	NA
mod,NOUN,PRON	NA	NA
udep,ADJ,PRON	NA	NA
mod@poss,ADJ,NOUN	NA	NA
compound@lvc,NOUN,VERB	NA	NA
mod@poss,NOUN,ADJ	NA	NA
compound,NOUN,PROPN	req-agree	NA
mod,PROPN,ADJ	NA	req-agree
mod,NOUN,NUM	NA	req-agree
comp:obj,ADJ,NOUN	NA	req-agree
compound,ADJ,NOUN	NA	req-agree
conj,ADJ,NOUN	NA	NA
flat,NOUN,NOUN	NA	NA
mod,NUM,NOUN	NA	NA
flat,NUM,NUM	NA	req-agree
conj,NUM,NUM	NA	req-agree
compound@redup,ADJ,NOUN	NA	req-agree
compound,VERB,NOUN	NA	NA
conj,NOUN,PROPN	req-agree	req-agree
compound,VERB,ADJ	NA	req-agree
subj,NOUN,PROPN	req-agree	req-agree
mod@poss,ADJ,ADJ	NA	NA
conj,ADJ,VERB	NA	req-agree
subj,AUX,PRON	NA	NA
conj,NOUN,VERB	NA	NA
compound,ADJ,VERB	NA	NA
compound@redup,PRON,PRON	NA	req-agree
mod,PRON,PRON	NA	NA
mod,ADJ,PRON	NA	NA
subj,ADJ,PRON	NA	NA
mod,VERB,AUX	NA	req-agree
conj,VERB,ADJ	NA	req-agree
subj,VERB,ADJ	NA	NA
comp:pred,VERB,NOUN	NA	req-agree
mod@poss,ADJ,PRON	NA	NA
comp:obj,VERB,PROPN	req-agree	NA
conj,PROPN,PROPN	req-agree	req-agree
flat,ADJ,NOUN	NA	NA
flat,PROPN,NOUN	NA	req-agree
mod,NOUN,VERB	NA	NA
mod,VERB,ADV	NA	req-agree
det,NOUN,PRON	NA	req-agree
mod@poss,PRON,NOUN	NA	NA
comp:obj,ADP,ADJ	NA	NA
mod,ADJ,ADJ	NA	NA
conj,AUX,NOUN	NA	req-agree
mod,PRON,NOUN	NA	req-agree
compound@lvc,ADJ,VERB	NA	req-agree
comp:obj,NOUN,PRON	NA	NA
comp:obj,ADP,NOUN	NA	NA
udep@poss,ADJ,ADP	NA	NA
mod@poss,NOUN,NUM	NA	NA
flat,NUM,NOUN	NA	NA
comp:aux@q,AUX,VERB	NA	NA
subj,AUX,NUM	NA	NA
subj,NOUN,ADJ	NA	NA
subj,PRON,NOUN	NA	req-agree
appos,PROPN,NOUN	NA	req-agree
udep,NUM,NOUN	NA	NA
comp:obj,VERB,NUM	NA	req-agree
subj,PRON,ADJ	NA	NA
conj,PRON,NOUN	NA	req-agree
udep,AUX,PRON	NA	req-agree
comp:aux@q,AUX,NOUN	NA	NA
flat,PROPN,ADJ	NA	req-agree
comp:aux@q,AUX,PROPN	NA	req-agree
udep,VERB,AUX	NA	NA
subj,NOUN,PRON	NA	NA
subj,AUX,ADJ	NA	req-agree
subj,PROPN,NOUN	NA	req-agree
subj,VERB,VERB	NA	NA
conj,ADJ,ADJ	NA	req-agree
compound,PROPN,PROPN	req-agree	req-agree
mod,NUM,NUM	NA	req-agree
mod,VERB,NUM	NA	NA
comp:pred,AUX,PRON	NA	req-agree
compound,PROPN,ADJ	NA	req-agree
compound,PROPN,VERB	NA	NA
comp:obj,ADJ,PRON	NA	req-agree
compound,VERB,VERB	NA	req-agree
mod,VERB,NOUN	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
conj,PROPN,NOUN	NA	req-agree
mod@poss,NOUN,VERB	NA	req-agree
subj,VERB,NUM	NA	req-agree
compound,NUM,NUM	NA	req-agree
compound@redup,NUM,NOUN	NA	req-agree
conj,NUM,NOUN	NA	req-agree
comp:pred,VERB,VERB	NA	req-agree
compound@redup,VERB,VERB	NA	req-agree
mod,PROPN,PROPN	req-agree	req-agree
comp:obj,ADJ,ADJ	NA	NA
conj,VERB,AUX	NA	NA
conj,NOUN,ADJ	NA	NA
compound,NUM,NOUN	NA	req-agree
conj,NOUN,PRON	NA	req-agree
conj,AUX,VERB	NA	req-agree
mod,ADJ,VERB	NA	NA
appos,ADJ,NOUN	NA	NA
comp:obj,VERB,ADP	NA	NA
subj,VERB,AUX	NA	NA
appos,NOUN,NOUN	NA	req-agree
mod,PRON,AUX	NA	req-agree
conj,NUM,VERB	NA	req-agree
comp:aux@q,AUX,PRON	NA	NA
udep,ADJ,ADP	NA	req-agree
comp:aux@q,AUX,ADJ	NA	req-agree
compound,ADJ,PRON	NA	req-agree
compound,ADJ,ADJ	NA	req-agree
conj,VERB,PROPN	NA	NA
comp:obj,PRON,NOUN	NA	req-agree
compound,NOUN,ADJ	NA	req-agree
compound,PRON,NOUN	NA	req-agree
comp:obj,NUM,NUM	NA	req-agree
flat,NUM,ADP	NA	req-agree
compound,NOUN,ADP	NA	req-agree
conj,PRON,PRON	NA	req-agree
comp:pred,AUX,PROPN	NA	req-agree
conj,PRON,AUX	NA	req-agree
conj,PRON,VERB	NA	req-agree
compound@lvc,VERB,VERB	NA	req-agree
conj,ADJ,PROPN	NA	req-agree
conj,PRON,PROPN	NA	NA
comp:obj,NOUN,ADJ	NA	req-agree
flat,NUM,PROPN	NA	req-agree
conj,PROPN,ADJ	NA	NA
mod,PROPN,PRON	NA	NA
appos,NOUN,PROPN	NA	NA
conj,NOUN,ADP	NA	req-agree
conj,ADP,NOUN	NA	req-agree
comp:pred,VERB,ADJ	NA	req-agree
cc,VERB,VERB	NA	req-agree
compound@lvc,NOUN,NOUN	NA	req-agree
conj,VERB,PRON	NA	req-agree
compound,PRON,VERB	NA	req-agree
udep,NOUN,ADP	NA	req-agree
mod,NOUN,AUX	NA	req-agree
conj,PROPN,AUX	NA	req-agree
compound,VERB,PRON	NA	req-agree
mod@poss,VERB,NOUN	NA	NA
udep,VERB,ADP	NA	NA
subj,PROPN,PROPN	NA	req-agree
compound@lvc,NOUN,ADJ	NA	req-agree
flat,NOUN,NUM	NA	req-agree
det,VERB,PRON	NA	req-agree
conj,PRON,ADJ	NA	req-agree
conj,AUX,AUX	NA	req-agree
