rel,head-pos,child-pos	tree-label	gold-label
flat,NOUN,NOUN	NA	req-agree
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	NA
det,ADJ,DET	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
conj,NOUN,NOUN	NA	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
mod,NOUN,VERB	req-agree	NA
conj,VERB,VERB	req-agree	NA
subj@pass,AUX,NOUN	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
det,VERB,DET	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	req-agree
conj,AUX,VERB	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
vocative,VERB,NOUN	NA	NA
subj,VERB,PRON	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
conj,AUX,AUX	NA	NA
comp:aux,AUX,VERB	req-agree	NA
subj,VERB,NOUN	req-agree	req-agree
mod,NOUN,NOUN	NA	req-agree
mod@relcl,NOUN,AUX	NA	req-agree
mod,VERB,ADJ	NA	NA
mod@relcl,VERB,AUX	NA	req-agree
mod@relcl,PRON,AUX	NA	req-agree
mod@relcl,PRON,VERB	NA	req-agree
comp:aux,AUX,AUX	NA	NA
unk@expl,VERB,PRON	NA	req-agree
vocative,AUX,NOUN	NA	req-agree
comp:obl,VERB,PRON	NA	req-agree
mod,PRON,VERB	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	NA
comp:pred,VERB,NOUN	req-agree	req-agree
udep,AUX,NOUN	NA	NA
udep,VERB,NOUN	NA	req-agree
compound,NOUN,NOUN	NA	req-agree
unk@fixed,DET,NOUN	NA	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
comp:obj,VERB,ADJ	NA	NA
subj,NOUN,NOUN	req-agree	NA
comp:pred,VERB,ADJ	req-agree	req-agree
det,DET,DET	req-agree	req-agree
unk@expl,AUX,PRON	NA	req-agree
comp:aux@pass,AUX,ADJ	req-agree	req-agree
