rel,head-pos,child-pos	tree-label	gold-label
subj,AUX,PRON	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
det,NOUN,PRON	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
conj,ADJ,PRON	NA	NA
comp:obj,VERB,NOUN	NA	NA
mod@relcl,NOUN,VERB	req-agree	NA
comp:obl,VERB,ADJ	NA	NA
mod,ADJ,PRON	NA	NA
comp:obj,VERB,ADJ	NA	NA
conj,VERB,VERB	req-agree	req-agree
udep,ADJ,PRON	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod,NOUN,PRON	req-agree	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
mod@relcl,NOUN,AUX	req-agree	NA
comp:pred,AUX,PRON	req-agree	NA
subj,VERB,PROPN	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
subj@pass,VERB,NOUN	req-agree	req-agree
mod,NOUN,VERB	req-agree	NA
mod,NOUN,NOUN	NA	NA
subj,VERB,NUM	req-agree	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
mod,VERB,VERB	req-agree	NA
subj,AUX,NOUN	req-agree	req-agree
udep,VERB,PRON	req-agree	NA
det,PROPN,PRON	NA	req-agree
mod,PRON,PROPN	NA	req-agree
conj,AUX,AUX	NA	req-agree
mod,PRON,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
conj,NOUN,NOUN	NA	NA
mod@relcl,ADJ,AUX	req-agree	NA
comp:pred,AUX,VERB	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
comp:pred,AUX,NUM	req-agree	NA
udep,NUM,NOUN	NA	req-agree
subj,AUX,PROPN	req-agree	req-agree
comp:obj,NUM,PRON	NA	req-agree
det,PRON,PRON	NA	req-agree
udep,VERB,NOUN	NA	NA
conj,NOUN,VERB	req-agree	NA
conj,VERB,NOUN	NA	NA
mod,NOUN,PROPN	req-agree	req-agree
mod@relcl,PRON,VERB	req-agree	NA
conj,NUM,PRON	NA	req-agree
mod,AUX,AUX	NA	req-agree
subj,AUX,ADJ	req-agree	req-agree
mod,ADJ,ADJ	req-agree	NA
subj,VERB,ADJ	req-agree	NA
comp:pred,AUX,PROPN	req-agree	req-agree
mod,ADJ,PROPN	NA	NA
mod,VERB,PROPN	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	NA
comp:obj,PRON,VERB	NA	req-agree
subj,AUX,VERB	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	NA
conj,PRON,PRON	NA	NA
comp:pred,VERB,NOUN	req-agree	NA
mod,PRON,PRON	NA	NA
mod,VERB,ADJ	req-agree	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
conj,AUX,ADJ	NA	req-agree
udep,AUX,PROPN	NA	req-agree
mod@relcl,PRON,AUX	req-agree	NA
comp:obj,NOUN,PRON	NA	NA
subj@pass,VERB,VERB	req-agree	req-agree
subj,VERB,VERB	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
comp:obj,VERB,VERB	NA	NA
orphan,VERB,NOUN	NA	NA
det,VERB,PRON	req-agree	req-agree
subj@pass,VERB,PROPN	req-agree	req-agree
conj,PROPN,NOUN	NA	NA
conj,PRON,NOUN	NA	NA
mod@relcl,VERB,VERB	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,ADJ,NOUN	NA	NA
appos,PRON,NOUN	NA	req-agree
comp:obj,ADJ,PRON	NA	req-agree
conj,NOUN,PRON	req-agree	NA
mod,PRON,VERB	req-agree	NA
conj,VERB,AUX	req-agree	NA
conj,ADJ,VERB	req-agree	NA
udep,AUX,NOUN	NA	NA
udep,AUX,PRON	NA	NA
subj@pass,AUX,ADJ	req-agree	req-agree
subj@pass,VERB,ADJ	req-agree	req-agree
subj@pass,VERB,NUM	req-agree	req-agree
orphan,NOUN,NOUN	NA	NA
mod,ADJ,VERB	req-agree	NA
mod@advmod,PRON,NOUN	NA	req-agree
mod@advmod,NOUN,VERB	req-agree	req-agree
comp:obl,VERB,PRON	NA	NA
mod,VERB,AUX	NA	req-agree
mod,PROPN,VERB	req-agree	req-agree
conj,PROPN,PRON	NA	NA
conj,NUM,ADJ	req-agree	req-agree
det,ADJ,PRON	NA	req-agree
subj,AUX,NUM	req-agree	req-agree
mod@advmod,NOUN,NOUN	NA	req-agree
subj@pass,AUX,VERB	req-agree	req-agree
comp@pass,VERB,PRON	req-agree	req-agree
mod,NUM,PRON	NA	NA
mod@advmod,NOUN,PRON	req-agree	req-agree
conj,ADJ,NOUN	NA	req-agree
mod@relcl,ADJ,VERB	req-agree	NA
comp:obj,VERB,NUM	NA	req-agree
conj,AUX,NOUN	NA	req-agree
comp:obl,VERB,NOUN	NA	NA
parataxis,VERB,VERB	NA	req-agree
comp:pred,ADJ,VERB	req-agree	req-agree
mod,NUM,VERB	req-agree	req-agree
mod@relcl,VERB,AUX	req-agree	req-agree
