rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PRON	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
det,PROPN,DET	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
subj,AUX,PRON	req-agree	req-agree
comp:aux@tense,AUX,VERB	req-agree	NA
comp@fixed,VERB,PRON	NA	req-agree
subj,AUX,NOUN	req-agree	req-agree
conj,AUX,AUX	NA	NA
mod,NOUN,VERB	req-agree	req-agree
subj@expl,AUX,PRON	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	NA
conj,AUX,VERB	req-agree	NA
mod@relcl,NOUN,AUX	NA	NA
subj@expl,VERB,PRON	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
parataxis,VERB,VERB	NA	req-agree
mod,PRON,ADJ	req-agree	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
mod,VERB,DET	NA	req-agree
unk@fixed,DET,NOUN	NA	req-agree
mod,VERB,VERB	req-agree	NA
mod@relcl,PRON,AUX	NA	req-agree
mod,VERB,PRON	NA	NA
unk@fixed,PRON,VERB	req-agree	req-agree
appos,NOUN,NOUN	NA	NA
mod,AUX,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
vocative,VERB,NOUN	NA	req-agree
mod,NOUN,NOUN	NA	NA
parataxis,NOUN,AUX	NA	req-agree
comp:pred,AUX,NOUN	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
mod@relcl,NOUN,NOUN	NA	NA
mod,AUX,ADV	NA	NA
vocative,AUX,NOUN	NA	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
flat@name,NOUN,PROPN	NA	NA
comp:obl,VERB,PRON	NA	req-agree
comp:obj,VERB,PRON	NA	NA
subj,AUX,PROPN	req-agree	NA
mod,VERB,AUX	NA	NA
comp:cleft,AUX,VERB	NA	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
det,ADJ,DET	req-agree	req-agree
flat@name,PROPN,PROPN	NA	req-agree
conj,VERB,AUX	NA	NA
comp:pred,VERB,VERB	req-agree	req-agree
mod,AUX,VERB	req-agree	req-agree
comp:obj,PRON,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
conj,PROPN,PROPN	NA	req-agree
mod,AUX,PRON	NA	NA
conj,NOUN,PRON	NA	NA
mod@relcl,PRON,VERB	req-agree	req-agree
conj,PRON,NOUN	NA	NA
comp:cleft,AUX,AUX	NA	NA
comp:pred,VERB,NOUN	req-agree	NA
subj@caus,AUX,NOUN	NA	NA
comp:aux@tense,AUX,AUX	NA	req-agree
comp:obj@agent,AUX,NOUN	NA	NA
conj,ADJ,VERB	req-agree	req-agree
dislocated,AUX,NOUN	NA	NA
subj,VERB,DET	NA	req-agree
unk@fixed,DET,PRON	NA	req-agree
subj,VERB,ADJ	req-agree	req-agree
appos,NOUN,PROPN	NA	NA
comp:pred,VERB,ADJ	req-agree	NA
mod,VERB,NOUN	NA	NA
conj,VERB,NOUN	NA	NA
mod,PROPN,NOUN	NA	NA
mod@relcl,PROPN,VERB	req-agree	req-agree
appos,PRON,NOUN	NA	req-agree
appos,ADJ,NOUN	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
conj,AUX,NOUN	NA	req-agree
mod,ADJ,NOUN	NA	NA
parataxis,NOUN,NOUN	NA	NA
mod,PRON,VERB	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
comp:pred,AUX,PRON	req-agree	req-agree
mod,AUX,AUX	NA	req-agree
comp:obj,NOUN,NOUN	NA	req-agree
subj,AUX,ADJ	req-agree	req-agree
parataxis,NOUN,VERB	req-agree	NA
comp:obj,VERB,PROPN	NA	req-agree
mod,VERB,ADJ	req-agree	req-agree
mod,AUX,PROPN	NA	req-agree
mod,PROPN,VERB	req-agree	NA
subj@pass,AUX,PROPN	req-agree	NA
mod@relcl,PROPN,AUX	NA	req-agree
mod,VERB,PROPN	NA	NA
comp:pred,AUX,PROPN	req-agree	req-agree
mod,PROPN,PROPN	NA	req-agree
