rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
reparandum,DET,DET	req-agree	NA
appos,NOUN,NOUN	NA	NA
mod,NOUN,NUM	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
conj,VERB,VERB	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PROPN	req-agree	NA
udep,VERB,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:obl,VERB,PRON	NA	NA
mod,PRON,DET	req-agree	req-agree
mod,NOUN,DET	req-agree	NA
reparandum,NOUN,NOUN	NA	NA
comp:obj,VERB,DET	NA	NA
subj,NOUN,NOUN	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
mod,ADJ,NUM	req-agree	req-agree
udep,DET,DET	req-agree	req-agree
conj,NOUN,DET	req-agree	NA
comp:obj,VERB,PROPN	NA	NA
det,DET,DET	req-agree	req-agree
mod,PROPN,PROPN	req-agree	req-agree
comp:obj,ADJ,DET	NA	NA
parataxis,NOUN,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
mod,NUM,ADJ	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	NA	NA
subj,VERB,DET	req-agree	req-agree
mod,ADJ,ADJ	req-agree	NA
comp:pred,VERB,ADJ	req-agree	NA
mod,NOUN,PRON	req-agree	NA
appos,PRON,NOUN	NA	req-agree
reparandum,ADJ,ADJ	req-agree	req-agree
parataxis,NOUN,ADJ	req-agree	req-agree
appos,ADJ,NOUN	NA	req-agree
conj@extend,ADJ,DET	req-agree	NA
appos,NOUN,PROPN	NA	req-agree
mod,PROPN,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
comp:obj,ADJ,PRON	NA	NA
reparandum,ADJ,DET	req-agree	req-agree
subj,PRON,DET	req-agree	req-agree
subj,NOUN,PRON	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
conj,NOUN,VERB	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
mod,PRON,ADJ	req-agree	NA
conj,PROPN,NOUN	req-agree	NA
mod,ADJ,DET	req-agree	req-agree
det,PROPN,DET	req-agree	NA
subj,ADJ,DET	req-agree	req-agree
comp:obj,VERB,ADJ	NA	NA
det,ADJ,DET	req-agree	req-agree
mod,DET,ADJ	req-agree	req-agree
conj,NOUN,PRON	req-agree	NA
comp:obj,VERB,NUM	NA	NA
conj@extend,VERB,DET	req-agree	NA
conj@extend,NOUN,DET	req-agree	req-agree
reparandum,VERB,VERB	req-agree	req-agree
discourse,AUX,PRON	req-agree	req-agree
subj,AUX,DET	req-agree	req-agree
parataxis,AUX,NOUN	NA	NA
flat,DET,DET	req-agree	req-agree
flat,DET,NUM	req-agree	NA
comp:pred,AUX,DET	req-agree	req-agree
unk@expl,AUX,DET	req-agree	NA
subj,NOUN,DET	req-agree	NA
conj,ADJ,NOUN	NA	NA
conj,NOUN,ADJ	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
udep,ADJ,DET	req-agree	req-agree
comp:pred,AUX,NUM	req-agree	req-agree
appos,NOUN,DET	req-agree	NA
mod,DET,DET	req-agree	req-agree
mod,DET,NUM	req-agree	req-agree
appos,ADJ,ADJ	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	req-agree
reparandum,NOUN,ADJ	req-agree	req-agree
unk@expl,VERB,DET	req-agree	req-agree
subj,DET,NOUN	NA	req-agree
vocative,PRON,NOUN	NA	NA
comp:obj,NOUN,ADJ	NA	NA
mod,ADJ,NOUN	NA	req-agree
conj@extend,ADJ,PRON	req-agree	NA
comp:obj,DET,NOUN	NA	NA
conj,NUM,ADJ	req-agree	req-agree
reparandum,PRON,PRON	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
appos,DET,NOUN	NA	NA
unk@fixed,NOUN,NOUN	NA	req-agree
conj@extend,NOUN,NOUN	NA	req-agree
