rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
flat,PROPN,PROPN	req-agree	req-agree
comp:pred,AUX,PRON	NA	req-agree
parataxis,AUX,AUX	NA	NA
udep,AUX,NOUN	NA	NA
subj,AUX,PROPN	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
mod@relcl,PRON,VERB	NA	req-agree
comp:obj,VERB,NOUN	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
det@poss,NOUN,PRON	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
parataxis,VERB,AUX	NA	NA
subj@pass,AUX,NOUN	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
comp:aux@pass,AUX,AUX	req-agree	req-agree
unk@expl,VERB,PRON	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
comp:obj,VERB,PRON	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
mod,NOUN,PROPN	req-agree	NA
unk@expl,AUX,PRON	NA	req-agree
comp:pred,VERB,ADJ	req-agree	NA
udep,VERB,NOUN	NA	NA
subj@pass,AUX,PROPN	NA	NA
comp:aux,AUX,AUX	req-agree	req-agree
appos,NOUN,PROPN	NA	req-agree
comp:obj,VERB,AUX	NA	NA
comp:aux,AUX,VERB	req-agree	req-agree
compound,NOUN,PROPN	req-agree	NA
subj,VERB,PROPN	req-agree	req-agree
conj,PROPN,PROPN	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	NA
mod@relcl,NOUN,AUX	req-agree	NA
conj,PROPN,NOUN	req-agree	NA
parataxis,AUX,VERB	NA	NA
conj,VERB,PROPN	req-agree	req-agree
flat,PROPN,ADJ	req-agree	req-agree
subj,VERB,DET	req-agree	req-agree
parataxis,NOUN,ADJ	NA	req-agree
parataxis,VERB,VERB	NA	NA
vocative,AUX,NOUN	req-agree	NA
mod,PROPN,VERB	req-agree	req-agree
mod@relcl,PROPN,AUX	req-agree	NA
conj,VERB,AUX	req-agree	NA
unk@fixed,NOUN,ADP	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
subj@pass,AUX,PRON	req-agree	NA
mod,VERB,AUX	NA	req-agree
mod,NOUN,NOUN	NA	req-agree
comp:aux,AUX,NOUN	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
appos,PROPN,PROPN	NA	req-agree
mod@relcl,PROPN,VERB	req-agree	req-agree
comp:pred,AUX,DET	req-agree	req-agree
mod@relcl,DET,VERB	req-agree	NA
subj,AUX,DET	req-agree	req-agree
subj@pass,VERB,AUX	NA	NA
conj,AUX,VERB	req-agree	NA
comp:pred,AUX,ADV	NA	NA
appos,NOUN,NOUN	NA	req-agree
subj@pass,AUX,DET	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
mod,VERB,NOUN	req-agree	NA
unk@fixed,NOUN,NOUN	NA	req-agree
