rel,head-pos,child-pos	tree-label	gold-label
comp:obl,VERB,PRON	NA	NA
comp:obj,VERB,VERB	req-agree	NA
conj,VERB,VERB	NA	NA
comp:obj,VERB,AUX	req-agree	NA
comp:obl,AUX,PRON	NA	NA
comp:obj,VERB,PRON	req-agree	NA
subj,VERB,PRON	NA	req-agree
mod,VERB,VERB	NA	NA
udep,VERB,PRON	NA	NA
dislocated,AUX,AUX	NA	req-agree
subj,AUX,PRON	NA	req-agree
conj,AUX,VERB	NA	NA
dislocated,VERB,VERB	NA	NA
parataxis,VERB,AUX	NA	req-agree
subj,AUX,VERB	NA	req-agree
conj,VERB,AUX	NA	req-agree
comp:pred,AUX,PRON	NA	req-agree
mod,PRON,VERB	NA	NA
subj,VERB,VERB	NA	NA
subj@pass,AUX,VERB	NA	req-agree
conj,PRON,AUX	NA	req-agree
conj,AUX,AUX	NA	NA
subj@pass,AUX,PRON	NA	req-agree
subj@pass,VERB,VERB	NA	req-agree
comp:pred,AUX,ADJ	NA	NA
mod,PRON,AUX	NA	req-agree
mod,AUX,AUX	NA	NA
parataxis,VERB,VERB	NA	NA
subj,AUX,AUX	NA	req-agree
comp:pred,AUX,VERB	NA	req-agree
subj@pass,VERB,PRON	NA	req-agree
conj,PRON,PRON	NA	NA
mod,VERB,AUX	NA	NA
conj,VERB,PRON	NA	NA
mod,AUX,VERB	NA	NA
comp:pred,AUX,AUX	NA	req-agree
udep,AUX,PRON	NA	NA
subj,VERB,AUX	NA	req-agree
subj@pass,VERB,AUX	NA	req-agree
appos,PRON,AUX	NA	NA
unk@fixed,VERB,VERB	NA	req-agree
conj,PRON,VERB	NA	NA
comp:obl,VERB,ADJ	NA	NA
mod,ADJ,VERB	NA	req-agree
dislocated,VERB,AUX	NA	NA
conj,PRON,ADJ	NA	req-agree
orphan,PRON,VERB	NA	NA
comp:obj,VERB,ADJ	req-agree	req-agree
subj,VERB,ADJ	NA	NA
det,PRON,PRON	NA	req-agree
