rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
mod,NOUN,NUM	NA	req-agree
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
comp:aux@pass,AUX,VERB	req-agree	NA
comp:obl,VERB,PRON	NA	NA
subj,VERB,NOUN	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
parataxis,AUX,VERB	NA	NA
det,ADJ,DET	req-agree	req-agree
unk@fixed,DET,NOUN	NA	NA
comp:obj,AUX,PRON	NA	NA
mod@relcl,NOUN,AUX	NA	NA
unk@fixed,NOUN,ADJ	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	NA
udep,VERB,PRON	NA	NA
comp:obj,PRON,NOUN	NA	NA
comp:aux,AUX,AUX	NA	NA
conj,AUX,VERB	req-agree	NA
udep,VERB,NOUN	NA	NA
unk@expl,VERB,PRON	NA	NA
conj,ADJ,VERB	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
parataxis,VERB,VERB	req-agree	NA
unk@fixed,ADJ,NOUN	NA	req-agree
comp:obj,VERB,PRON	NA	NA
conj,VERB,PRON	NA	NA
unk@expl,AUX,PRON	NA	NA
subj,AUX,PRON	req-agree	req-agree
conj,VERB,AUX	NA	NA
comp:pred,VERB,NOUN	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
comp:pred,VERB,PRON	req-agree	NA
mod@relcl,ADJ,VERB	req-agree	NA
parataxis,AUX,AUX	NA	NA
mod,NOUN,PROPN	NA	NA
det,PROPN,DET	req-agree	req-agree
parataxis,VERB,AUX	NA	NA
unk,ADJ,DET	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
conj,NOUN,ADJ	req-agree	NA
unk@fixed,ADJ,PROPN	NA	req-agree
mod,PROPN,ADJ	req-agree	req-agree
flat@name,NOUN,PROPN	NA	req-agree
subj,VERB,DET	NA	NA
subj,AUX,ADJ	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
subj,AUX,PROPN	req-agree	req-agree
unk@fixed,PROPN,ADJ	req-agree	req-agree
mod,PROPN,PROPN	NA	req-agree
conj,AUX,AUX	NA	NA
mod@relcl,PRON,VERB	req-agree	NA
mod@relcl,PROPN,VERB	req-agree	req-agree
mod,DET,ADJ	req-agree	req-agree
comp:obj,NOUN,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
udep,AUX,NOUN	NA	NA
unk,NOUN,NOUN	NA	NA
mod,ADJ,NUM	NA	req-agree
comp:obj,NOUN,ADJ	NA	NA
conj,NUM,NUM	NA	req-agree
conj,PROPN,NOUN	NA	NA
det,VERB,DET	req-agree	NA
comp:pred,VERB,VERB	req-agree	NA
mod,VERB,DET	NA	NA
subj,VERB,PROPN	req-agree	NA
mod,ADJ,DET	NA	NA
conj,AUX,NOUN	NA	NA
mod@relcl,PRON,AUX	NA	NA
mod,ADJ,NOUN	NA	req-agree
mod,NOUN,DET	NA	NA
unk,VERB,VERB	req-agree	req-agree
comp:obj,ADJ,PRON	NA	NA
mod,NOUN,PRON	NA	NA
conj,VERB,NOUN	NA	NA
mod,VERB,PRON	NA	NA
unk@fixed,PRON,VERB	req-agree	req-agree
mod,VERB,VERB	req-agree	NA
mod,VERB,NUM	NA	NA
mod,PRON,ADJ	req-agree	req-agree
det,NOUN,NOUN	req-agree	NA
comp:pred,VERB,AUX	req-agree	NA
comp:obl,AUX,PRON	NA	NA
conj,ADJ,AUX	NA	NA
det,PRON,DET	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
conj,PROPN,PROPN	NA	req-agree
flat@name,PROPN,PROPN	NA	req-agree
udep,ADJ,PROPN	NA	req-agree
mod,VERB,ADJ	req-agree	req-agree
conj,ADJ,NOUN	NA	NA
unk,ADJ,PROPN	NA	NA
mod@relcl,ADJ,AUX	NA	req-agree
mod,AUX,NOUN	NA	req-agree
subj,AUX,DET	NA	NA
conj,DET,NOUN	NA	NA
unk@fixed,NOUN,VERB	req-agree	NA
mod,NUM,NOUN	NA	req-agree
mod,PROPN,NOUN	NA	NA
mod,PROPN,VERB	req-agree	req-agree
unk@fixed,DET,ADJ	req-agree	req-agree
mod,ADJ,PROPN	NA	req-agree
unk@fixed,ADJ,ADJ	req-agree	req-agree
mod,PRON,VERB	req-agree	req-agree
parataxis,ADJ,VERB	req-agree	req-agree
mod,ADJ,VERB	req-agree	NA
mod,NOUN,AUX	NA	NA
conj,NOUN,PRON	NA	NA
mod,PRON,PROPN	NA	NA
unk@fixed,VERB,NOUN	NA	NA
unk,NUM,VERB	NA	req-agree
unk,NUM,NOUN	NA	req-agree
mod,NUM,NUM	NA	req-agree
comp:obj,VERB,NUM	NA	NA
udep,VERB,VERB	NA	req-agree
conj,VERB,PROPN	NA	req-agree
comp:obj,VERB,PROPN	NA	NA
comp:obl,ADJ,PRON	NA	NA
comp:pred,VERB,PROPN	req-agree	NA
orphan,PROPN,NOUN	NA	NA
orphan,NOUN,NOUN	NA	NA
unk@fixed,DET,PROPN	NA	req-agree
subj,X,NOUN	req-agree	req-agree
comp:aux,X,VERB	NA	req-agree
mod@relcl,PROPN,AUX	NA	NA
parataxis,NOUN,VERB	req-agree	req-agree
udep,VERB,DET	NA	NA
comp:obj,VERB,ADJ	NA	NA
unk@fixed,ADJ,DET	NA	req-agree
parataxis,NOUN,AUX	NA	req-agree
unk,VERB,PRON	NA	NA
conj,VERB,ADJ	req-agree	req-agree
comp:obj,ADJ,VERB	NA	NA
mod@relcl,NOUN,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
comp:obj,DET,NOUN	NA	NA
conj,PROPN,DET	NA	req-agree
comp:obj,ADP,PRON	NA	NA
unk@fixed,VERB,ADJ	req-agree	req-agree
udep,AUX,PRON	NA	NA
udep,AUX,DET	NA	NA
mod,PRON,NOUN	NA	NA
conj,NOUN,VERB	req-agree	req-agree
subj,AUX,VERB	req-agree	req-agree
comp:obl,PRON,PRON	NA	req-agree
conj,DET,DET	NA	NA
det,NUM,DET	req-agree	NA
udep,VERB,ADJ	req-agree	NA
conj,ADJ,PROPN	NA	req-agree
conj,ADJ,PRON	NA	req-agree
mod,AUX,AUX	NA	req-agree
punct,NOUN,DET	NA	req-agree
udep,VERB,ADP	NA	NA
mod,PROPN,PRON	NA	NA
udep,VERB,PROPN	NA	NA
unk@fixed,VERB,DET	NA	NA
mod,DET,VERB	req-agree	req-agree
unk@fixed,NOUN,NOUN	NA	NA
unk@fixed,PROPN,PROPN	NA	req-agree
mod,AUX,VERB	req-agree	req-agree
unk,PRON,NOUN	NA	req-agree
conj,PRON,PRON	NA	req-agree
comp:pred,VERB,DET	req-agree	req-agree
unk@fixed,DET,PRON	NA	req-agree
unk@fixed,DET,DET	NA	NA
mod,VERB,AUX	NA	NA
comp:obl,NOUN,PRON	NA	NA
orphan,NOUN,ADJ	req-agree	NA
udep,PRON,NOUN	NA	NA
comp:obj,NOUN,VERB	NA	req-agree
udep,DET,NOUN	NA	NA
unk,DET,NOUN	NA	req-agree
subj,PRON,PRON	req-agree	NA
conj,PROPN,PRON	NA	NA
udep,AUX,ADP	NA	NA
orphan,NOUN,PROPN	NA	req-agree
orphan,NOUN,PRON	NA	NA
mod,PRON,NUM	NA	req-agree
mod,PROPN,DET	NA	req-agree
conj,NOUN,AUX	NA	req-agree
comp:obj,PRON,PRON	NA	req-agree
conj,AUX,PRON	NA	req-agree
conj,PROPN,VERB	req-agree	req-agree
mod,ADJ,AUX	NA	req-agree
udep,AUX,PROPN	NA	NA
comp:pred,AUX,VERB	req-agree	NA
subj@caus,VERB,NOUN	NA	req-agree
unk@fixed,DET,VERB	NA	req-agree
udep,ADJ,DET	NA	req-agree
orphan,NOUN,VERB	req-agree	req-agree
subj,VERB,NUM	req-agree	req-agree
conj,NUM,PRON	NA	req-agree
mod@relcl,NUM,VERB	NA	req-agree
subj,AUX,NUM	req-agree	req-agree
conj,NUM,NOUN	NA	NA
mod,PROPN,NUM	NA	NA
mod@relcl,NOUN,PROPN	NA	NA
comp:obj,VERB,DET	NA	NA
udep,AUX,ADJ	req-agree	req-agree
conj,ADJ,NUM	NA	req-agree
orphan,NUM,NOUN	NA	req-agree
conj,PROPN,ADJ	req-agree	NA
conj,NOUN,DET	NA	req-agree
orphan,PRON,NOUN	NA	req-agree
comp:obj,NOUN,PROPN	NA	req-agree
conj,ADJ,DET	NA	NA
orphan,DET,ADJ	req-agree	NA
mod,DET,NOUN	NA	req-agree
mod,DET,PROPN	NA	req-agree
mod,PRON,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	NA
mod,AUX,ADJ	req-agree	req-agree
orphan,PRON,ADJ	req-agree	req-agree
parataxis,VERB,ADJ	NA	NA
subj,ADJ,PRON	req-agree	req-agree
udep,NOUN,NOUN	NA	NA
orphan,ADJ,NOUN	NA	req-agree
udep,AUX,VERB	NA	req-agree
unk@fixed,NOUN,DET	NA	NA
comp:obl,VERB,NOUN	NA	req-agree
mod@relcl,NOUN,PRON	NA	req-agree
mod,AUX,PRON	NA	req-agree
unk@fixed,ADJ,VERB	req-agree	req-agree
comp:obj,NOUN,DET	NA	req-agree
conj,PRON,NOUN	NA	req-agree
mod,DET,PRON	NA	req-agree
unk@fixed,VERB,VERB	req-agree	NA
unk@fixed,PRON,DET	NA	req-agree
conj,PRON,VERB	NA	NA
orphan,PRON,VERB	NA	NA
mod,NUM,ADJ	req-agree	req-agree
mod,NUM,PROPN	NA	req-agree
unk,ADJ,PRON	NA	req-agree
unk@fixed,NOUN,PROPN	NA	req-agree
cc,DET,VERB	NA	req-agree
subj,NOUN,NOUN	req-agree	req-agree
flat@name,PROPN,DET	NA	req-agree
unk@expl,NOUN,PRON	NA	NA
subj,VERB,VERB	req-agree	req-agree
unk,PRON,VERB	req-agree	req-agree
unk@fixed,PROPN,NOUN	NA	req-agree
comp:aux@pass,AUX,NOUN	NA	NA
udep,NOUN,PROPN	NA	NA
orphan,VERB,VERB	req-agree	req-agree
appos,NOUN,NOUN	NA	req-agree
