rel,head-pos,child-pos	tree-label	gold-label
subj,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
mod,NOUN,NOUN	NA	NA
unk@expl,NOUN,PRON	NA	NA
conj,NOUN,NOUN	NA	NA
det,NOUN,DET	NA	req-agree
subj,VERB,NOUN	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
parataxis,VERB,VERB	NA	NA
comp:pred@sp,VERB,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
flat@name,PROPN,PROPN	NA	req-agree
subj,NOUN,PRON	NA	NA
conj,PROPN,PROPN	NA	NA
subj,VERB,PRON	NA	req-agree
comp:obj,ADJ,DET	NA	req-agree
subj,VERB,DET	NA	req-agree
mod@relcl,DET,VERB	NA	req-agree
appos,NOUN,ADJ	NA	NA
conj,ADJ,ADJ	NA	req-agree
appos,PRON,PROPN	NA	NA
conj,PROPN,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
mod,PROPN,ADJ	NA	req-agree
mod,NOUN,PRON	NA	NA
det,PRON,DET	NA	req-agree
appos,PROPN,NOUN	NA	NA
subj,AUX,PRON	NA	NA
comp:pred,AUX,NOUN	NA	NA
comp:obj,PRON,PRON	NA	NA
udep,VERB,NOUN	NA	NA
mod,NOUN,DET	NA	NA
subj,ADJ,NOUN	NA	req-agree
udep,ADJ,PROPN	NA	NA
appos,NOUN,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
conj,VERB,VERB	NA	NA
comp:pred,AUX,PRON	NA	req-agree
parataxis,PRON,AUX	NA	req-agree
subj,AUX,NOUN	NA	req-agree
conj,VERB,AUX	NA	NA
comp:pred,AUX,ADJ	NA	req-agree
flat@title,NOUN,NOUN	NA	NA
flat@title,NOUN,PROPN	NA	NA
compound,NOUN,NOUN	NA	NA
udep,ADJ,PRON	NA	NA
comp:obj,ADJ,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
mod@relcl,NOUN,VERB	NA	NA
mod@det,ADJ,DET	NA	req-agree
parataxis@rel,ADJ,VERB	NA	NA
udep,VERB,DET	NA	req-agree
subj,ADJ,PRON	NA	req-agree
orphan,NOUN,NOUN	NA	NA
parataxis,NOUN,ADJ	NA	NA
conj,ADJ,NOUN	NA	req-agree
subj,ADJ,PROPN	NA	req-agree
appos,PRON,NOUN	NA	NA
subj,VERB,PROPN	NA	req-agree
mod,NOUN,NUM	NA	req-agree
conj,ADJ,PROPN	NA	NA
conj,PROPN,ADJ	NA	NA
conj,ADJ,DET	NA	req-agree
appos,DET,NOUN	NA	req-agree
subj,DET,NOUN	NA	NA
conj,NUM,NUM	NA	req-agree
udep,AUX,NOUN	NA	NA
flat@abs,NOUN,NOUN	NA	req-agree
mod,ADJ,NOUN	NA	NA
comp:obj,VERB,DET	NA	NA
parataxis,VERB,NOUN	NA	NA
subj,AUX,PROPN	NA	req-agree
comp:pred,AUX,DET	NA	req-agree
comp:pred@sp,VERB,ADJ	NA	req-agree
udep,AUX,DET	NA	NA
conj,DET,DET	NA	req-agree
flat@sibl,DET,ADJ	NA	req-agree
comp:obj,VERB,PROPN	NA	NA
udep,ADJ,ADJ	NA	NA
mod,PROPN,PROPN	NA	NA
