rel,head-pos,child-pos	tree-label	gold-label
conj,VERB,VERB	req-agree	NA
conj,VERB,AUX	req-agree	NA
conj,AUX,VERB	req-agree	NA
comp:obj,VERB,PRON	NA	NA
mod,AUX,VERB	req-agree	NA
comp:obl,VERB,PRON	NA	NA
subj,AUX,PRON	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,VERB	req-agree	NA
mod,VERB,VERB	req-agree	NA
parataxis@obj,VERB,AUX	NA	NA
conj,AUX,AUX	req-agree	NA
parataxis@insert,AUX,VERB	req-agree	req-agree
parataxis@obj,AUX,VERB	NA	NA
parataxis@obj,VERB,VERB	NA	NA
parataxis@obj,AUX,PRON	req-agree	NA
mod,VERB,AUX	NA	NA
comp:obj,VERB,AUX	NA	NA
parataxis@obj,AUX,AUX	req-agree	NA
mod@relcl,VERB,VERB	req-agree	req-agree
parataxis@insert,VERB,VERB	req-agree	NA
mod,AUX,AUX	req-agree	req-agree
comp:pred,AUX,DET	NA	NA
mod@relcl,VERB,AUX	NA	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
udep,VERB,PRON	NA	NA
udep,VERB,AUX	NA	req-agree
comp:pred,AUX,VERB	NA	req-agree
