rel,head-pos,child-pos	tree-label	gold-label
conj,AUX,AUX	NA	req-agree
comp:obj,VERB,PRON	NA	req-agree
mod,VERB,AUX	NA	NA
conj,AUX,VERB	NA	NA
comp:obj,VERB,VERB	NA	NA
conj,VERB,AUX	NA	req-agree
comp:obl,VERB,PRON	NA	NA
udep,VERB,PRON	NA	NA
mod,AUX,VERB	NA	NA
udep,AUX,PRON	NA	NA
comp@pass,VERB,PRON	NA	req-agree
comp@pass,AUX,PRON	NA	req-agree
conj,VERB,VERB	NA	req-agree
parataxis,AUX,AUX	NA	req-agree
parataxis,VERB,AUX	NA	req-agree
mod,VERB,VERB	NA	req-agree
subj,VERB,PRON	NA	req-agree
comp:pred,VERB,AUX	NA	NA
subj,VERB,VERB	NA	req-agree
mod,AUX,AUX	NA	req-agree
parataxis,VERB,VERB	NA	NA
comp:aux,AUX,AUX	NA	req-agree
subj,AUX,VERB	NA	NA
subj,AUX,PRON	NA	req-agree
comp:obj,AUX,VERB	NA	NA
comp:obj,VERB,AUX	NA	req-agree
parataxis,AUX,VERB	NA	NA
subj,VERB,AUX	NA	req-agree
conj,PRON,PRON	NA	NA
comp:obj,AUX,AUX	NA	req-agree
subj,AUX,AUX	NA	req-agree
det,AUX,VERB	NA	req-agree
compound,VERB,VERB	NA	req-agree
comp:pred,VERB,VERB	NA	req-agree
comp:aux,AUX,VERB	NA	NA
flat,PRON,PRON	req-agree	NA
comp:pred,AUX,PRON	NA	req-agree
comp:obj,AUX,PRON	NA	req-agree
udep,VERB,VERB	NA	req-agree
