rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PRON	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
conj,AUX,AUX	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
parataxis@obj,VERB,VERB	NA	NA
comp:obj,VERB,VERB	NA	req-agree
comp:pred,AUX,PRON	NA	req-agree
conj,VERB,AUX	req-agree	NA
comp:obj,VERB,PRON	NA	NA
comp:obl,VERB,PRON	NA	NA
mod,VERB,VERB	req-agree	NA
parataxis@obj,VERB,AUX	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
udep,VERB,PRON	NA	req-agree
conj,AUX,VERB	req-agree	req-agree
comp:obj,VERB,AUX	NA	req-agree
mod,AUX,VERB	NA	req-agree
udep,VERB,AUX	NA	req-agree
mod@relcl,VERB,VERB	NA	NA
parataxis@insert,AUX,VERB	NA	NA
