rel,head-pos,child-pos	tree-label	gold-label
conj,NOUN,NOUN	NA	req-agree
comp:pred,AUX,NOUN	NA	NA
subj,AUX,PRON	req-agree	req-agree
udep,AUX,NOUN	NA	NA
subj,VERB,PRON	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
mod,NOUN,NOUN	NA	req-agree
orphan,NOUN,NOUN	NA	req-agree
subj,NOUN,NOUN	NA	req-agree
subj,VERB,NOUN	NA	NA
discourse,VERB,PRON	NA	req-agree
comp:obj,VERB,VERB	NA	req-agree
udep,VERB,PRON	NA	NA
subj,AUX,NOUN	NA	NA
mod@poss,NOUN,PRON	NA	NA
mod,VERB,VERB	NA	NA
det,NOUN,PRON	NA	NA
mod@tmod,VERB,NOUN	NA	NA
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,PRON	NA	NA
comp:pred,AUX,AUX	NA	req-agree
conj,VERB,AUX	NA	req-agree
mod@cau,VERB,PRON	NA	req-agree
comp:pred,AUX,VERB	req-agree	NA
mod@cond,VERB,VERB	req-agree	NA
mod,VERB,AUX	NA	NA
comp:aux,VERB,VERB	req-agree	req-agree
compound@redup,VERB,VERB	NA	req-agree
conj,NOUN,AUX	NA	NA
comp:obj,VERB,AUX	NA	req-agree
subj,VERB,AUX	req-agree	NA
flat,VERB,VERB	NA	NA
parataxis,VERB,VERB	NA	req-agree
parataxis,AUX,VERB	req-agree	req-agree
subj,VERB,VERB	req-agree	req-agree
discourse,AUX,VERB	NA	req-agree
subj,AUX,VERB	req-agree	NA
mod,AUX,AUX	NA	req-agree
mod,AUX,VERB	req-agree	NA
udep,VERB,AUX	NA	req-agree
comp:pred,AUX,PRON	NA	req-agree
subj,AUX,AUX	req-agree	req-agree
mod,VERB,NOUN	NA	NA
