rel,head-pos,child-pos	tree-label	gold-label
comp:obl,VERB,PRON	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
comp:obj,VERB,VERB	req-agree	NA
unk@expl,VERB,PRON	req-agree	NA
conj,VERB,VERB	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
subj,VERB,VERB	req-agree	req-agree
mod,VERB,AUX	req-agree	NA
unk,VERB,PRON	NA	NA
conj,VERB,AUX	req-agree	NA
unk@expl,AUX,PRON	req-agree	NA
conj,AUX,VERB	NA	NA
comp:pred,VERB,VERB	NA	req-agree
mod,VERB,VERB	NA	NA
comp:obl,AUX,PRON	NA	req-agree
udep,VERB,PRON	NA	NA
udep,AUX,PRON	NA	NA
subj,AUX,PRON	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
flat,VERB,VERB	NA	req-agree
comp:pred,AUX,PRON	NA	NA
subj,PRON,PRON	req-agree	NA
conj,PRON,PRON	NA	req-agree
dislocated,AUX,VERB	NA	req-agree
dislocated,VERB,VERB	NA	NA
subj@pass,AUX,VERB	NA	req-agree
dislocated,VERB,AUX	NA	req-agree
parataxis,AUX,VERB	NA	NA
conj,ADJ,ADJ	NA	NA
subj,VERB,ADJ	NA	NA
mod,AUX,VERB	NA	NA
comp:obj,VERB,ADJ	NA	NA
conj,AUX,AUX	NA	req-agree
dislocated,AUX,AUX	NA	req-agree
appos,PRON,PRON	NA	req-agree
