rel,head-pos,child-pos	tree-label	gold-label
appos,PRON,PRON	req-agree	req-agree
mod,PRON,NOUN	NA	NA
mod,ADJ,ADJ	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,NOUN,ADJ	req-agree	NA
det,DET,DET	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
reparandum,PRON,PRON	req-agree	req-agree
mod,PRON,ADJ	NA	req-agree
mod,NOUN,NUM	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
reparandum,ADJ,ADJ	req-agree	NA
reparandum,DET,PRON	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
appos,PRON,NOUN	NA	NA
comp:pred,PRON,ADJ	req-agree	req-agree
appos,NOUN,NOUN	req-agree	req-agree
det,NOUN,PRON	req-agree	req-agree
parataxis@deletion,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PRON	req-agree	NA
mod,NOUN,NOUN	req-agree	NA
det,PRON,DET	req-agree	req-agree
conj,NOUN,PRON	NA	NA
parataxis@deletion,PRON,PRON	req-agree	req-agree
appos,NOUN,PRON	NA	NA
udep,PRON,NOUN	NA	NA
conj,NOUN,DET	NA	req-agree
conj,NUM,NOUN	NA	NA
reparandum,DET,NOUN	NA	req-agree
reparandum,NOUN,NOUN	NA	req-agree
mod,PRON,PRON	NA	req-agree
udep,ADJ,NOUN	NA	NA
mod,DET,ADJ	NA	req-agree
det,ADJ,PRON	req-agree	req-agree
det,NUM,DET	req-agree	req-agree
reparandum,DET,DET	req-agree	req-agree
parataxis@deletion,DET,ADJ	req-agree	req-agree
udep,ADJ,DET	req-agree	req-agree
unk@expl,NOUN,PRON	req-agree	req-agree
det,DET,PRON	req-agree	req-agree
conj,NOUN,ADJ	NA	req-agree
parataxis@deletion,ADJ,DET	req-agree	NA
