rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
det,DET,DET	req-agree	req-agree
mod,NOUN,NUM	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,ADJ,ADJ	req-agree	NA
det,ADJ,DET	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
conj,NUM,NUM	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
udep,ADJ,PRON	req-agree	req-agree
mod,NOUN,PRON	req-agree	req-agree
comp:obj,ADJ,NOUN	req-agree	NA
det,NOUN,PRON	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
appos,NOUN,PRON	NA	NA
appos,PRON,NOUN	NA	NA
conj,NOUN,PRON	NA	NA
appos,DET,NOUN	NA	req-agree
appos,DET,PRON	req-agree	req-agree
conj,PRON,NOUN	NA	NA
comp:aux@pass,ADJ,ADJ	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
comp:pred,ADJ,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
mod,NUM,NOUN	NA	NA
udep,PRON,NOUN	NA	NA
compound,NUM,NUM	req-agree	req-agree
comp:obj,ADJ,NUM	req-agree	NA
conj,ADJ,NOUN	NA	req-agree
det,NUM,DET	req-agree	req-agree
subj,ADJ,NOUN	NA	req-agree
conj,NOUN,ADJ	NA	req-agree
conj,PRON,PRON	req-agree	req-agree
comp:pred,NOUN,ADJ	req-agree	NA
comp:pred,NOUN,NOUN	NA	req-agree
mod,NUM,ADJ	req-agree	NA
conj,NOUN,DET	NA	NA
mod,DET,ADJ	NA	req-agree
appos,NUM,NOUN	NA	NA
appos,NOUN,NUM	req-agree	NA
compound,NOUN,DET	req-agree	NA
conj,PRON,DET	req-agree	req-agree
udep,NUM,NOUN	NA	NA
appos,NOUN,ADJ	NA	NA
mod,ADJ,NUM	NA	NA
compound,NOUN,NUM	req-agree	req-agree
compound,NOUN,PRON	req-agree	NA
comp:pred,VERB,NOUN	NA	req-agree
comp:obj,ADJ,ADJ	req-agree	req-agree
