rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,PRON	NA	NA
mod,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	NA	NA
mod,VERB,ADJ	NA	NA
comp:pred,AUX,ADJ	NA	req-agree
comp:obl,VERB,PRON	NA	req-agree
conj,NOUN,NOUN	NA	NA
subj,ADJ,NOUN	NA	NA
conj,ADJ,ADJ	NA	NA
mod,NOUN,VERB	NA	NA
udep,VERB,PRON	NA	NA
appos,NOUN,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
conj,VERB,VERB	NA	req-agree
det,NOUN,DET	NA	NA
comp:obj,VERB,PRON	NA	NA
subj,VERB,PRON	NA	req-agree
mod,NOUN,PRON	NA	NA
appos,PRON,PROPN	NA	req-agree
mod,VERB,VERB	NA	NA
conj,PROPN,PROPN	NA	req-agree
comp:obl@agent,VERB,NOUN	NA	NA
mod,ADJ,ADJ	NA	NA
det,ADJ,DET	NA	NA
appos,NOUN,PROPN	NA	NA
orphan,NOUN,NOUN	NA	NA
mod,ADJ,NUM	NA	req-agree
appos,PROPN,NOUN	NA	req-agree
subj@pass,VERB,NOUN	NA	NA
conj,NOUN,ADJ	NA	NA
subj@pass,VERB,ADJ	NA	req-agree
orphan,ADJ,ADJ	NA	req-agree
comp:obj,VERB,ADJ	NA	NA
appos,ADJ,ADJ	NA	NA
orphan,ADJ,NOUN	NA	NA
mod,NUM,NOUN	NA	NA
det,PRON,DET	NA	NA
unk@fixed,VERB,VERB	NA	req-agree
comp:obj,VERB,VERB	NA	NA
subj,ADJ,ADJ	NA	req-agree
comp:obl,ADJ,PRON	NA	req-agree
conj,ADJ,VERB	NA	req-agree
udep,VERB,NOUN	NA	NA
mod,NOUN,NUM	NA	NA
conj,PRON,AUX	NA	NA
comp:obl,VERB,NOUN	NA	NA
conj,PRON,VERB	NA	NA
conj,NOUN,VERB	NA	req-agree
mod,ADJ,NOUN	NA	NA
appos,ADJ,NOUN	NA	NA
comp:obl,ADJ,NOUN	NA	NA
det,ADJ,PRON	NA	NA
comp:pred,AUX,NOUN	NA	req-agree
conj,ADJ,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
appos,PROPN,ADJ	NA	NA
mod,PROPN,VERB	NA	req-agree
subj,ADJ,VERB	NA	req-agree
subj,VERB,NOUN	NA	req-agree
orphan,NUM,ADJ	NA	req-agree
conj,NUM,NUM	NA	NA
comp:obj,VERB,NUM	NA	NA
mod,NUM,ADJ	NA	NA
orphan,PRON,NUM	NA	req-agree
conj,VERB,ADJ	NA	NA
mod,ADJ,VERB	NA	req-agree
comp:pred,VERB,VERB	NA	NA
appos,PRON,NOUN	NA	NA
unk@fixed,ADJ,ADJ	NA	req-agree
orphan,NOUN,VERB	NA	req-agree
comp:pred,VERB,NUM	NA	req-agree
subj,AUX,NOUN	NA	req-agree
conj,AUX,VERB	NA	req-agree
mod,ADJ,PRON	NA	req-agree
det,NUM,DET	NA	req-agree
appos,NOUN,NUM	NA	NA
mod,NUM,VERB	NA	NA
mod,NUM,NUM	NA	NA
conj,PROPN,NOUN	NA	req-agree
mod,PROPN,ADJ	NA	NA
comp:obj,ADJ,PROPN	NA	req-agree
orphan,ADJ,PROPN	NA	req-agree
orphan,ADJ,NUM	NA	req-agree
conj,PRON,NOUN	NA	NA
comp:obj,VERB,PROPN	NA	req-agree
comp:pred,VERB,PROPN	NA	NA
mod,PRON,ADJ	NA	req-agree
det,VERB,DET	NA	NA
appos,VERB,PROPN	NA	req-agree
flat@name,PROPN,PROPN	NA	req-agree
appos,VERB,NOUN	NA	req-agree
comp:pred,VERB,NOUN	NA	req-agree
mod,PROPN,PROPN	NA	NA
appos,PRON,ADJ	NA	req-agree
appos,ADJ,PROPN	NA	req-agree
unk,VERB,PROPN	NA	req-agree
conj,NUM,NOUN	NA	req-agree
appos,VERB,NUM	NA	NA
conj,PROPN,ADJ	NA	req-agree
conj,PROPN,AUX	NA	req-agree
orphan,NUM,NUM	NA	req-agree
orphan,NUM,PROPN	NA	NA
subj,VERB,ADJ	NA	req-agree
comp:obl,NOUN,NOUN	NA	req-agree
mod,NOUN,AUX	NA	req-agree
mod,VERB,AUX	NA	req-agree
mod,PROPN,NOUN	NA	NA
udep,VERB,ADJ	NA	NA
appos,NUM,PROPN	NA	req-agree
comp:obl,VERB,ADJ	NA	NA
dislocated,ADJ,VERB	NA	req-agree
mod,ADJ,AUX	NA	NA
vocative,NOUN,NOUN	NA	NA
comp:obl,PROPN,NOUN	NA	req-agree
conj,ADJ,PROPN	NA	req-agree
