rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
det@poss,NOUN,DET	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	req-agree
comp:obl,VERB,PRON	req-agree	NA
det@predet,NOUN,DET	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
mod,NOUN,VERB	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
appos,NOUN,ADJ	req-agree	req-agree
mod,ADJ,VERB	req-agree	req-agree
udep,ADJ,NOUN	NA	req-agree
comp:pred,AUX,PRON	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
subj,VERB,NOUN	NA	req-agree
mod,NOUN,NOUN	NA	NA
comp:obl,ADJ,PRON	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	req-agree
conj,NOUN,ADJ	req-agree	req-agree
mod,PRON,VERB	req-agree	req-agree
appos,NOUN,NOUN	NA	NA
det,VERB,DET	req-agree	req-agree
parataxis,NOUN,NOUN	NA	NA
det,PRON,DET	req-agree	req-agree
conj,NOUN,PRON	req-agree	req-agree
udep,VERB,NOUN	NA	req-agree
comp:pred,VERB,NOUN	req-agree	NA
conj,ADJ,VERB	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
mod,NOUN,PRON	req-agree	NA
subj@pass,VERB,NOUN	NA	req-agree
