rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
vocative,VERB,NOUN	NA	NA
det,NOUN,DET	req-agree	NA
subj,VERB,NOUN	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
comp:obj,ADJ,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
comp:pred,AUX,ADJ	req-agree	NA
mod,NOUN,PROPN	NA	NA
conj,PROPN,PROPN	req-agree	NA
orphan,NOUN,NOUN	NA	NA
appos,NOUN,PROPN	NA	req-agree
mod,PROPN,NOUN	req-agree	NA
mod,PROPN,ADJ	req-agree	req-agree
conj,PROPN,NOUN	NA	NA
mod,NOUN,NUM	req-agree	NA
unk,NOUN,NOUN	NA	NA
mod,NOUN,PRON	NA	NA
comp:pred,NOUN,ADJ	req-agree	req-agree
comp:obj,VERB,DET	NA	NA
subj@pass,AUX,NOUN	NA	NA
comp:aux@pass,AUX,ADJ	req-agree	req-agree
comp:obl@agent,ADJ,NOUN	NA	NA
udep,AUX,PRON	NA	NA
mod,NOUN,VERB	NA	NA
mod,NOUN,AUX	NA	NA
mod,PROPN,PROPN	NA	NA
comp:pred,NOUN,DET	req-agree	req-agree
mod@emph,NOUN,ADJ	NA	req-agree
conj,NOUN,PROPN	req-agree	NA
mod,NOUN,DET	NA	NA
comp:obj,NOUN,NOUN	NA	NA
subj@pass,VERB,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
udep,VERB,DET	NA	NA
subj,AUX,NOUN	NA	NA
unk,NOUN,ADJ	NA	NA
udep,ADJ,NOUN	NA	NA
conj,AUX,AUX	NA	NA
comp:aux,AUX,ADJ	req-agree	req-agree
subj,VERB,ADJ	req-agree	NA
mod,ADJ,NOUN	NA	NA
comp:obj,ADJ,PROPN	NA	NA
comp:obj,VERB,AUX	NA	NA
subj,AUX,DET	req-agree	req-agree
flat,PROPN,PROPN	req-agree	req-agree
flat,NOUN,PROPN	req-agree	req-agree
appos,NUM,NOUN	NA	req-agree
conj,NOUN,ADJ	req-agree	req-agree
appos,NOUN,DET	NA	NA
mod,DET,PRON	NA	req-agree
comp:obj,VERB,ADJ	req-agree	NA
conj,VERB,AUX	NA	req-agree
comp:pred,AUX,NOUN	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
mod,DET,ADJ	req-agree	NA
orphan,NOUN,ADJ	NA	req-agree
mod,DET,AUX	NA	req-agree
comp:pred,ADJ,DET	req-agree	req-agree
subj,VERB,DET	req-agree	NA
mod,NUM,NUM	req-agree	req-agree
mod,NUM,NOUN	NA	NA
comp:obj,ADJ,NUM	NA	req-agree
comp:obl,VERB,ADJ	req-agree	req-agree
comp:obj,ADJ,DET	NA	NA
subj,VERB,PROPN	req-agree	NA
det,ADJ,DET	req-agree	req-agree
orphan,ADJ,NOUN	NA	NA
comp:pred,VERB,VERB	NA	req-agree
unk,VERB,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
comp:pred,VERB,NOUN	NA	NA
conj,NOUN,VERB	NA	NA
orphan,VERB,VERB	NA	NA
comp:obj,VERB,VERB	NA	NA
det,PROPN,DET	req-agree	NA
conj,AUX,PRON	NA	req-agree
orphan,PRON,NOUN	NA	req-agree
subj,AUX,PROPN	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
comp:obj,VERB,PROPN	NA	req-agree
conj,VERB,PROPN	NA	req-agree
orphan,PRON,PROPN	NA	NA
subj@pass,AUX,PROPN	NA	req-agree
conj,ADJ,NOUN	NA	req-agree
mod,VERB,VERB	req-agree	req-agree
subj,NOUN,NOUN	NA	NA
comp:pred,NOUN,NOUN	NA	NA
unk,ADJ,ADJ	req-agree	NA
unk,NOUN,PROPN	NA	req-agree
comp:pred,DET,DET	req-agree	req-agree
conj,DET,DET	req-agree	req-agree
conj,DET,ADJ	req-agree	req-agree
mod,DET,VERB	NA	req-agree
comp:pred,NOUN,PRON	NA	NA
flat@foreign,NOUN,PRON	NA	req-agree
unk@fixed,VERB,VERB	req-agree	req-agree
subj@pass,AUX,DET	NA	NA
comp:obj,VERB,PRON	NA	req-agree
unk,ADJ,NOUN	NA	req-agree
