rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
det,NOUN,DET	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
mod,NOUN,PROPN	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PRON	req-agree	req-agree
compound,NOUN,ADJ	req-agree	NA
det,ADJ,DET	req-agree	NA
mod,PROPN,NOUN	req-agree	NA
mod,NOUN,NUM	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
mod,PRON,NOUN	req-agree	NA
compound,NOUN,NOUN	req-agree	NA
flat@name,PROPN,PROPN	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
conj,ADJ,NOUN	NA	NA
conj,DET,DET	req-agree	NA
orphan,PRON,NOUN	NA	NA
conj,NOUN,PRON	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
conj,PRON,PRON	req-agree	NA
appos,PROPN,NOUN	req-agree	NA
conj,PROPN,NOUN	req-agree	NA
conj,NOUN,PROPN	req-agree	NA
conj,PRON,NOUN	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
appos,NOUN,PRON	req-agree	req-agree
mod,NOUN,DET	req-agree	req-agree
udep,ADJ,NOUN	NA	req-agree
mod,PRON,ADJ	req-agree	req-agree
flat@name,PROPN,NOUN	NA	NA
det,PROPN,DET	req-agree	NA
udep,DET,NOUN	NA	req-agree
det,DET,DET	req-agree	req-agree
mod,DET,ADJ	req-agree	NA
orphan,NOUN,DET	req-agree	req-agree
mod,PRON,DET	req-agree	req-agree
appos,PRON,NOUN	NA	NA
orphan,PROPN,PROPN	req-agree	req-agree
appos,PRON,PRON	req-agree	req-agree
compound,NOUN,PROPN	req-agree	req-agree
udep,ADJ,PRON	req-agree	req-agree
appos,NOUN,DET	req-agree	req-agree
comp:obj,ADJ,PRON	req-agree	req-agree
mod,PROPN,PROPN	req-agree	NA
udep,PRON,NOUN	NA	req-agree
