rel,head-pos,child-pos	tree-label	gold-label
unk@expl,VERB,PRON	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
conj,AUX,AUX	req-agree	req-agree
unk@expl,AUX,PRON	NA	req-agree
parataxis,AUX,VERB	NA	NA
conj,VERB,AUX	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
conj,AUX,VERB	req-agree	req-agree
parataxis,AUX,AUX	NA	req-agree
parataxis,VERB,AUX	NA	req-agree
subj,VERB,PRON	req-agree	req-agree
comp:obl,VERB,PRON	NA	NA
comp:pred,AUX,PRON	NA	req-agree
mod@relcl,PRON,VERB	NA	req-agree
mod,VERB,VERB	NA	NA
comp@pass,VERB,PRON	req-agree	req-agree
comp@pass,AUX,PRON	NA	req-agree
mod,AUX,AUX	NA	NA
comp:obj,VERB,VERB	NA	NA
comp:obj,VERB,AUX	NA	req-agree
subj@pass,AUX,PRON	NA	req-agree
