rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod@poss,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	req-agree	NA
mod,NOUN,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
mod@poss,NOUN,PRON	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
unk@fixed,PRON,PRON	req-agree	req-agree
discourse,NOUN,PRON	req-agree	NA
conj,DET,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
reparandum,PRON,PRON	req-agree	req-agree
appos,NOUN,PRON	req-agree	NA
mod,PRON,NOUN	NA	req-agree
conj,NOUN,ADJ	req-agree	req-agree
appos,PRON,NOUN	NA	req-agree
conj,NOUN,PRON	req-agree	req-agree
subj,ADJ,NOUN	NA	req-agree
conj,PRON,NOUN	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PRON	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	req-agree
mod,ADJ,NOUN	NA	NA
det,PROPN,DET	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
udep,NOUN,NOUN	NA	req-agree
