rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	NA	req-agree
flat,NOUN,DET	NA	req-agree
flat,NOUN,NOUN	NA	NA
det,NOUN,DET	NA	req-agree
conj,NOUN,NOUN	NA	NA
compound,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
comp:obj,ADP,NOUN	NA	NA
flat,NOUN,PROPN	NA	NA
appos,NOUN,PROPN	NA	NA
flat,PROPN,DET	NA	NA
flat,PROPN,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
flat@name,PROPN,PROPN	NA	req-agree
mod@poss,NOUN,DET	NA	NA
mod,PRON,PRON	NA	NA
udep,NOUN,ADP	NA	NA
mod,NOUN,PRON	NA	NA
comp:obj,VERB,NOUN	NA	NA
udep@prep,VERB,ADP	NA	NA
conj,PROPN,PROPN	NA	req-agree
mod,ADP,NOUN	NA	NA
mod,PROPN,NOUN	NA	NA
flat@name,PROPN,PRON	NA	req-agree
det,PROPN,DET	NA	NA
appos,PROPN,NOUN	NA	req-agree
flat,PROPN,PROPN	NA	NA
mod,PROPN,PRON	NA	req-agree
subj,NOUN,PROPN	NA	req-agree
mod,PROPN,ADJ	NA	req-agree
mod,VERB,NOUN	NA	NA
comp:obj,NOUN,PRON	NA	req-agree
comp:pred@pred,PRON,NOUN	NA	req-agree
mod@relcl,NOUN,VERB	NA	NA
flat@name,PROPN,NOUN	NA	req-agree
conj,ADJ,ADJ	NA	req-agree
udep@prep,NOUN,ADP	NA	NA
vocative,VERB,PROPN	NA	req-agree
conj,ADP,ADP	NA	NA
conj,ADJ,NOUN	NA	req-agree
flat@name,NOUN,PROPN	NA	req-agree
comp:pred@pred,NOUN,NOUN	NA	req-agree
comp:obj,VERB,PRON	NA	req-agree
mod,PRON,ADJ	NA	req-agree
comp:obj,ADP,PROPN	NA	req-agree
flat@name,PROPN,ADJ	NA	req-agree
appos,NOUN,PRON	NA	req-agree
conj,VERB,VERB	NA	req-agree
comp:obj,PROPN,NOUN	NA	req-agree
udep@prep,PROPN,ADP	NA	NA
udep@poss,NOUN,ADP	NA	req-agree
comp:obj,NOUN,NOUN	NA	req-agree
subj,VERB,NOUN	NA	NA
conj,PROPN,NOUN	NA	req-agree
comp:obl@x,NOUN,ADP	NA	NA
flat,NOUN,ADJ	NA	req-agree
mod,NOUN,PART	NA	req-agree
udep,VERB,ADP	NA	NA
comp:obl@x,PRON,ADP	NA	req-agree
mod,ADP,PROPN	NA	req-agree
udep,PRON,ADP	NA	req-agree
flat@foreign,NOUN,NOUN	NA	NA
subj,PROPN,PROPN	NA	req-agree
flat,VERB,PRON	NA	NA
comp:pred,AUX,NOUN	NA	req-agree
udep@prep,ADP,ADP	NA	NA
subj,NOUN,NOUN	NA	NA
udep,VERB,NOUN	NA	req-agree
flat,DET,NOUN	NA	req-agree
flat,DET,PROPN	NA	req-agree
conj,PRON,PRON	NA	req-agree
subj,NOUN,PRON	NA	NA
mod,NOUN,VERB	NA	req-agree
subj,VERB,PRON	NA	NA
udep,ADJ,ADP	NA	NA
mod,PROPN,PROPN	NA	NA
conj,NOUN,PROPN	NA	NA
subj,PROPN,NOUN	NA	req-agree
udep,PROPN,ADP	NA	req-agree
subj,X,NOUN	NA	req-agree
udep,X,ADP	NA	req-agree
flat@foreign,PROPN,PROPN	NA	req-agree
flat@foreign,PROPN,NOUN	NA	req-agree
unk@fixed,DET,NOUN	NA	req-agree
comp:obj,VERB,VERB	NA	req-agree
comp:obl@x,VERB,ADP	NA	req-agree
discourse,VERB,PRON	NA	req-agree
comp:obj,NOUN,VERB	NA	req-agree
conj,PRON,NOUN	NA	req-agree
mod,PRON,NOUN	NA	NA
mod,NOUN,X	NA	req-agree
comp:obj,PROPN,PRON	NA	req-agree
comp:obj,VERB,PROPN	NA	req-agree
appos,PROPN,PROPN	NA	req-agree
