rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	NA
mod,NOUN,VERB	req-agree	NA
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
comp:obl,VERB,NOUN	NA	NA
conj,NOUN,PRON	req-agree	req-agree
mod,PRON,VERB	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
comp:aux@pass,AUX,VERB	req-agree	NA
unk@fixed,DET,PRON	req-agree	req-agree
unk@fixed,PRON,PRON	req-agree	req-agree
mod,NOUN,PRON	NA	NA
comp:pred,VERB,VERB	req-agree	NA
appos,NOUN,PRON	req-agree	NA
conj,PRON,PRON	req-agree	req-agree
comp:pred,VERB,NOUN	NA	NA
comp:aux,AUX,VERB	req-agree	NA
mod,NOUN,NUM	req-agree	req-agree
subj@pass,AUX,NOUN	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
mod,ADJ,ADJ	req-agree	NA
mod,PRON,ADJ	req-agree	NA
det,NUM,DET	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
det,ADJ,PRON	req-agree	req-agree
appos,NOUN,VERB	req-agree	req-agree
subj@pass,VERB,NOUN	NA	req-agree
udep,VERB,NOUN	NA	req-agree
comp:pred,NOUN,ADJ	req-agree	req-agree
unk@fixed,ADJ,NOUN	NA	req-agree
appos,ADJ,NOUN	req-agree	req-agree
conj,NOUN,ADJ	req-agree	NA
appos,NOUN,ADJ	req-agree	req-agree
comp:pred,ADJ,NOUN	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
comp:obl,ADJ,NOUN	NA	NA
conj,ADJ,NOUN	req-agree	NA
subj,VERB,NOUN	NA	req-agree
mod,ADJ,NOUN	NA	NA
det,ADJ,DET	req-agree	req-agree
comp:pred,AUX,NOUN	NA	NA
det,NOUN,PRON	NA	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
comp:pred,VERB,PRON	NA	req-agree
unk@fixed,DET,NOUN	NA	req-agree
subj,NOUN,NOUN	NA	NA
det,DET,DET	req-agree	NA
mod,ADJ,VERB	req-agree	req-agree
unk@fixed,NOUN,ADJ	req-agree	req-agree
appos,PRON,NOUN	req-agree	NA
subj,VERB,PRON	NA	req-agree
udep,ADJ,PRON	req-agree	NA
mod,PRON,NOUN	NA	req-agree
udep,ADJ,NOUN	NA	NA
comp:obl,ADJ,DET	req-agree	req-agree
mod,DET,ADJ	req-agree	req-agree
mod@tmod,VERB,NOUN	NA	req-agree
parataxis,NOUN,NOUN	NA	req-agree
comp:pred,VERB,ADJ	req-agree	NA
appos,ADJ,ADJ	NA	req-agree
comp:obl,NOUN,NOUN	NA	NA
det,PRON,DET	NA	req-agree
