rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
parataxis,VERB,AUX	req-agree	NA
comp:aux,AUX,VERB	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
mod,NOUN,AUX	NA	NA
conj,VERB,AUX	req-agree	NA
comp:pred,AUX,PRON	NA	req-agree
det,ADJ,DET	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
comp:obj,VERB,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
parataxis@discourse,VERB,VERB	req-agree	NA
discourse,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
subj,AUX,NOUN	req-agree	req-agree
mod,AUX,VERB	NA	req-agree
det@poss,NOUN,DET	req-agree	req-agree
parataxis,AUX,ADJ	req-agree	req-agree
comp:obl,VERB,PRON	req-agree	NA
parataxis,AUX,AUX	req-agree	NA
udep,AUX,NOUN	NA	NA
conj,AUX,VERB	req-agree	NA
comp:obj,VERB,VERB	req-agree	NA
parataxis,NOUN,AUX	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
unk@expl,VERB,PRON	req-agree	NA
parataxis,VERB,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
udep,VERB,NOUN	NA	NA
vocative,PRON,NOUN	NA	req-agree
parataxis,NOUN,NOUN	NA	NA
vocative,AUX,NOUN	req-agree	NA
parataxis,AUX,VERB	NA	NA
mod,VERB,VERB	NA	NA
comp:obj,VERB,PRON	req-agree	NA
parataxis@discourse,AUX,VERB	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
comp:aux,AUX,AUX	req-agree	NA
comp:pred,AUX,VERB	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
udep,AUX,PRON	NA	NA
mod@relcl,NOUN,VERB	req-agree	NA
comp:pred,VERB,VERB	NA	req-agree
mod,VERB,AUX	NA	req-agree
conj,VERB,ADJ	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
mod@relcl,PRON,VERB	req-agree	req-agree
conj,VERB,NOUN	NA	NA
comp:aux@pass,AUX,VERB	req-agree	NA
compound,NOUN,NOUN	NA	NA
discourse,AUX,NOUN	req-agree	NA
parataxis@obj,VERB,AUX	NA	req-agree
parataxis,VERB,ADJ	req-agree	NA
det,PRON,DET	req-agree	req-agree
mod,NOUN,VERB	req-agree	NA
parataxis,ADJ,VERB	NA	NA
mod@relcl,PRON,AUX	req-agree	NA
mod,NOUN,NOUN	NA	NA
mod@relcl,ADJ,VERB	req-agree	req-agree
parataxis@hashtag,AUX,AUX	NA	req-agree
parataxis,NOUN,VERB	NA	NA
vocative,ADJ,NOUN	req-agree	req-agree
conj,ADJ,NOUN	NA	NA
parataxis,ADJ,NOUN	req-agree	NA
subj,ADJ,NOUN	req-agree	req-agree
parataxis@insert,NOUN,VERB	req-agree	req-agree
parataxis,NOUN,ADJ	NA	req-agree
mod,PRON,VERB	req-agree	req-agree
mod,VERB,ADJ	req-agree	req-agree
unk@expl,AUX,PRON	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	NA
parataxis,ADJ,AUX	NA	NA
subj@pass,AUX,NOUN	req-agree	NA
discourse,ADJ,ADJ	req-agree	NA
discourse,VERB,NOUN	req-agree	NA
parataxis,AUX,NOUN	req-agree	NA
vocative,NOUN,NOUN	NA	req-agree
subj,AUX,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	NA
subj,NOUN,NOUN	NA	req-agree
parataxis@hashtag,VERB,AUX	NA	NA
parataxis,VERB,DET	NA	req-agree
flat@name,DET,NOUN	req-agree	req-agree
conj,NOUN,PRON	req-agree	req-agree
mod@relcl,NOUN,AUX	req-agree	NA
vocative,VERB,NOUN	req-agree	NA
comp:aux,AUX,ADJ	req-agree	req-agree
discourse,AUX,ADJ	req-agree	req-agree
dislocated,AUX,NOUN	req-agree	NA
comp:obj,NOUN,VERB	req-agree	NA
det,VERB,DET	req-agree	req-agree
parataxis@obj,VERB,NOUN	req-agree	NA
appos,NOUN,ADJ	NA	NA
parataxis,AUX,PRON	NA	NA
appos,NOUN,NOUN	NA	req-agree
list,NOUN,NOUN	NA	NA
discourse,VERB,ADJ	req-agree	req-agree
udep,VERB,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	NA
parataxis,PRON,NOUN	NA	req-agree
parataxis@discourse,AUX,AUX	req-agree	req-agree
conj,AUX,NOUN	req-agree	NA
