rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
det,PROPN,DET	req-agree	req-agree
dislocated,AUX,NOUN	NA	req-agree
subj,AUX,PRON	req-agree	req-agree
comp:pred,AUX,PRON	req-agree	req-agree
parataxis,AUX,AUX	NA	NA
comp:aux@tense,AUX,VERB	req-agree	NA
subj,AUX,PROPN	req-agree	req-agree
flat@name,PROPN,PROPN	NA	req-agree
appos,PROPN,NOUN	NA	NA
mod,AUX,NOUN	NA	req-agree
subj,VERB,PRON	req-agree	req-agree
mod@relcl,PRON,VERB	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
mod,ADJ,DET	NA	req-agree
subj,AUX,NOUN	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
parataxis,VERB,AUX	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
subj@pass,AUX,NOUN	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	NA
appos,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
compound,NOUN,NOUN	NA	NA
compound,NOUN,PROPN	NA	NA
conj,VERB,VERB	req-agree	NA
appos,NOUN,PROPN	NA	NA
mod@relcl,NOUN,AUX	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
subj@expl,VERB,PRON	req-agree	req-agree
conj,NOUN,NOUN	NA	NA
unk@fixed,DET,NOUN	NA	req-agree
conj,VERB,AUX	NA	NA
comp:aux@tense,AUX,AUX	NA	NA
conj,AUX,AUX	NA	NA
mod,VERB,NOUN	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
flat@name,NOUN,PROPN	NA	req-agree
comp:obj,VERB,PROPN	req-agree	NA
conj,VERB,NOUN	NA	req-agree
comp:obj,VERB,PRON	req-agree	NA
comp:obj@agent,AUX,PRON	NA	NA
conj,NOUN,PRON	NA	req-agree
appos,VERB,PROPN	NA	NA
subj@pass,AUX,PROPN	req-agree	NA
conj,NOUN,PROPN	NA	NA
conj,PROPN,PROPN	NA	req-agree
udep,VERB,NOUN	NA	NA
comp:obj,NOUN,NOUN	NA	NA
comp:aux@pass,AUX,ADJ	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
mod,VERB,DET	NA	NA
parataxis,VERB,VERB	NA	NA
conj,PROPN,NOUN	NA	NA
parataxis,AUX,VERB	NA	NA
udep,NOUN,ADP	NA	NA
mod@relcl,NOUN,VERB	req-agree	NA
comp:obj@agent,VERB,NOUN	NA	NA
comp:obl,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	NA
discourse,AUX,VERB	NA	NA
mod@relcl,VERB,AUX	NA	NA
appos,NOUN,PRON	NA	req-agree
mod@relcl,PROPN,VERB	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
mod@relcl,PROPN,AUX	NA	NA
comp:pred,VERB,NOUN	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	NA
subj@expl,AUX,PRON	req-agree	req-agree
vocative,VERB,NOUN	NA	NA
udep,VERB,ADP	NA	NA
udep,NOUN,NOUN	NA	NA
conj,NOUN,ADJ	req-agree	req-agree
appos,ADJ,NOUN	NA	req-agree
det,ADJ,DET	req-agree	req-agree
comp:pred,VERB,AUX	req-agree	req-agree
det,NUM,DET	req-agree	req-agree
mod,VERB,NUM	NA	req-agree
mod,NUM,NOUN	NA	req-agree
comp:obj,ADP,NOUN	NA	req-agree
subj@caus,AUX,NOUN	NA	req-agree
comp:obj,VERB,ADJ	NA	req-agree
comp:obj@agent,AUX,NOUN	NA	req-agree
comp:obj,PROPN,VERB	NA	req-agree
conj,NOUN,VERB	NA	req-agree
mod,VERB,ADJ	req-agree	NA
comp:obj,VERB,AUX	req-agree	NA
udep,VERB,PRON	NA	NA
subj@pass,VERB,PRON	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	req-agree
udep,PROPN,ADP	NA	req-agree
mod,NOUN,PROPN	NA	NA
unk@fixed,DET,ADJ	req-agree	req-agree
parataxis,NOUN,AUX	NA	req-agree
appos,NOUN,ADJ	req-agree	req-agree
parataxis,VERB,NOUN	NA	req-agree
dislocated,VERB,NOUN	NA	req-agree
udep,AUX,NOUN	NA	NA
appos,PROPN,PROPN	NA	req-agree
subj@caus,AUX,PRON	NA	req-agree
comp:pred,AUX,PROPN	req-agree	req-agree
conj,AUX,NOUN	NA	req-agree
flat@name,ADJ,PROPN	NA	req-agree
det,PRON,DET	req-agree	req-agree
unk@fixed,DET,DET	NA	req-agree
mod,VERB,SCONJ	NA	req-agree
comp:obj,SCONJ,AUX	NA	req-agree
comp:obj,NOUN,PROPN	NA	NA
unk@fixed,ADJ,NOUN	NA	req-agree
appos,VERB,NOUN	NA	req-agree
conj,ADJ,VERB	req-agree	req-agree
udep,AUX,PRON	NA	NA
subj,VERB,ADJ	NA	req-agree
comp:obl,ADJ,ADP	NA	req-agree
comp:obj,PRON,NOUN	NA	NA
appos,NOUN,VERB	req-agree	req-agree
appos,NOUN,AUX	NA	req-agree
mod,AUX,DET	NA	req-agree
comp:obj,DET,AUX	NA	req-agree
comp:obj,PRON,VERB	NA	req-agree
comp:obj,ADP,PROPN	NA	NA
mod,AUX,VERB	req-agree	req-agree
unk@fixed,NOUN,VERB	req-agree	req-agree
comp:pred,VERB,PROPN	req-agree	req-agree
unk,VERB,NOUN	NA	req-agree
comp:obj,ADJ,PROPN	NA	NA
conj,VERB,PROPN	NA	req-agree
udep,AUX,ADP	NA	req-agree
udep,ADJ,NOUN	NA	req-agree
mod,VERB,VERB	req-agree	req-agree
flat@name,PROPN,ADJ	req-agree	req-agree
subj,VERB,DET	NA	req-agree
unk@fixed,DET,PRON	NA	req-agree
compound,PROPN,NOUN	NA	req-agree
mod,PROPN,NOUN	NA	req-agree
conj,PRON,PROPN	NA	req-agree
compound,NOUN,PRON	NA	req-agree
