rel,head-pos,child-pos	tree-label	gold-label
subj,VERB,PRON	req-agree	req-agree
unk@expl,AUX,PRON	req-agree	NA
mod,VERB,AUX	req-agree	NA
comp:obl,VERB,PRON	req-agree	NA
unk@expl,VERB,PRON	req-agree	req-agree
conj,AUX,VERB	NA	req-agree
conj,VERB,VERB	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
mod,VERB,VERB	NA	NA
comp@pass,VERB,PRON	req-agree	req-agree
mod,AUX,VERB	req-agree	NA
comp:obj,VERB,VERB	NA	NA
mod@tcl,VERB,VERB	NA	NA
udep,VERB,PRON	NA	req-agree
parataxis,VERB,VERB	NA	NA
conj,VERB,AUX	req-agree	NA
mod,PRON,VERB	req-agree	NA
mod,PRON,AUX	req-agree	req-agree
mod,VERB,PRON	req-agree	req-agree
unk@fixed,PRON,VERB	req-agree	req-agree
parataxis,AUX,VERB	NA	NA
parataxis,VERB,AUX	NA	req-agree
comp:pred,VERB,PRON	req-agree	req-agree
comp:aux,VERB,VERB	NA	req-agree
conj,AUX,AUX	req-agree	req-agree
comp:pred,VERB,VERB	NA	NA
subj,AUX,VERB	NA	NA
comp@pass,AUX,PRON	req-agree	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
conj,PRON,DET	NA	req-agree
conj,PRON,PRON	req-agree	req-agree
unk@fixed,PRON,PRON	req-agree	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
det,PRON,DET	NA	req-agree
unk@fixed,VERB,DET	NA	NA
discourse,AUX,PRON	req-agree	NA
det,PRON,PRON	req-agree	req-agree
comp:pred,AUX,PRON	req-agree	NA
mod,AUX,AUX	NA	req-agree
parataxis,AUX,AUX	NA	NA
subj@pass,AUX,VERB	NA	req-agree
mod,AUX,PRON	req-agree	req-agree
subj,VERB,VERB	req-agree	req-agree
conj,VERB,PRON	req-agree	req-agree
comp:aux,AUX,VERB	NA	req-agree
conj,PRON,VERB	req-agree	req-agree
subj@pass,VERB,VERB	NA	req-agree
vocative,AUX,PRON	req-agree	req-agree
comp:pred,VERB,AUX	req-agree	req-agree
mod,PRON,PRON	req-agree	req-agree
appos,VERB,VERB	NA	req-agree
