rel,head-pos,child-pos	tree-label	gold-label
subj,AUX,PRON	req-agree	req-agree
comp:obl,VERB,PRON	NA	NA
subj,VERB,PRON	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,PRON	NA	NA
conj,VERB,AUX	req-agree	NA
comp:pred,VERB,VERB	req-agree	NA
comp:obj,VERB,VERB	req-agree	NA
mod,VERB,AUX	req-agree	NA
unk@expl,VERB,PRON	NA	NA
mod,VERB,VERB	req-agree	NA
subj,VERB,VERB	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
subj,AUX,VERB	req-agree	NA
conj,AUX,VERB	req-agree	NA
mod,AUX,VERB	req-agree	NA
unk@fixed,VERB,VERB	req-agree	req-agree
comp:obj,VERB,AUX	req-agree	NA
parataxis,VERB,AUX	req-agree	req-agree
parataxis,VERB,VERB	req-agree	req-agree
subj@pass,AUX,PRON	req-agree	req-agree
unk@expl,AUX,PRON	NA	NA
subj@pass,VERB,PRON	req-agree	req-agree
subj@pass,VERB,VERB	req-agree	req-agree
mod,AUX,AUX	req-agree	req-agree
