rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,PROPN	req-agree	NA
flat@name,PROPN,PROPN	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
comp:obl,VERB,PRON	NA	NA
subj,VERB,NOUN	req-agree	NA
mod,NOUN,VERB	req-agree	NA
conj,NOUN,ADJ	NA	NA
appos,PRON,NOUN	req-agree	NA
det,PROPN,DET	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
conj,VERB,ADJ	NA	NA
conj,ADJ,NOUN	NA	NA
subj,VERB,PRON	req-agree	req-agree
conj,NOUN,VERB	NA	NA
udep,VERB,NOUN	req-agree	NA
conj,VERB,NOUN	NA	NA
comp:obj,VERB,PRON	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	NA
det,NOUN,PRON	NA	NA
mod,NOUN,PRON	NA	NA
dislocated,PRON,NOUN	req-agree	NA
subj@pass,VERB,PRON	req-agree	NA
mod@relcl,PRON,VERB	req-agree	NA
subj@pass,VERB,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
comp:obj,NOUN,NOUN	req-agree	NA
udep,VERB,DET	NA	req-agree
subj,AUX,NOUN	req-agree	NA
mod,VERB,AUX	NA	req-agree
subj,AUX,PRON	req-agree	NA
mod,PRON,NOUN	NA	NA
comp:obl,ADJ,NOUN	NA	req-agree
comp:aux,AUX,ADJ	req-agree	req-agree
mod,DET,AUX	req-agree	req-agree
subj,AUX,VERB	req-agree	req-agree
mod,PRON,VERB	req-agree	NA
det,PRON,DET	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	NA
comp:aux,AUX,VERB	req-agree	NA
mod@relcl,NOUN,AUX	req-agree	NA
subj,VERB,DET	req-agree	NA
conj,ADJ,DET	NA	req-agree
mod,PRON,AUX	NA	req-agree
conj,AUX,VERB	NA	NA
conj,PRON,PRON	NA	req-agree
conj,VERB,AUX	NA	NA
conj,AUX,AUX	NA	req-agree
det,VERB,PRON	NA	req-agree
udep,VERB,AUX	NA	req-agree
conj,PRON,NOUN	NA	NA
udep,VERB,PRON	req-agree	req-agree
subj,VERB,PROPN	req-agree	NA
parataxis,NOUN,VERB	req-agree	req-agree
conj,ADJ,VERB	NA	NA
vocative,VERB,NOUN	NA	NA
mod,PRON,ADJ	req-agree	req-agree
flat,VERB,VERB	NA	req-agree
discourse,VERB,VERB	NA	req-agree
conj,NOUN,PROPN	NA	NA
comp:obj,VERB,VERB	NA	NA
mod,ADJ,NOUN	NA	req-agree
comp:obj,VERB,PROPN	req-agree	NA
mod,NOUN,NUM	req-agree	NA
appos,PRON,PROPN	req-agree	req-agree
mod,VERB,ADJ	req-agree	NA
mod,VERB,NOUN	NA	req-agree
mod,VERB,PRON	NA	req-agree
subj@pass,NOUN,PROPN	req-agree	NA
comp:obj,VERB,AUX	NA	req-agree
mod@gov,NOUN,NUM	req-agree	NA
appos,PROPN,NOUN	req-agree	req-agree
mod@relcl,PROPN,VERB	req-agree	req-agree
mod,PROPN,PROPN	req-agree	req-agree
mod,ADJ,PROPN	NA	req-agree
comp:pred,AUX,NOUN	req-agree	NA
appos,ADJ,NOUN	req-agree	req-agree
conj,PROPN,PROPN	req-agree	NA
mod,DET,VERB	req-agree	NA
mod,PROPN,NOUN	NA	req-agree
conj,VERB,PROPN	NA	req-agree
subj,NOUN,NOUN	req-agree	NA
det,VERB,DET	NA	req-agree
appos,VERB,NOUN	NA	req-agree
appos,VERB,PROPN	NA	NA
parataxis,NOUN,NOUN	req-agree	req-agree
flat@name,ADJ,ADJ	req-agree	req-agree
mod@relcl,PRON,AUX	req-agree	req-agree
comp:obl,NOUN,PRON	req-agree	NA
comp:pred,VERB,VERB	req-agree	req-agree
conj,PROPN,NOUN	NA	NA
subj,PROPN,DET	req-agree	req-agree
mod,DET,PRON	NA	req-agree
subj,PRON,NOUN	req-agree	req-agree
mod@relcl,DET,AUX	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
mod,ADJ,VERB	NA	NA
comp:obl,ADJ,PRON	NA	NA
subj,ADJ,NOUN	req-agree	NA
mod,VERB,VERB	req-agree	NA
mod@relcl,ADJ,VERB	req-agree	req-agree
mod@relcl,VERB,VERB	NA	req-agree
vocative,VERB,PROPN	NA	NA
mod,DET,ADJ	req-agree	req-agree
comp:obj,VERB,ADJ	NA	NA
comp:obl,VERB,PROPN	NA	NA
parataxis,VERB,PRON	NA	req-agree
comp:obj,VERB,DET	NA	NA
mod,PROPN,VERB	req-agree	req-agree
unk,NOUN,DET	req-agree	req-agree
vocative,ADJ,NOUN	req-agree	req-agree
parataxis,VERB,ADJ	NA	NA
subj,ADJ,PRON	req-agree	NA
udep,ADJ,NOUN	NA	NA
dislocated,PRON,PRON	req-agree	req-agree
mod,ADJ,NUM	NA	req-agree
appos,NOUN,ADJ	NA	NA
mod,ADJ,ADJ	NA	req-agree
subj,AUX,PROPN	req-agree	req-agree
