rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,PRON	NA	NA
mod,NOUN,NOUN	NA	NA
det,NOUN,DET	NA	NA
dislocated,AUX,NOUN	NA	req-agree
subj,AUX,NOUN	NA	NA
parataxis,AUX,AUX	NA	NA
det,PRON,DET	NA	req-agree
udep,AUX,PRON	NA	NA
dislocated,AUX,PRON	NA	NA
subj,VERB,PRON	NA	NA
mod@relcl,NOUN,VERB	NA	NA
conj,NOUN,NOUN	NA	NA
subj,AUX,PRON	NA	NA
comp:pred,AUX,PRON	NA	NA
comp:obj,VERB,PRON	NA	NA
conj,PRON,PRON	NA	NA
mod@relcl,PRON,VERB	NA	NA
subj,VERB,NOUN	NA	NA
comp:pred,AUX,NOUN	NA	NA
mod@relcl,PRON,AUX	NA	NA
udep,NOUN,ADP	NA	req-agree
comp:obj,ADP,NOUN	NA	NA
conj,VERB,VERB	NA	NA
mod,AUX,AUX	NA	req-agree
dislocated,VERB,PRON	NA	NA
conj,VERB,AUX	NA	req-agree
appos,NOUN,NOUN	NA	req-agree
subj,NOUN,PRON	NA	NA
mod@relcl,NOUN,NOUN	NA	req-agree
mod,AUX,PRON	NA	req-agree
mod,AUX,VERB	NA	req-agree
conj,AUX,VERB	NA	req-agree
parataxis,NOUN,AUX	NA	NA
comp:obj,VERB,AUX	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
dislocated,VERB,NOUN	NA	req-agree
mod,VERB,PRON	NA	req-agree
conj,AUX,AUX	NA	req-agree
appos,PRON,NOUN	NA	req-agree
conj,PRON,NOUN	NA	req-agree
mod,NOUN,ADJ	NA	req-agree
udep,AUX,NOUN	NA	req-agree
