rel,head-pos,child-pos	tree-label	gold-label
comp:pred,AUX,AUX	NA	req-agree
parataxis,VERB,VERB	NA	NA
mod,NOUN,ADJ	NA	req-agree
mod,NOUN,VERB	NA	req-agree
subj,AUX,NOUN	NA	req-agree
compound@smixut,NOUN,NOUN	NA	NA
subj,VERB,NOUN	NA	NA
conj,VERB,VERB	NA	NA
comp:pred,AUX,VERB	NA	req-agree
subj,VERB,PRON	NA	req-agree
comp:pred,VERB,ADJ	NA	req-agree
comp:obj,VERB,PRON	NA	req-agree
conj,NOUN,NOUN	NA	NA
det,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	NA
comp:obj,VERB,NOUN	NA	NA
unk,VERB,NOUN	NA	NA
unk,NOUN,NOUN	NA	NA
det,NOUN,PRON	NA	req-agree
conj,VERB,AUX	NA	NA
mod,NOUN,NOUN	NA	NA
comp:pred,AUX,NOUN	NA	req-agree
subj,VERB,NUM	NA	req-agree
subj,NOUN,PRON	NA	NA
flat@name,NOUN,NOUN	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
conj,AUX,VERB	NA	NA
subj@cop,AUX,NOUN	NA	NA
subj,ADJ,NOUN	NA	req-agree
mod,AUX,VERB	NA	req-agree
conj,VERB,NOUN	NA	req-agree
unk,AUX,NOUN	NA	req-agree
mod,VERB,VERB	NA	NA
mod,NUM,NUM	NA	req-agree
unk,VERB,VERB	NA	NA
conj,AUX,AUX	NA	NA
appos,NOUN,NOUN	NA	NA
mod,VERB,AUX	NA	req-agree
parataxis,VERB,NOUN	NA	NA
comp:obj,VERB,NUM	NA	req-agree
subj,AUX,PRON	NA	req-agree
conj,ADJ,ADJ	NA	req-agree
comp:obj,VERB,VERB	NA	req-agree
mod@relcl,NOUN,VERB	NA	req-agree
compound@smixut,VERB,NOUN	NA	NA
subj,VERB,VERB	NA	req-agree
subj,NOUN,NOUN	NA	req-agree
mod,NOUN,PRON	NA	req-agree
conj,NUM,NUM	NA	req-agree
parataxis,VERB,PRON	NA	NA
compound@smixut,ADJ,NOUN	NA	NA
unk,NOUN,AUX	NA	req-agree
det,NOUN,NUM	NA	NA
appos,NOUN,VERB	NA	NA
comp:aux,VERB,NOUN	NA	req-agree
unk,ADJ,ADJ	NA	req-agree
flat@name,NOUN,ADJ	NA	req-agree
unk,NOUN,ADJ	NA	NA
mod,AUX,AUX	NA	req-agree
mod,ADJ,AUX	NA	req-agree
comp:obj,NOUN,NOUN	NA	req-agree
subj,ADJ,PRON	NA	req-agree
conj,ADJ,VERB	NA	NA
unk,NOUN,NUM	NA	req-agree
appos,NUM,NUM	NA	req-agree
unk,NOUN,VERB	NA	NA
conj,NOUN,AUX	NA	req-agree
udep,AUX,NOUN	NA	NA
unk@fixed,NOUN,PRON	NA	req-agree
compound@smixut,NOUN,PRON	NA	NA
comp:obj,AUX,NOUN	NA	req-agree
conj,VERB,ADJ	NA	req-agree
compound@smixut,NOUN,VERB	NA	NA
mod,VERB,ADJ	NA	req-agree
unk,ADJ,NUM	NA	req-agree
conj,PRON,ADJ	NA	req-agree
mod,VERB,NOUN	NA	NA
udep,AUX,ADJ	NA	req-agree
unk,ADJ,NOUN	NA	req-agree
det,NOUN,ADJ	NA	req-agree
mod@poss,NOUN,PRON	NA	req-agree
subj,ADJ,VERB	NA	req-agree
unk,VERB,ADJ	NA	req-agree
subj,VERB,ADJ	NA	req-agree
udep,AUX,VERB	NA	NA
parataxis,VERB,ADJ	NA	NA
