rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
vocative,VERB,NOUN	NA	NA
det,NOUN,DET	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
udep,VERB,PRON	NA	NA
comp:obj,VERB,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
mod,NOUN,AUX	NA	NA
subj@pass,AUX,NOUN	NA	req-agree
comp:aux@pass,AUX,ADJ	req-agree	NA
conj,VERB,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
comp:aux,AUX,VERB	req-agree	NA
subj,AUX,DET	req-agree	NA
comp:pred,AUX,ADJ	req-agree	NA
subj,AUX,NOUN	req-agree	NA
conj,DET,ADJ	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
appos,NOUN,NOUN	NA	req-agree
subj,VERB,DET	req-agree	req-agree
comp:obl,VERB,NOUN	NA	NA
mod,NOUN,VERB	NA	NA
mod,NOUN,PRON	NA	NA
comp:aux,AUX,AUX	req-agree	req-agree
comp:obj,VERB,DET	req-agree	NA
mod,NOUN,PROPN	NA	NA
udep,VERB,NOUN	NA	NA
conj,PROPN,PROPN	NA	req-agree
conj,AUX,VERB	NA	NA
comp:obj,VERB,PRON	NA	NA
orphan,NOUN,NOUN	NA	NA
appos,NOUN,PROPN	NA	req-agree
subj@pass,VERB,NOUN	NA	req-agree
mod,PROPN,NOUN	NA	NA
conj,VERB,NOUN	NA	req-agree
conj,VERB,AUX	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
conj,PROPN,NOUN	NA	NA
mod,PROPN,VERB	NA	req-agree
mod,NOUN,NUM	NA	req-agree
unk,NOUN,NOUN	NA	NA
comp:pred,NOUN,ADJ	req-agree	req-agree
udep,AUX,NOUN	NA	NA
conj,AUX,AUX	NA	NA
unk,VERB,ADJ	NA	NA
unk,VERB,VERB	NA	req-agree
subj@pass,AUX,DET	req-agree	req-agree
comp:obl@agent,ADJ,NOUN	NA	NA
udep,AUX,PRON	NA	NA
comp:obl,VERB,DET	NA	req-agree
mod,PROPN,PROPN	NA	req-agree
unk,VERB,NOUN	NA	NA
comp:pred,NOUN,DET	req-agree	req-agree
parataxis,VERB,VERB	NA	req-agree
mod@emph,NOUN,ADJ	req-agree	req-agree
mod@gov,NOUN,NUM	NA	NA
conj,NOUN,PROPN	NA	req-agree
subj,VERB,PROPN	req-agree	NA
udep,VERB,DET	req-agree	NA
subj,AUX,PROPN	req-agree	req-agree
mod,NOUN,DET	NA	NA
mod,DET,VERB	NA	NA
mod,VERB,VERB	NA	NA
comp:obj,VERB,NUM	NA	NA
subj@pass,VERB,DET	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
conj,VERB,ADJ	NA	req-agree
comp:obj,NOUN,NOUN	req-agree	NA
unk,NOUN,ADJ	req-agree	NA
udep,ADJ,NOUN	NA	NA
comp:aux,AUX,ADJ	req-agree	req-agree
subj,VERB,ADJ	req-agree	NA
