rel,head-pos,child-pos	tree-label	gold-label
conj,VERB,AUX	NA	NA
comp:obj,VERB,PRON	NA	NA
conj,VERB,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
vocative,VERB,PRON	NA	req-agree
comp:obj,VERB,VERB	NA	NA
det,PRON,PRON	NA	NA
subj,VERB,PRON	NA	req-agree
conj,AUX,VERB	NA	NA
subj,AUX,PRON	NA	req-agree
parataxis,VERB,VERB	NA	NA
mod,VERB,VERB	NA	NA
conj,PRON,PRON	NA	NA
unk@expl,VERB,PRON	NA	req-agree
mod,VERB,AUX	NA	req-agree
subj@pass,VERB,VERB	NA	req-agree
udep,VERB,PRON	NA	NA
comp:pred,AUX,VERB	NA	NA
subj,VERB,VERB	NA	req-agree
dislocated,VERB,VERB	NA	NA
comp:obj,VERB,AUX	NA	NA
parataxis,AUX,VERB	NA	NA
parataxis,VERB,AUX	NA	NA
subj,AUX,VERB	NA	req-agree
mod,PRON,VERB	NA	NA
subj@pass,VERB,PRON	NA	req-agree
conj,AUX,AUX	NA	NA
dislocated,VERB,AUX	NA	NA
comp:pred,AUX,PRON	NA	req-agree
udep,AUX,PRON	NA	NA
subj@pass,AUX,PRON	NA	NA
comp:obl,AUX,PRON	NA	NA
orphan,PRON,VERB	NA	req-agree
comp:obl,VERB,ADJ	NA	req-agree
conj,VERB,PRON	NA	NA
mod,AUX,VERB	NA	req-agree
mod,PRON,AUX	NA	req-agree
