rel,head-pos,child-pos	tree-label	gold-label
udep,VERB,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
comp:obj,ADP,NOUN	NA	NA
udep@poss,NOUN,ADP	NA	req-agree
subj,AUX,NOUN	NA	req-agree
det,NOUN,DET	NA	req-agree
subj,VERB,NOUN	NA	req-agree
subj,NOUN,PRON	NA	req-agree
subj,VERB,PRON	NA	NA
comp:aux,VERB,VERB	NA	req-agree
subj,NOUN,PROPN	NA	req-agree
comp:obj,ADP,PRON	NA	NA
flat,NOUN,NOUN	NA	req-agree
appos,NOUN,PROPN	NA	req-agree
vocative,AUX,NOUN	NA	req-agree
comp:aux,AUX,VERB	NA	req-agree
parataxis,AUX,VERB	NA	req-agree
parataxis,VERB,VERB	NA	NA
conj,VERB,VERB	NA	req-agree
comp:obj,VERB,PRON	NA	NA
parataxis,VERB,AUX	NA	NA
subj,ADJ,NOUN	NA	req-agree
parataxis,AUX,ADJ	NA	NA
conj,ADJ,ADJ	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
subj,VERB,PROPN	NA	req-agree
comp:pred,AUX,NOUN	NA	req-agree
subj,AUX,PRON	NA	req-agree
udep,NOUN,NOUN	NA	req-agree
mod,VERB,VERB	NA	req-agree
compound@lvc,VERB,ADJ	NA	req-agree
mod@relcl,PRON,VERB	NA	req-agree
comp:pred,AUX,AUX	NA	req-agree
comp:pred,AUX,VERB	NA	req-agree
mod@relcl,NOUN,AUX	NA	req-agree
udep,AUX,NOUN	NA	req-agree
subj,AUX,PROPN	NA	req-agree
comp:obj,ADP,PROPN	NA	req-agree
comp:obl,VERB,NOUN	NA	req-agree
comp:aux,AUX,NOUN	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
